Population,Five-Year Age Groups,Gender,Hispanic Origin,Race,Year
2162168,20-24 years,Female,Hispanic or Latino,White,2021
104264,20-24 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
680903,20-24 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1607120,20-24 years,Female,Not Hispanic or Latino,Black or African American,2021
5730106,20-24 years,Female,Not Hispanic or Latino,White,2021
86207,20-24 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
45634,20-24 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
147759,20-24 years,Male,Hispanic or Latino,Black or African American,2021
2253892,20-24 years,Male,Hispanic or Latino,White,2021
105994,20-24 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
690045,20-24 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1642560,20-24 years,Male,Not Hispanic or Latino,Black or African American,2021
6001147,20-24 years,Male,Not Hispanic or Latino,White,2021
81129,25-29 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
42810,25-29 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
135130,25-29 years,Female,Hispanic or Latino,Black or African American,2021
2113162,25-29 years,Female,Hispanic or Latino,White,2021
108298,25-29 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
811261,25-29 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1717789,25-29 years,Female,Not Hispanic or Latino,Black or African American,2021
6003840,25-29 years,Female,Not Hispanic or Latino,White,2021
84952,25-29 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
43597,25-29 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
142307,25-29 years,Male,Hispanic or Latino,Black or African American,2021
2216100,25-29 years,Male,Hispanic or Latino,White,2021
110755,25-29 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
807151,25-29 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1736416,25-29 years,Male,Not Hispanic or Latino,Black or African American,2021
6237780,25-29 years,Male,Not Hispanic or Latino,White,2021
75709,30-34 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
42852,30-34 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
140114,30-34 years,Female,Hispanic or Latino,Black or African American,2021
2002226,30-34 years,Female,Hispanic or Latino,White,2021
105143,30-34 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
946909,30-34 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1727635,30-34 years,Female,Not Hispanic or Latino,Black or African American,2021
6387735,30-34 years,Female,Not Hispanic or Latino,White,2021
88149,30-34 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
44495,30-34 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
141517,30-34 years,Male,Hispanic or Latino,Black or African American,2021
2191017,30-34 years,Male,Hispanic or Latino,White,2021
106344,30-34 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
901777,30-34 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1678798,30-34 years,Male,Not Hispanic or Latino,Black or African American,2021
6522206,30-34 years,Male,Not Hispanic or Latino,White,2021
73433,35-39 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
39068,35-39 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
130726,35-39 years,Female,Hispanic or Latino,Black or African American,2021
1949045,35-39 years,Female,Hispanic or Latino,White,2021
93258,35-39 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
943565,35-39 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1528319,35-39 years,Female,Not Hispanic or Latino,Black or African American,2021
6278072,35-39 years,Female,Not Hispanic or Latino,White,2021
86850,35-39 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
42293,35-39 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
127002,35-39 years,Male,Hispanic or Latino,Black or African American,2021
2162915,35-39 years,Male,Hispanic or Latino,White,2021
92012,35-39 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
877487,35-39 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1434313,35-39 years,Male,Not Hispanic or Latino,Black or African American,2021
6440962,35-39 years,Male,Not Hispanic or Latino,White,2021
69471,40-44 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
36919,40-44 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
123178,40-44 years,Female,Hispanic or Latino,Black or African American,2021
1883668,40-44 years,Female,Hispanic or Latino,White,2021
85950,40-44 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
866990,40-44 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1459174,40-44 years,Female,Not Hispanic or Latino,Black or African American,2021
5985407,40-44 years,Female,Not Hispanic or Latino,White,2021
80152,40-44 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
38748,40-44 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
114562,40-44 years,Male,Hispanic or Latino,Black or African American,2021
2037005,40-44 years,Male,Hispanic or Latino,White,2021
83452,40-44 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
773709,40-44 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1329536,40-44 years,Male,Not Hispanic or Latino,Black or African American,2021
6136616,40-44 years,Male,Not Hispanic or Latino,White,2021
61415,45-49 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
31522,45-49 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
102659,45-49 years,Female,Hispanic or Latino,Black or African American,2021
1755032,45-49 years,Female,Hispanic or Latino,White,2021
79158,45-49 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
819544,45-49 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1349300,45-49 years,Female,Not Hispanic or Latino,Black or African American,2021
5707123,45-49 years,Female,Not Hispanic or Latino,White,2021
69558,45-49 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
31345,45-49 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
91447,45-49 years,Male,Hispanic or Latino,Black or African American,2021
1829526,45-49 years,Male,Hispanic or Latino,White,2021
76162,45-49 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
735859,45-49 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1208836,45-49 years,Male,Not Hispanic or Latino,Black or African American,2021
5833025,45-49 years,Male,Not Hispanic or Latino,White,2021
106758,5-9 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
62551,5-9 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
189880,5-9 years,Female,Hispanic or Latino,Black or African American,2021
2184165,5-9 years,Female,Hispanic or Latino,White,2021
96981,5-9 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
652505,5-9 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1529493,5-9 years,Female,Not Hispanic or Latino,Black or African American,2021
5093056,5-9 years,Female,Not Hispanic or Latino,White,2021
109600,5-9 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
65094,5-9 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
198985,5-9 years,Male,Hispanic or Latino,Black or African American,2021
2268754,5-9 years,Male,Hispanic or Latino,White,2021
100461,5-9 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
691066,5-9 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1578313,5-9 years,Male,Not Hispanic or Latino,Black or African American,2021
5363886,5-9 years,Male,Not Hispanic or Latino,White,2021
54280,50-54 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
27347,50-54 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
88334,50-54 years,Female,Hispanic or Latino,Black or African American,2021
1573527,50-54 years,Female,Hispanic or Latino,White,2021
82470,50-54 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
740061,50-54 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1385068,50-54 years,Female,Not Hispanic or Latino,Black or African American,2021
6519637,50-54 years,Female,Not Hispanic or Latino,White,2021
60993,50-54 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
27054,50-54 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
79788,50-54 years,Male,Hispanic or Latino,Black or African American,2021
1643645,50-54 years,Male,Hispanic or Latino,White,2021
78715,50-54 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
661802,50-54 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1241322,50-54 years,Male,Not Hispanic or Latino,Black or African American,2021
6642883,50-54 years,Male,Not Hispanic or Latino,White,2021
47130,55-59 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
23328,55-59 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
77066,55-59 years,Female,Hispanic or Latino,Black or African American,2021
1381643,55-59 years,Female,Hispanic or Latino,White,2021
88930,55-59 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
664765,55-59 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1417403,55-59 years,Female,Not Hispanic or Latino,Black or African American,2021
7236990,55-59 years,Female,Not Hispanic or Latino,White,2021
51014,55-59 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
22051,55-59 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
69431,55-59 years,Male,Hispanic or Latino,Black or African American,2021
1401853,55-59 years,Male,Hispanic or Latino,White,2021
82141,55-59 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
587733,55-59 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1245183,55-59 years,Male,Not Hispanic or Latino,Black or African American,2021
7170652,55-59 years,Male,Not Hispanic or Latino,White,2021
38017,60-64 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
18568,60-64 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
62463,60-64 years,Female,Hispanic or Latino,Black or African American,2021
1131488,60-64 years,Female,Hispanic or Latino,White,2021
87326,60-64 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
604345,60-64 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1343674,60-64 years,Female,Not Hispanic or Latino,Black or African American,2021
7616608,60-64 years,Female,Not Hispanic or Latino,White,2021
39643,60-64 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
17288,60-64 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
54703,60-64 years,Male,Hispanic or Latino,Black or African American,2021
1095294,60-64 years,Male,Hispanic or Latino,White,2021
77306,60-64 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
516321,60-64 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
1145296,60-64 years,Male,Not Hispanic or Latino,Black or African American,2021
7387407,60-64 years,Male,Not Hispanic or Latino,White,2021
26905,65-69 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
13664,65-69 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
46452,65-69 years,Female,Hispanic or Latino,Black or African American,2021
879980,65-69 years,Female,Hispanic or Latino,White,2021
71724,65-69 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
532776,65-69 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
1106116,65-69 years,Female,Not Hispanic or Latino,Black or African American,2021
6968490,65-69 years,Female,Not Hispanic or Latino,White,2021
26847,65-69 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
11717,65-69 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
39487,65-69 years,Male,Hispanic or Latino,Black or African American,2021
788605,65-69 years,Male,Hispanic or Latino,White,2021
60942,65-69 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
434057,65-69 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
874172,65-69 years,Male,Not Hispanic or Latino,Black or African American,2021
6512384,65-69 years,Male,Not Hispanic or Latino,White,2021
18213,70-74 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
9591,70-74 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
33341,70-74 years,Female,Hispanic or Latino,Black or African American,2021
657472,70-74 years,Female,Hispanic or Latino,White,2021
54283,70-74 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
430742,70-74 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
849704,70-74 years,Female,Not Hispanic or Latino,Black or African American,2021
6097584,70-74 years,Female,Not Hispanic or Latino,White,2021
16788,70-74 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
7793,70-74 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
26426,70-74 years,Male,Hispanic or Latino,Black or African American,2021
553241,70-74 years,Male,Hispanic or Latino,White,2021
46716,70-74 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
339844,70-74 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
624975,70-74 years,Male,Not Hispanic or Latino,Black or African American,2021
5505091,70-74 years,Male,Not Hispanic or Latino,White,2021
10995,75-79 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
5958,75-79 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
21374,75-79 years,Female,Hispanic or Latino,Black or African American,2021
440446,75-79 years,Female,Hispanic or Latino,White,2021
33325,75-79 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
270623,75-79 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
520718,75-79 years,Female,Not Hispanic or Latino,Black or African American,2021
4128920,75-79 years,Female,Not Hispanic or Latino,White,2021
9174,75-79 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
4423,75-79 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
15524,75-79 years,Male,Hispanic or Latino,Black or African American,2021
334501,75-79 years,Male,Hispanic or Latino,White,2021
27262,75-79 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
215135,75-79 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
350902,75-79 years,Male,Not Hispanic or Latino,Black or African American,2021
3515488,75-79 years,Male,Not Hispanic or Latino,White,2021
6575,80-84 years,Female,Hispanic or Latino,American Indian or Alaska Native,2021
3898,80-84 years,Female,Hispanic or Latino,Asian or Pacific Islander,2021
13967,80-84 years,Female,Hispanic or Latino,Black or African American,2021
296826,80-84 years,Female,Hispanic or Latino,White,2021
21002,80-84 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
179371,80-84 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
342321,80-84 years,Female,Not Hispanic or Latino,Black or African American,2021
2741242,80-84 years,Female,Not Hispanic or Latino,White,2021
5023,80-84 years,Male,Hispanic or Latino,American Indian or Alaska Native,2021
2621,80-84 years,Male,Hispanic or Latino,Asian or Pacific Islander,2021
9452,80-84 years,Male,Hispanic or Latino,Black or African American,2021
206244,80-84 years,Male,Hispanic or Latino,White,2021
15893,80-84 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
139068,80-84 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
204075,80-84 years,Male,Not Hispanic or Latino,Black or African American,2021
2113729,80-84 years,Male,Not Hispanic or Latino,White,2021
23824,< 1 year,Female,Hispanic or Latino,American Indian or Alaska Native,2021
13245,< 1 year,Female,Hispanic or Latino,Asian or Pacific Islander,2021
39976,< 1 year,Female,Hispanic or Latino,Black or African American,2021
384122,< 1 year,Female,Hispanic or Latino,White,2021
16490,< 1 year,Female,Not Hispanic or Latino,American Indian or Alaska Native,2021
109616,< 1 year,Female,Not Hispanic or Latino,Asian or Pacific Islander,2021
277903,< 1 year,Female,Not Hispanic or Latino,Black or African American,2021
877814,< 1 year,Female,Not Hispanic or Latino,White,2021
24408,< 1 year,Male,Hispanic or Latino,American Indian or Alaska Native,2021
13850,< 1 year,Male,Hispanic or Latino,Asian or Pacific Islander,2021
41990,< 1 year,Male,Hispanic or Latino,Black or African American,2021
401198,< 1 year,Male,Hispanic or Latino,White,2021
17070,< 1 year,Male,Not Hispanic or Latino,American Indian or Alaska Native,2021
116101,< 1 year,Male,Not Hispanic or Latino,Asian or Pacific Islander,2021
289407,< 1 year,Male,Not Hispanic or Latino,Black or African American,2021
917477,< 1 year,Male,Not Hispanic or Latino,White,2021
93954,1-4 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
52359,1-4 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
160142,1-4 years,Female,Hispanic or Latino,Black or African American,2022
1614620,1-4 years,Female,Hispanic or Latino,White,2022
65093,1-4 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
480712,1-4 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1165931,1-4 years,Female,Not Hispanic or Latino,Black or African American,2022
3630202,1-4 years,Female,Not Hispanic or Latino,White,2022
98183,1-4 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
54770,1-4 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
167272,1-4 years,Male,Hispanic or Latino,Black or African American,2022
1673108,1-4 years,Male,Hispanic or Latino,White,2022
67158,1-4 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
511080,1-4 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1204670,1-4 years,Male,Not Hispanic or Latino,Black or African American,2022
3815986,1-4 years,Male,Not Hispanic or Latino,White,2022
99032,10-14 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
57118,10-14 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
181908,10-14 years,Female,Hispanic or Latino,Black or African American,2022
2314949,10-14 years,Female,Hispanic or Latino,White,2022
99429,10-14 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
636162,10-14 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1572745,10-14 years,Female,Not Hispanic or Latino,Black or African American,2022
5226644,10-14 years,Female,Not Hispanic or Latino,White,2022
102905,10-14 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
59823,10-14 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
190465,10-14 years,Male,Hispanic or Latino,Black or African American,2022
2419113,10-14 years,Male,Hispanic or Latino,White,2022
102694,10-14 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
668741,10-14 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1633451,10-14 years,Male,Not Hispanic or Latino,Black or African American,2022
5524660,10-14 years,Male,Not Hispanic or Latino,White,2022
93432,15-19 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
51052,15-19 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
163068,15-19 years,Female,Hispanic or Latino,Black or African American,2022
2351474,15-19 years,Female,Hispanic or Latino,White,2022
102417,15-19 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
658199,15-19 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1578600,15-19 years,Female,Not Hispanic or Latino,Black or African American,2022
5555506,15-19 years,Female,Not Hispanic or Latino,White,2022
98108,15-19 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
53586,15-19 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
172070,15-19 years,Male,Hispanic or Latino,Black or African American,2022
2465487,15-19 years,Male,Hispanic or Latino,White,2022
105330,15-19 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
675912,15-19 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1628010,15-19 years,Male,Not Hispanic or Latino,Black or African American,2022
5883540,15-19 years,Male,Not Hispanic or Latino,White,2022
89356,20-24 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
46846,20-24 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
152684,20-24 years,Female,Hispanic or Latino,Black or African American,2022
2323592,20-24 years,Female,Hispanic or Latino,White,2022
107828,20-24 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
729986,20-24 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1686424,20-24 years,Female,Not Hispanic or Latino,Black or African American,2022
5967075,20-24 years,Female,Not Hispanic or Latino,White,2022
93657,20-24 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
48719,20-24 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
162064,20-24 years,Male,Hispanic or Latino,Black or African American,2022
2431924,20-24 years,Male,Hispanic or Latino,White,2022
110554,20-24 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
743823,20-24 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1718441,20-24 years,Male,Not Hispanic or Latino,Black or African American,2022
6292806,20-24 years,Male,Not Hispanic or Latino,White,2022
81950,25-29 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
43045,25-29 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
136423,25-29 years,Female,Hispanic or Latino,Black or African American,2022
2113911,25-29 years,Female,Hispanic or Latino,White,2022
104257,25-29 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
819016,25-29 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1673395,25-29 years,Female,Not Hispanic or Latino,Black or African American,2022
5868424,25-29 years,Female,Not Hispanic or Latino,White,2022
86246,25-29 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
44334,25-29 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
145624,25-29 years,Male,Hispanic or Latino,Black or African American,2022
2238986,25-29 years,Male,Hispanic or Latino,White,2022
107648,25-29 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
823460,25-29 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1704656,25-29 years,Male,Not Hispanic or Latino,Black or African American,2022
6201789,25-29 years,Male,Not Hispanic or Latino,White,2022
78131,30-34 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
43556,30-34 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
144423,30-34 years,Female,Hispanic or Latino,Black or African American,2022
2039074,30-34 years,Female,Hispanic or Latino,White,2022
106186,30-34 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
962723,30-34 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1766776,30-34 years,Female,Not Hispanic or Latino,Black or African American,2022
6330447,30-34 years,Female,Not Hispanic or Latino,White,2022
89918,30-34 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
45081,30-34 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
147944,30-34 years,Male,Hispanic or Latino,Black or African American,2022
2229004,30-34 years,Male,Hispanic or Latino,White,2022
108581,30-34 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
931076,30-34 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1739488,30-34 years,Male,Not Hispanic or Latino,Black or African American,2022
6545730,30-34 years,Male,Not Hispanic or Latino,White,2022
73337,35-39 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
39267,35-39 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
133148,35-39 years,Female,Hispanic or Latino,Black or African American,2022
1933935,35-39 years,Female,Hispanic or Latino,White,2022
92684,35-39 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
957036,35-39 years,Female,Not Hispanic or Latino,Asian or Pacific Islander,2022
1533513,35-39 years,Female,Not Hispanic or Latino,Black or African American,2022
6202729,35-39 years,Female,Not Hispanic or Latino,White,2022
87290,35-39 years,Male,Hispanic or Latino,American Indian or Alaska Native,2022
42774,35-39 years,Male,Hispanic or Latino,Asian or Pacific Islander,2022
130632,35-39 years,Male,Hispanic or Latino,Black or African American,2022
2167493,35-39 years,Male,Hispanic or Latino,White,2022
92205,35-39 years,Male,Not Hispanic or Latino,American Indian or Alaska Native,2022
904319,35-39 years,Male,Not Hispanic or Latino,Asian or Pacific Islander,2022
1453787,35-39 years,Male,Not Hispanic or Latino,Black or African American,2022
6423800,35-39 years,Male,Not Hispanic or Latino,White,2022
70819,40-44 years,Female,Hispanic or Latino,American Indian or Alaska Native,2022
37753,40-44 years,Female,Hispanic or Latino,Asian or Pacific Islander,2022
127651,40-44 years,Female,Hispanic or Latino,Black or African American,2022
1898158,40-44 years,Female,Hispanic or Latino,White,2022
85331,40-44 years,Female,Not Hispanic or Latino,American Indian or Alaska Native,2022
