Race,Hispanic Origin,Five-Year Age Groups,Gender,Deaths,Year
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,1999
White,Not Hispanic or Latino,1-4 years,Male,5,1999
White,Not Hispanic or Latino,5-9 years,Male,5,1999
Black or African American,Not Hispanic or Latino,10-14 years,Male,5,1999
White,Not Hispanic or Latino,10-14 years,Male,5,1999
Black or African American,Not Hispanic or Latino,15-19 years,Male,5,1999
White,Not Hispanic or Latino,15-19 years,Male,21,1999
American Indian or Alaska Native,Not Hispanic or Latino,20-24 years,Male,5,1999
Black or African American,Not Hispanic or Latino,20-24 years,Male,15,1999
White,Not Hispanic or Latino,20-24 years,Male,31,1999
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,Male,5,1999
Black or African American,Not Hispanic or Latino,25-29 years,Male,21,1999
White,Not Hispanic or Latino,25-29 years,Male,63,1999
American Indian or Alaska Native,Not Hispanic or Latino,30-34 years,Male,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,30-34 years,Male,5,1999
Black or African American,Not Hispanic or Latino,30-34 years,Male,64,1999
White,Not Hispanic or Latino,30-34 years,Male,140,1999
American Indian or Alaska Native,Not Hispanic or Latino,35-39 years,Male,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,35-39 years,Male,5,1999
Black or African American,Not Hispanic or Latino,35-39 years,Male,107,1999
White,Not Hispanic or Latino,35-39 years,Male,289,1999
American Indian or Alaska Native,Not Hispanic or Latino,40-44 years,Male,11,1999
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,Male,5,1999
Black or African American,Not Hispanic or Latino,40-44 years,Male,169,1999
White,Not Hispanic or Latino,40-44 years,Male,458,1999
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,Male,21,1999
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,Male,11,1999
Black or African American,Not Hispanic or Latino,45-49 years,Male,290,1999
White,Not Hispanic or Latino,45-49 years,Male,760,1999
American Indian or Alaska Native,Not Hispanic or Latino,50-54 years,Male,31,1999
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,Male,20,1999
Black or African American,Not Hispanic or Latino,50-54 years,Male,351,1999
White,Not Hispanic or Latino,50-54 years,Male,1041,1999
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,Male,32,1999
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,Male,43,1999
Black or African American,Not Hispanic or Latino,55-59 years,Male,457,1999
White,Not Hispanic or Latino,55-59 years,Male,1379,1999
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,Male,44,1999
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,Male,53,1999
Black or African American,Not Hispanic or Latino,60-64 years ,Male,529,1999
White,Not Hispanic or Latino,60-64 years ,Male,1821,1999
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,Male,39,1999
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,Male,51,1999
Black or African American,Not Hispanic or Latino,65-69 years,Male,630,1999
White,Not Hispanic or Latino,65-69 years,Male,2568,1999
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,Male,42,1999
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,Male,88,1999
Black or African American,Not Hispanic or Latino,70-74 years,Male,632,1999
White,Not Hispanic or Latino,70-74 years,Male,3498,1999
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,Male,42,1999
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,Male,96,1999
Black or African American,Not Hispanic or Latino,75-79 years,Male,588,1999
White,Not Hispanic or Latino,75-79 years,Male,4116,1999
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,Male,17,1999
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,Male,62,1999
Black or African American,Not Hispanic or Latino,80-84 years,Male,428,1999
White,Not Hispanic or Latino,80-84 years,Male,3606,1999
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,Male,16,1999
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,Male,44,1999
Black or African American,Not Hispanic or Latino,85-89 years,Male,278,1999
White,Not Hispanic or Latino,85-89 years,Male,2310,1999
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,Male,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,Male,20,1999
Black or African American,Not Hispanic or Latino,90-94 years,Male,121,1999
White,Not Hispanic or Latino,90-94 years,Male,876,1999
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,Male,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,Male,5,1999
Black or African American,Not Hispanic or Latino,95-99 years,Male,22,1999
White,Not Hispanic or Latino,95-99 years,Male,166,1999
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,Male,5,1999
Black or African American,Not Hispanic or Latino,100+ years,Male,5,1999
White,Not Hispanic or Latino,100+ years,Male,22,1999
Black or African American,Not Hispanic or Latino,Not Stated,Male,5,1999
White,Not Stated,25-29 years,Male,5,1999
Black or African American,Not Stated,30-34 years,Male,5,1999
White,Not Stated,30-34 years,Male,5,1999
American Indian or Alaska Native,Not Stated,40-44 years,Male,5,1999
White,Not Stated,40-44 years,Male,5,1999
White,Not Stated,45-49 years,Male,5,1999
Black or African American,Not Stated,50-54 years,Male,5,1999
White,Not Stated,50-54 years,Male,5,1999
Black or African American,Not Stated,55-59 years,Male,5,1999
White,Not Stated,55-59 years,Male,5,1999
Black or African American,Not Stated,60-64 years ,Male,5,1999
White,Not Stated,60-64 years ,Male,5,1999
American Indian or Alaska Native,Not Stated,65-69 years,Male,5,1999
Asian or Pacific Islander,Not Stated,65-69 years,Male,5,1999
White,Not Stated,65-69 years,Male,5,1999
Black or African American,Not Stated,70-74 years,Male,5,1999
White,Not Stated,70-74 years,Male,5,1999
Asian or Pacific Islander,Not Stated,75-79 years,Male,5,1999
Black or African American,Not Stated,75-79 years,Male,5,1999
White,Not Stated,75-79 years,Male,10,1999
Black or African American,Not Stated,80-84 years,Male,5,1999
White,Not Stated,80-84 years,Male,5,1999
Black or African American,Not Stated,85-89 years,Male,5,1999
White,Not Stated,85-89 years,Male,5,1999
White,Not Stated,90-94 years,Male,5,1999
Black or African American,Not Stated,95-99 years,Male,5,1999
White,Not Stated,95-99 years,Male,5,1999
White,Not Stated,Not Stated,Male,5,1999
White,Hispanic or Latino,5-9 years,Female,5,2000
White,Hispanic or Latino,10-14 years,Female,5,2000
White,Hispanic or Latino,15-19 years,Female,5,2000
White,Hispanic or Latino,20-24 years,Female,5,2000
White,Hispanic or Latino,25-29 years,Female,5,2000
White,Hispanic or Latino,30-34 years,Female,11,2000
Black or African American,Hispanic or Latino,35-39 years,Female,5,2000
White,Hispanic or Latino,35-39 years,Female,20,2000
White,Hispanic or Latino,40-44 years,Female,38,2000
Black or African American,Hispanic or Latino,45-49 years,Female,5,2000
White,Hispanic or Latino,45-49 years,Female,75,2000
Asian or Pacific Islander,Hispanic or Latino,50-54 years,Female,5,2000
White,Hispanic or Latino,50-54 years,Female,122,2000
White,Hispanic or Latino,55-59 years,Female,195,2000
Asian or Pacific Islander,Hispanic or Latino,60-64 years ,Female,5,2000
Black or African American,Hispanic or Latino,60-64 years ,Female,5,2000
White,Hispanic or Latino,60-64 years ,Female,231,2000
American Indian or Alaska Native,Hispanic or Latino,65-69 years,Female,5,2000
Asian or Pacific Islander,Hispanic or Latino,65-69 years,Female,5,2000
Black or African American,Hispanic or Latino,65-69 years,Female,5,2000
White,Hispanic or Latino,65-69 years,Female,335,2000
American Indian or Alaska Native,Hispanic or Latino,70-74 years,Female,5,2000
Black or African American,Hispanic or Latino,70-74 years,Female,5,2000
White,Hispanic or Latino,70-74 years,Female,477,2000
American Indian or Alaska Native,Hispanic or Latino,75-79 years,Female,5,2000
Asian or Pacific Islander,Hispanic or Latino,75-79 years,Female,5,2000
Black or African American,Hispanic or Latino,75-79 years,Female,5,2000
White,Hispanic or Latino,75-79 years,Female,451,2000
American Indian or Alaska Native,Hispanic or Latino,80-84 years,Female,5,2000
Black or African American,Hispanic or Latino,80-84 years,Female,5,2000
White,Hispanic or Latino,80-84 years,Female,342,2000
Asian or Pacific Islander,Hispanic or Latino,85-89 years,Female,5,2000
Black or African American,Hispanic or Latino,85-89 years,Female,5,2000
White,Hispanic or Latino,85-89 years,Female,260,2000
Black or African American,Hispanic or Latino,90-94 years,Female,5,2000
White,Hispanic or Latino,90-94 years,Female,152,2000
White,Hispanic or Latino,95-99 years,Female,49,2000
White,Hispanic or Latino,100+ years,Female,10,2000
White,Not Hispanic or Latino,1-4 years,Female,5,2000
Black or African American,Not Hispanic or Latino,5-9 years,Female,5,2000
White,Not Hispanic or Latino,5-9 years,Female,5,2000
Black or African American,Not Hispanic or Latino,10-14 years,Female,5,2000
White,Not Hispanic or Latino,10-14 years,Female,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,Female,5,2000
White,Not Hispanic or Latino,15-19 years,Female,10,2000
Black or African American,Not Hispanic or Latino,20-24 years,Female,21,2000
White,Not Hispanic or Latino,20-24 years,Female,25,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,Female,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,Female,35,2000
White,Not Hispanic or Latino,25-29 years,Female,47,2000
American Indian or Alaska Native,Not Hispanic or Latino,30-34 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,30-34 years,Female,5,2000
Black or African American,Not Hispanic or Latino,30-34 years,Female,54,2000
White,Not Hispanic or Latino,30-34 years,Female,90,2000
American Indian or Alaska Native,Not Hispanic or Latino,35-39 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,35-39 years,Female,5,2000
Black or African American,Not Hispanic or Latino,35-39 years,Female,77,2000
White,Not Hispanic or Latino,35-39 years,Female,188,2000
American Indian or Alaska Native,Not Hispanic or Latino,40-44 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,Female,5,2000
Black or African American,Not Hispanic or Latino,40-44 years,Female,129,2000
White,Not Hispanic or Latino,40-44 years,Female,306,2000
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,Female,13,2000
Black or African American,Not Hispanic or Latino,45-49 years,Female,236,2000
White,Not Hispanic or Latino,45-49 years,Female,460,2000
American Indian or Alaska Native,Not Hispanic or Latino,50-54 years,Female,30,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,Female,19,2000
Black or African American,Not Hispanic or Latino,50-54 years,Female,386,2000
White,Not Hispanic or Latino,50-54 years,Female,776,2000
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,Female,32,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,Female,25,2000
Black or African American,Not Hispanic or Latino,55-59 years,Female,455,2000
White,Not Hispanic or Latino,55-59 years,Female,1109,2000
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,Female,33,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,Female,41,2000
Black or African American,Not Hispanic or Latino,60-64 years ,Female,588,2000
White,Not Hispanic or Latino,60-64 years ,Female,1516,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,Female,42,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,Female,60,2000
Black or African American,Not Hispanic or Latino,65-69 years,Female,837,2000
White,Not Hispanic or Latino,65-69 years,Female,2204,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,Female,71,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,Female,79,2000
Black or African American,Not Hispanic or Latino,70-74 years,Female,998,2000
White,Not Hispanic or Latino,70-74 years,Female,3304,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,Female,43,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,Female,99,2000
Black or African American,Not Hispanic or Latino,75-79 years,Female,1117,2000
White,Not Hispanic or Latino,75-79 years,Female,4590,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,Female,38,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,Female,102,2000
Black or African American,Not Hispanic or Latino,80-84 years,Female,976,2000
White,Not Hispanic or Latino,80-84 years,Female,4654,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,Female,21,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,Female,55,2000
Black or African American,Not Hispanic or Latino,85-89 years,Female,695,2000
White,Not Hispanic or Latino,85-89 years,Female,4152,2000
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,Female,31,2000
Black or African American,Not Hispanic or Latino,90-94 years,Female,397,2000
White,Not Hispanic or Latino,90-94 years,Female,2347,2000
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,Female,11,2000
Black or African American,Not Hispanic or Latino,95-99 years,Female,139,2000
White,Not Hispanic or Latino,95-99 years,Female,788,2000
American Indian or Alaska Native,Not Hispanic or Latino,100+ years,Female,5,2000
Black or African American,Not Hispanic or Latino,100+ years,Female,47,2000
White,Not Hispanic or Latino,100+ years,Female,122,2000
Asian or Pacific Islander,Not Stated,30-34 years,Female,5,2000
Black or African American,Not Stated,30-34 years,Female,5,2000
Black or African American,Not Stated,40-44 years,Female,5,2000
White,Not Stated,40-44 years,Female,5,2000
White,Not Stated,45-49 years,Female,5,2000
Asian or Pacific Islander,Not Stated,50-54 years,Female,5,2000
Black or African American,Not Stated,50-54 years,Female,5,2000
White,Not Stated,50-54 years,Female,5,2000
American Indian or Alaska Native,Not Stated,55-59 years,Female,5,2000
Black or African American,Not Stated,55-59 years,Female,5,2000
White,Not Stated,55-59 years,Female,5,2000
Black or African American,Not Stated,60-64 years ,Female,5,2000
White,Not Stated,60-64 years ,Female,5,2000
Black or African American,Not Stated,65-69 years,Female,5,2000
White,Not Stated,65-69 years,Female,5,2000
Asian or Pacific Islander,Not Stated,70-74 years,Female,5,2000
Black or African American,Not Stated,70-74 years,Female,5,2000
White,Not Stated,70-74 years,Female,11,2000
Black or African American,Not Stated,75-79 years,Female,5,2000
White,Not Stated,75-79 years,Female,12,2000
Black or African American,Not Stated,80-84 years,Female,5,2000
White,Not Stated,80-84 years,Female,10,2000
Asian or Pacific Islander,Not Stated,85-89 years,Female,5,2000
Black or African American,Not Stated,85-89 years,Female,5,2000
White,Not Stated,85-89 years,Female,20,2000
White,Not Stated,90-94 years,Female,5,2000
White,Not Stated,95-99 years,Female,5,2000
White,Hispanic or Latino,< 1 year,Male,5,2000
White,Hispanic or Latino,10-14 years,Male,5,2000
White,Hispanic or Latino,15-19 years,Male,5,2000
White,Hispanic or Latino,20-24 years,Male,5,2000
White,Hispanic or Latino,25-29 years,Male,16,2000
Black or African American,Hispanic or Latino,30-34 years,Male,5,2000
White,Hispanic or Latino,30-34 years,Male,31,2000
White,Hispanic or Latino,35-39 years,Male,28,2000
American Indian or Alaska Native,Hispanic or Latino,40-44 years,Male,5,2000
Black or African American,Hispanic or Latino,40-44 years,Male,5,2000
White,Hispanic or Latino,40-44 years,Male,65,2000
American Indian or Alaska Native,Hispanic or Latino,45-49 years,Male,5,2000
Asian or Pacific Islander,Hispanic or Latino,45-49 years,Male,5,2000
Black or African American,Hispanic or Latino,45-49 years,Male,5,2000
White,Hispanic or Latino,45-49 years,Male,93,2000
American Indian or Alaska Native,Hispanic or Latino,50-54 years,Male,5,2000
White,Hispanic or Latino,50-54 years,Male,140,2000
White,Hispanic or Latino,55-59 years,Male,241,2000
Black or African American,Hispanic or Latino,60-64 years ,Male,5,2000
White,Hispanic or Latino,60-64 years ,Male,274,2000
Asian or Pacific Islander,Hispanic or Latino,65-69 years,Male,5,2000
Black or African American,Hispanic or Latino,65-69 years,Male,5,2000
White,Hispanic or Latino,65-69 years,Male,331,2000
American Indian or Alaska Native,Hispanic or Latino,70-74 years,Male,5,2000
Black or African American,Hispanic or Latino,70-74 years,Male,5,2000
White,Hispanic or Latino,70-74 years,Male,420,2000
American Indian or Alaska Native,Hispanic or Latino,75-79 years,Male,5,2000
Black or African American,Hispanic or Latino,75-79 years,Male,5,2000
White,Hispanic or Latino,75-79 years,Male,358,2000
Asian or Pacific Islander,Hispanic or Latino,80-84 years,Male,5,2000
Black or African American,Hispanic or Latino,80-84 years,Male,5,2000
White,Hispanic or Latino,80-84 years,Male,241,2000
Black or African American,Hispanic or Latino,85-89 years,Male,5,2000
White,Hispanic or Latino,85-89 years,Male,145,2000
White,Hispanic or Latino,90-94 years,Male,60,2000
White,Hispanic or Latino,95-99 years,Male,17,2000
Black or African American,Not Hispanic or Latino,< 1 year,Male,5,2000
White,Not Hispanic or Latino,< 1 year,Male,5,2000
White,Not Hispanic or Latino,1-4 years,Male,5,2000
