Race	Hispanic Origin	Age_groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	25-29 years	Female	2000	22	1345107	1.6355576173494
Black or African American	Not Hispanic or Latino	25-29 years	Female	2001	24	1304639	1.83958934233914
Black or African American	Not Hispanic or Latino	25-29 years	Female	2002	16	1293736	1.23672835879963
Black or African American	Not Hispanic or Latino	25-29 years	Female	2003	29	1295263	2.23892753826829
Black or African American	Not Hispanic or Latino	25-29 years	Female	2004	34	1324683	2.56665179518421
Black or African American	Not Hispanic or Latino	25-29 years	Female	2005	35	1363164	2.56755606808865
Black or African American	Not Hispanic or Latino	25-29 years	Female	2006	20	1406128	1.42234561860656
Black or African American	Not Hispanic or Latino	25-29 years	Female	2007	23	1434645	1.60318406295634
Black or African American	Not Hispanic or Latino	25-29 years	Female	2008	28	1454865	1.9245771944476
Black or African American	Not Hispanic or Latino	25-29 years	Female	2009	34	1459525	2.32952501670064
Black or African American	Not Hispanic or Latino	25-29 years	Female	2010	19	1454543	1.30625220430059
Black or African American	Not Hispanic or Latino	25-29 years	Female	2011	32	1465672	2.18329885540558
Black or African American	Not Hispanic or Latino	25-29 years	Female	2012	24	1482708	1.6186599114593
Black or African American	Not Hispanic or Latino	25-29 years	Female	2013	28	1510526	1.85365892410988
Black or African American	Not Hispanic or Latino	25-29 years	Female	2014	28	1571068	1.78222712193234
Black or African American	Not Hispanic or Latino	25-29 years	Female	2015	30	1639497	1.82982951478411
Black or African American	Not Hispanic or Latino	25-29 years	Female	2016	23	1707945	1.34664757940098
Black or African American	Not Hispanic or Latino	25-29 years	Female	2017	26	1773228	1.46625250672784
Black or African American	Not Hispanic or Latino	25-29 years	Female	2018	36	1811064	1.98778176806562
Black or African American	Not Hispanic or Latino	25-29 years	Female	2019	29	1817908	1.59524024318062
Black or African American	Not Hispanic or Latino	25-29 years	Female	2020	40	1789798	2.23488907686789
Black or African American	Not Hispanic or Latino	25-29 years	Female	2021	30	1717789	1.74643102266926
Black or African American	Not Hispanic or Latino	25-29 years	Female	2022	28	1673395	1.67324510949298
Black or African American	Not Hispanic or Latino	25-29 years	Female	2023	34	1650922	2.05945526196877
Black or African American	Not Hispanic or Latino	25-29 years	Male	2000	26	1217250	2.13596220989936
Black or African American	Not Hispanic or Latino	25-29 years	Male	2001	30	1176367	2.55022454727139
Black or African American	Not Hispanic or Latino	25-29 years	Male	2002	45	1161423	3.87455733182484
Black or African American	Not Hispanic or Latino	25-29 years	Male	2003	29	1156545	2.507468364828
Black or African American	Not Hispanic or Latino	25-29 years	Male	2004	50	1184157	4.22241307529323
Black or African American	Not Hispanic or Latino	25-29 years	Male	2005	31	1219297	2.5424486404871
Black or African American	Not Hispanic or Latino	25-29 years	Male	2006	49	1261035	3.88569706629871
Black or African American	Not Hispanic or Latino	25-29 years	Male	2007	42	1295064	3.24308296732826
Black or African American	Not Hispanic or Latino	25-29 years	Male	2008	50	1326472	3.76939731860152
Black or African American	Not Hispanic or Latino	25-29 years	Male	2009	39	1341280	2.9076702851008
Black or African American	Not Hispanic or Latino	25-29 years	Male	2010	47	1342341	3.50134578322498
Black or African American	Not Hispanic or Latino	25-29 years	Male	2011	33	1368360	2.4116460580549
Black or African American	Not Hispanic or Latino	25-29 years	Male	2012	46	1400570	3.28437707504802
Black or African American	Not Hispanic or Latino	25-29 years	Male	2013	46	1442576	3.18874014263373
Black or African American	Not Hispanic or Latino	25-29 years	Male	2014	42	1517010	2.76860403029644
Black or African American	Not Hispanic or Latino	25-29 years	Male	2015	45	1599040	2.81418851310786
Black or African American	Not Hispanic or Latino	25-29 years	Male	2016	44	1683093	2.61423462636943
Black or African American	Not Hispanic or Latino	25-29 years	Male	2017	46	1765639	2.60528907664591
Black or African American	Not Hispanic or Latino	25-29 years	Male	2018	63	1824430	3.45313330738916
Black or African American	Not Hispanic or Latino	25-29 years	Male	2019	64	1845874	3.46719223522299
Black or African American	Not Hispanic or Latino	25-29 years	Male	2020	72	1830579	3.93318179657911
Black or African American	Not Hispanic or Latino	25-29 years	Male	2021	77	1736416	4.43442124467869
Black or African American	Not Hispanic or Latino	25-29 years	Male	2022	64	1704656	3.75442317980871
Black or African American	Not Hispanic or Latino	25-29 years	Male	2023	61	1654189	3.68760764338295
Black or African American	Not Hispanic or Latino	30-34 years	Female	2000	52	1384892	3.75480542887099
Black or African American	Not Hispanic or Latino	30-34 years	Female	2001	56	1388476	4.03319898939557
Black or African American	Not Hispanic or Latino	30-34 years	Female	2002	56	1393457	4.01878206503681
Black or African American	Not Hispanic or Latino	30-34 years	Female	2003	55	1388044	3.96241041350274
Black or African American	Not Hispanic or Latino	30-34 years	Female	2004	55	1376595	3.99536537616365
Black or African American	Not Hispanic or Latino	30-34 years	Female	2005	59	1350939	4.36733264788417
Black or African American	Not Hispanic or Latino	30-34 years	Female	2006	56	1320401	4.24113583676474
Black or African American	Not Hispanic or Latino	30-34 years	Female	2007	64	1313374	4.87294555853854
Black or African American	Not Hispanic or Latino	30-34 years	Female	2008	59	1320241	4.46888106035186
Black or African American	Not Hispanic or Latino	30-34 years	Female	2009	69	1353009	5.09974434759857
Black or African American	Not Hispanic or Latino	30-34 years	Female	2010	69	1384808	4.98264019271986
Black or African American	Not Hispanic or Latino	30-34 years	Female	2011	70	1424682	4.91337716065761
Black or African American	Not Hispanic or Latino	30-34 years	Female	2012	48	1450157	3.30998643595142
Black or African American	Not Hispanic or Latino	30-34 years	Female	2013	61	1470609	4.14794143106699
Black or African American	Not Hispanic or Latino	30-34 years	Female	2014	54	1484560	3.6374413967775
Black or African American	Not Hispanic or Latino	30-34 years	Female	2015	55	1487728	3.69691233881462
Black or African American	Not Hispanic or Latino	30-34 years	Female	2016	64	1498513	4.27090055274796
Black or African American	Not Hispanic or Latino	30-34 years	Female	2017	70	1519870	4.60565706277511
Black or African American	Not Hispanic or Latino	30-34 years	Female	2018	78	1549097	5.03519146961101
Black or African American	Not Hispanic or Latino	30-34 years	Female	2019	75	1602877	4.67908641773511
Black or African American	Not Hispanic or Latino	30-34 years	Female	2020	91	1669692	5.45010696583561
Black or African American	Not Hispanic or Latino	30-34 years	Female	2021	101	1727635	5.8461422696345
Black or African American	Not Hispanic or Latino	30-34 years	Female	2022	92	1766776	5.20722491136398
Black or African American	Not Hispanic or Latino	30-34 years	Female	2023	84	1813191	4.63271657536354
Black or African American	Not Hispanic or Latino	30-34 years	Male	2000	68	1243849	5.46690152904412
Black or African American	Not Hispanic or Latino	30-34 years	Male	2001	80	1241242	6.44515735046027
Black or African American	Not Hispanic or Latino	30-34 years	Male	2002	93	1243774	7.47724265019208
Black or African American	Not Hispanic or Latino	30-34 years	Male	2003	92	1233902	7.45602162894622
Black or African American	Not Hispanic or Latino	30-34 years	Male	2004	78	1222155	6.38216920112424
Black or African American	Not Hispanic or Latino	30-34 years	Male	2005	89	1196334	7.43939401538366
Black or African American	Not Hispanic or Latino	30-34 years	Male	2006	93	1171760	7.93677886256571
Black or African American	Not Hispanic or Latino	30-34 years	Male	2007	99	1165879	8.49144722565549
Black or African American	Not Hispanic or Latino	30-34 years	Male	2008	96	1175694	8.16538997392179
Black or African American	Not Hispanic or Latino	30-34 years	Male	2009	107	1210245	8.8411850493082
Black or African American	Not Hispanic or Latino	30-34 years	Male	2010	91	1245147	7.30837403133927
Black or African American	Not Hispanic or Latino	30-34 years	Male	2011	93	1286022	7.23160256978497
Black or African American	Not Hispanic or Latino	30-34 years	Male	2012	90	1315999	6.83891097181685
Black or African American	Not Hispanic or Latino	30-34 years	Male	2013	107	1341923	7.97363187008495
Black or African American	Not Hispanic or Latino	30-34 years	Male	2014	94	1362152	6.90084513328909
Black or African American	Not Hispanic or Latino	30-34 years	Male	2015	115	1374657	8.36572323132243
Black or African American	Not Hispanic or Latino	30-34 years	Male	2016	101	1397545	7.22695870258203
Black or African American	Not Hispanic or Latino	30-34 years	Male	2017	148	1431359	10.3398239016208
Black or African American	Not Hispanic or Latino	30-34 years	Male	2018	115	1473500	7.80454699694605
Black or African American	Not Hispanic or Latino	30-34 years	Male	2019	130	1538578	8.44936038341898
Black or African American	Not Hispanic or Latino	30-34 years	Male	2020	160	1617245	9.89336804256622
Black or African American	Not Hispanic or Latino	30-34 years	Male	2021	141	1678798	8.3988663317445
Black or African American	Not Hispanic or Latino	30-34 years	Male	2022	141	1739488	8.1058334406446
Black or African American	Not Hispanic or Latino	30-34 years	Male	2023	149	1780286	8.36944176385142
Black or African American	Not Hispanic or Latino	35-39 years	Female	2000	102	1505402	6.77559881015171
Black or African American	Not Hispanic or Latino	35-39 years	Female	2001	105	1491812	7.0384203907731
Black or African American	Not Hispanic or Latino	35-39 years	Female	2002	92	1467701	6.26830669189433
Black or African American	Not Hispanic or Latino	35-39 years	Female	2003	112	1440844	7.77322180610809
Black or African American	Not Hispanic or Latino	35-39 years	Female	2004	86	1408319	6.10657102545659
Black or African American	Not Hispanic or Latino	35-39 years	Female	2005	100	1396992	7.15823712662635
Black or African American	Not Hispanic or Latino	35-39 years	Female	2006	90	1405559	6.40314636383105
Black or African American	Not Hispanic or Latino	35-39 years	Female	2007	106	1413720	7.49794867441926
Black or African American	Not Hispanic or Latino	35-39 years	Female	2008	94	1412276	6.65592277996652
Black or African American	Not Hispanic or Latino	35-39 years	Female	2009	104	1403007	7.41265011507426
Black or African American	Not Hispanic or Latino	35-39 years	Female	2010	100	1384151	7.22464528797797
Black or African American	Not Hispanic or Latino	35-39 years	Female	2011	114	1344610	8.47829482154677
Black or African American	Not Hispanic or Latino	35-39 years	Female	2012	111	1338520	8.29274123658967
Black or African American	Not Hispanic or Latino	35-39 years	Female	2013	94	1344139	6.99332435112738
Black or African American	Not Hispanic or Latino	35-39 years	Female	2014	112	1374316	8.14950855552871
Black or African American	Not Hispanic or Latino	35-39 years	Female	2015	97	1413525	6.86227693178402
Black or African American	Not Hispanic or Latino	35-39 years	Female	2016	120	1445255	8.30303302877347
Black or African American	Not Hispanic or Latino	35-39 years	Female	2017	129	1475146	8.74489711526859
Black or African American	Not Hispanic or Latino	35-39 years	Female	2018	127	1494278	8.49908785379963
Black or African American	Not Hispanic or Latino	35-39 years	Female	2019	133	1501244	8.85931933782916
Black or African American	Not Hispanic or Latino	35-39 years	Female	2020	138	1502992	9.18168559779427
Black or African American	Not Hispanic or Latino	35-39 years	Female	2021	159	1528319	10.4035872092148
Black or African American	Not Hispanic or Latino	35-39 years	Female	2022	152	1533513	9.91188206425378
Black or African American	Not Hispanic or Latino	35-39 years	Female	2023	161	1574482	10.225585303611
Black or African American	Not Hispanic or Latino	35-39 years	Male	2000	116	1333184	8.70097450914502
Black or African American	Not Hispanic or Latino	35-39 years	Male	2001	124	1322748	9.37442354855195
Black or African American	Not Hispanic or Latino	35-39 years	Male	2002	175	1298817	13.4737996191919
Black or African American	Not Hispanic or Latino	35-39 years	Male	2003	146	1273108	11.4679980017406
Black or African American	Not Hispanic or Latino	35-39 years	Male	2004	181	1248378	14.498813660606
Black or African American	Not Hispanic or Latino	35-39 years	Male	2005	164	1238840	13.2381905653676
Black or African American	Not Hispanic or Latino	35-39 years	Male	2006	167	1244414	13.4199711671518
Black or African American	Not Hispanic or Latino	35-39 years	Male	2007	176	1253650	14.0390061021816
Black or African American	Not Hispanic or Latino	35-39 years	Male	2008	183	1253548	14.5985634375389
Black or African American	Not Hispanic or Latino	35-39 years	Male	2009	187	1244299	15.0285421751524
Black or African American	Not Hispanic or Latino	35-39 years	Male	2010	162	1226242	13.2110953629055
Black or African American	Not Hispanic or Latino	35-39 years	Male	2011	172	1193704	14.4089321975967
Black or African American	Not Hispanic or Latino	35-39 years	Male	2012	189	1189759	15.8855701028528
Black or African American	Not Hispanic or Latino	35-39 years	Male	2013	192	1199943	16.0007600361017
Black or African American	Not Hispanic or Latino	35-39 years	Male	2014	199	1231071	16.1647865963864
Black or African American	Not Hispanic or Latino	35-39 years	Male	2015	223	1271310	17.5409616851909
Black or African American	Not Hispanic or Latino	35-39 years	Male	2016	219	1303281	16.8037437820393
Black or African American	Not Hispanic or Latino	35-39 years	Male	2017	207	1336143	15.4923537375865
Black or African American	Not Hispanic or Latino	35-39 years	Male	2018	243	1361639	17.846139835889
Black or African American	Not Hispanic or Latino	35-39 years	Male	2019	247	1374076	17.9757160448185
Black or African American	Not Hispanic or Latino	35-39 years	Male	2020	276	1383849	19.9443725435362
Black or African American	Not Hispanic or Latino	35-39 years	Male	2021	276	1434313	19.2426618178877
Black or African American	Not Hispanic or Latino	35-39 years	Male	2022	290	1453787	19.9479015839322
Black or African American	Not Hispanic or Latino	35-39 years	Male	2023	275	1486365	18.5015120781235
Black or African American	Not Hispanic or Latino	40-44 years	Female	2000	168	1442018	11.6503400096254
Black or African American	Not Hispanic or Latino	40-44 years	Female	2001	193	1475496	13.0803472188335
Black or African American	Not Hispanic or Latino	40-44 years	Female	2002	196	1487168	13.1794121444248
Black or African American	Not Hispanic or Latino	40-44 years	Female	2003	234	1498869	15.6117712755418
Black or African American	Not Hispanic or Latino	40-44 years	Female	2004	216	1510161	14.303110727929
Black or African American	Not Hispanic or Latino	40-44 years	Female	2005	211	1506129	14.0094241595507
Black or African American	Not Hispanic or Latino	40-44 years	Female	2006	221	1494626	14.7863077452152
Black or African American	Not Hispanic or Latino	40-44 years	Female	2007	182	1471651	12.367062571221
Black or African American	Not Hispanic or Latino	40-44 years	Female	2008	217	1446445	15.002298739323
Black or African American	Not Hispanic or Latino	40-44 years	Female	2009	217	1414333	15.3429213629322
Black or African American	Not Hispanic or Latino	40-44 years	Female	2010	184	1404513	13.1006263380973
Black or African American	Not Hispanic or Latino	40-44 years	Female	2011	189	1410151	13.4028199816899
Black or African American	Not Hispanic or Latino	40-44 years	Female	2012	193	1415866	13.6312334641838
Black or African American	Not Hispanic or Latino	40-44 years	Female	2013	191	1412452	13.5225834223039
Black or African American	Not Hispanic or Latino	40-44 years	Female	2014	185	1406532	13.1529179570746
Black or African American	Not Hispanic or Latino	40-44 years	Female	2015	208	1386639	15.0002992848175
Black or African American	Not Hispanic or Latino	40-44 years	Female	2016	194	1352538	14.3434047694039
Black or African American	Not Hispanic or Latino	40-44 years	Female	2017	193	1351467	14.2807778510315
Black or African American	Not Hispanic or Latino	40-44 years	Female	2018	205	1354893	15.1303460863699
Black or African American	Not Hispanic or Latino	40-44 years	Female	2019	199	1378109	14.4400769460181
Black or African American	Not Hispanic or Latino	40-44 years	Female	2020	251	1414368	17.7464422271997
Black or African American	Not Hispanic or Latino	40-44 years	Female	2021	279	1459174	19.1204064765408
Black or African American	Not Hispanic or Latino	40-44 years	Female	2022	263	1472391	17.8621032049231
Black or African American	Not Hispanic or Latino	40-44 years	Female	2023	257	1504847	17.0781481439641
Black or African American	Not Hispanic or Latino	40-44 years	Male	2000	249	1273647	19.5501579322999
Black or African American	Not Hispanic or Latino	40-44 years	Male	2001	294	1304062	22.5449403479282
Black or African American	Not Hispanic or Latino	40-44 years	Male	2002	271	1314793	20.6116095841703
Black or African American	Not Hispanic or Latino	40-44 years	Male	2003	292	1321512	22.0959022695216
Black or African American	Not Hispanic or Latino	40-44 years	Male	2004	283	1331998	21.2462781475648
Black or African American	Not Hispanic or Latino	40-44 years	Male	2005	310	1329094	23.3241591640621
Black or African American	Not Hispanic or Latino	40-44 years	Male	2006	279	1324308	21.0676066292736
Black or African American	Not Hispanic or Latino	40-44 years	Male	2007	326	1305269	24.9756946652376
Black or African American	Not Hispanic or Latino	40-44 years	Male	2008	293	1286275	22.7789547336301
Black or African American	Not Hispanic or Latino	40-44 years	Male	2009	318	1262389	25.190333565961
Black or African American	Not Hispanic or Latino	40-44 years	Male	2010	283	1257524	22.5045406688063
Black or African American	Not Hispanic or Latino	40-44 years	Male	2011	333	1256689	26.4982028170852
Black or African American	Not Hispanic or Latino	40-44 years	Male	2012	281	1261822	22.2693850638204
Black or African American	Not Hispanic or Latino	40-44 years	Male	2013	323	1254873	25.7396565230107
Black or African American	Not Hispanic or Latino	40-44 years	Male	2014	321	1246955	25.7427092397079
Black or African American	Not Hispanic or Latino	40-44 years	Male	2015	363	1226949	29.5855817967984
Black or African American	Not Hispanic or Latino	40-44 years	Male	2016	320	1199479	26.678249473313
Black or African American	Not Hispanic or Latino	40-44 years	Male	2017	340	1197949	28.3818426326997
Black or African American	Not Hispanic or Latino	40-44 years	Male	2018	354	1203743	29.4082707023011
Black or African American	Not Hispanic or Latino	40-44 years	Male	2019	405	1228028	32.9797040458361
Black or African American	Not Hispanic or Latino	40-44 years	Male	2020	438	1265505	34.6106890134768
Black or African American	Not Hispanic or Latino	40-44 years	Male	2021	487	1329536	36.6293203042264
Black or African American	Not Hispanic or Latino	40-44 years	Male	2022	442	1354606	32.6294140141119
Black or African American	Not Hispanic or Latino	40-44 years	Male	2023	413	1376345	30.007011323469
Black or African American	Not Hispanic or Latino	45-49 years	Female	2000	269	1225916	21.942775850874
Black or African American	Not Hispanic or Latino	45-49 years	Female	2001	256	1272430	20.1189849343382
Black or African American	Not Hispanic or Latino	45-49 years	Female	2002	303	1321076	22.935849262268
Black or African American	Not Hispanic or Latino	45-49 years	Female	2003	346	1363748	25.3712562731531
Black or African American	Not Hispanic or Latino	45-49 years	Female	2004	380	1398644	27.1691724270079
Black or African American	Not Hispanic or Latino	45-49 years	Female	2005	342	1436071	23.8149785073301
Black or African American	Not Hispanic or Latino	45-49 years	Female	2006	322	1461455	22.0328371383313
Black or African American	Not Hispanic or Latino	45-49 years	Female	2007	309	1473530	20.9700515089615
Black or African American	Not Hispanic or Latino	45-49 years	Female	2008	384	1485776	25.8450802812806
Black or African American	Not Hispanic or Latino	45-49 years	Female	2009	347	1496992	23.1798165922062
Black or African American	Not Hispanic or Latino	45-49 years	Female	2010	327	1493767	21.8909642534612
Black or African American	Not Hispanic or Latino	45-49 years	Female	2011	317	1475059	21.4906657970969
Black or African American	Not Hispanic or Latino	45-49 years	Female	2012	307	1453232	21.1253261695311
Black or African American	Not Hispanic or Latino	45-49 years	Female	2013	292	1428396	20.4425103402698
Black or African American	Not Hispanic or Latino	45-49 years	Female	2014	289	1402364	20.6080589632934
Black or African American	Not Hispanic or Latino	45-49 years	Female	2015	327	1396052	23.423196270626
Black or African American	Not Hispanic or Latino	45-49 years	Female	2016	319	1403832	22.7235167740869
Black or African American	Not Hispanic or Latino	45-49 years	Female	2017	303	1413393	21.4377742071738
Black or African American	Not Hispanic or Latino	45-49 years	Female	2018	309	1406949	21.9624165481478
Black or African American	Not Hispanic or Latino	45-49 years	Female	2019	291	1397316	20.8256400127101
Black or African American	Not Hispanic or Latino	45-49 years	Female	2020	378	1375619	27.4785387523726
Black or African American	Not Hispanic or Latino	45-49 years	Female	2021	378	1349300	28.0145260505447
Black or African American	Not Hispanic or Latino	45-49 years	Female	2022	353	1334539	26.4510816094547
Black or African American	Not Hispanic or Latino	45-49 years	Female	2023	343	1351608	25.3771803659049
Black or African American	Not Hispanic or Latino	45-49 years	Male	2000	359	1061019	33.8353978580968
Black or African American	Not Hispanic or Latino	45-49 years	Male	2001	428	1105384	38.7195761834801
Black or African American	Not Hispanic or Latino	45-49 years	Male	2002	430	1153639	37.2733584769586
Black or African American	Not Hispanic or Latino	45-49 years	Male	2003	515	1196401	43.0457680994917
Black or African American	Not Hispanic or Latino	45-49 years	Male	2004	510	1231607	41.4093131981225
Black or African American	Not Hispanic or Latino	45-49 years	Male	2005	507	1267913	39.9869707148677
Black or African American	Not Hispanic or Latino	45-49 years	Male	2006	502	1293433	38.8114421079407
Black or African American	Not Hispanic or Latino	45-49 years	Male	2007	471	1307530	36.0221180393566
Black or African American	Not Hispanic or Latino	45-49 years	Male	2008	470	1318543	35.6454055726662
Black or African American	Not Hispanic or Latino	45-49 years	Male	2009	513	1330207	38.5654262832777
Black or African American	Not Hispanic or Latino	45-49 years	Male	2010	522	1329666	39.257979071436
Black or African American	Not Hispanic or Latino	45-49 years	Male	2011	480	1313392	36.5465908121871
Black or African American	Not Hispanic or Latino	45-49 years	Male	2012	490	1293068	37.8943721443884
Black or African American	Not Hispanic or Latino	45-49 years	Male	2013	478	1269490	37.652915737816
Black or African American	Not Hispanic or Latino	45-49 years	Male	2014	496	1247238	39.7678710879559
Black or African American	Not Hispanic or Latino	45-49 years	Male	2015	455	1240517	36.6782559207169
Black or African American	Not Hispanic or Latino	45-49 years	Male	2016	528	1242735	42.4869340607611
Black or African American	Not Hispanic or Latino	45-49 years	Male	2017	510	1249902	40.8031989707993
Black or African American	Not Hispanic or Latino	45-49 years	Male	2018	515	1240961	41.500095490511
Black or African American	Not Hispanic or Latino	45-49 years	Male	2019	562	1229131	45.7233606507362
Black or African American	Not Hispanic or Latino	45-49 years	Male	2020	659	1207681	54.5673898984914
Black or African American	Not Hispanic or Latino	45-49 years	Male	2021	630	1208836	52.1162506742023
Black or African American	Not Hispanic or Latino	45-49 years	Male	2022	582	1200224	48.4909483563068
Black or African American	Not Hispanic or Latino	45-49 years	Male	2023	570	1203359	47.3674107228184
Black or African American	Not Hispanic or Latino	50-54 years	Female	2000	291	980443	29.6804607713044
Black or African American	Not Hispanic or Latino	50-54 years	Female	2001	345	1066260	32.3560857576951
Black or African American	Not Hispanic or Latino	50-54 years	Female	2002	373	1105949	33.7266908329408
Black or African American	Not Hispanic or Latino	50-54 years	Female	2003	430	1144404	37.5741433969123
Black or African American	Not Hispanic or Latino	50-54 years	Female	2004	409	1185311	34.5057120030102
Black or African American	Not Hispanic or Latino	50-54 years	Female	2005	393	1223782	32.1135627096983
Black or African American	Not Hispanic or Latino	50-54 years	Female	2006	466	1264163	36.8623349995214
Black or African American	Not Hispanic or Latino	50-54 years	Female	2007	437	1315461	33.220293113973
Black or African American	Not Hispanic or Latino	50-54 years	Female	2008	511	1361382	37.5353868348487
Black or African American	Not Hispanic or Latino	50-54 years	Female	2009	469	1399562	33.5104839942782
Black or African American	Not Hispanic or Latino	50-54 years	Female	2010	509	1431800	35.549657773432
Black or African American	Not Hispanic or Latino	50-54 years	Female	2011	457	1454259	31.4249387488749
Black or African American	Not Hispanic or Latino	50-54 years	Female	2012	514	1460480	35.1939088518843
Black or African American	Not Hispanic or Latino	50-54 years	Female	2013	540	1467990	36.7849917233769
Black or African American	Not Hispanic or Latino	50-54 years	Female	2014	475	1473543	32.2352316830931
Black or African American	Not Hispanic or Latino	50-54 years	Female	2015	466	1467603	31.7524562160203
Black or African American	Not Hispanic or Latino	50-54 years	Female	2016	518	1451167	35.6954092809442
Black or African American	Not Hispanic or Latino	50-54 years	Female	2017	451	1432173	31.4906090255856
Black or African American	Not Hispanic or Latino	50-54 years	Female	2018	461	1404709	32.8181851187684
Black or African American	Not Hispanic or Latino	50-54 years	Female	2019	463	1377231	33.6181802471771
Black or African American	Not Hispanic or Latino	50-54 years	Female	2020	549	1370203	40.0670557574316
Black or African American	Not Hispanic or Latino	50-54 years	Female	2021	552	1385068	39.8536389549105
Black or African American	Not Hispanic or Latino	50-54 years	Female	2022	483	1380503	34.9872474018528
Black or African American	Not Hispanic or Latino	50-54 years	Female	2023	513	1386233	37.0067658178676
Black or African American	Not Hispanic or Latino	50-54 years	Male	2000	463	834987	55.4499650892768
Black or African American	Not Hispanic or Latino	50-54 years	Male	2001	509	912639	55.7723261881204
Black or African American	Not Hispanic or Latino	50-54 years	Male	2002	546	945720	57.7337901281563
Black or African American	Not Hispanic or Latino	50-54 years	Male	2003	613	979716	62.5691526932295
