Race	Hispanic Origin	Five-Year Age Groups	Cause of death Code	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2010	4	1550237	0.25802506326452
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2011	4	1654175	0.241812383816706
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2014	4	1826372	0.21901343209379
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2016	4	1773358	0.225560772274972
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2017	4	1733291	0.230774867001559
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2018	4	1691428	0.236486566380597
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2019	4	1660340	0.240914511485599
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2020	4	1652385	0.242074334976413
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2022	6	1718441	0.349153680574428
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2001	4	1420272	0.281636193630516
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2004	4	1483898	0.269560306705717
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2008	4	1519892	0.263176594126425
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2009	4	1554094	0.257384688442269
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2012	4	1731526	0.231010103226865
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2014	4	1785941	0.223971564570162
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2016	4	1714649	0.233283896587581
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2001	4	1354373	0.295339614714706
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2002	4	1397013	0.286325180939619
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2007	4	1486497	0.269089005897758
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2010	4	1550237	0.25802506326452
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2011	4	1654175	0.241812383816706
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2017	4	1733291	0.230774867001559
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2018	4	1691428	0.236486566380597
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2022	6	1718441	0.349153680574428
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2000	4	1361689	0.293752831960896
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2001	4	1420272	0.281636193630516
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2002	4	1452733	0.275343094704946
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2003	4	1474407	0.271295510669713
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2004	4	1483898	0.269560306705717
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2005	4	1483098	0.269705710613864
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2006	4	1487479	0.268911359420872
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2007	4	1498025	0.267018240683567
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2008	4	1519892	0.263176594126425
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2009	4	1554094	0.257384688442269
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2010	4	1587829	0.251916295772404
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2011	4	1671217	0.239346536087175
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2012	4	1731526	0.231010103226865
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2013	4	1770138	0.225971082480575
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2014	4	1785941	0.223971564570162
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2015	4	1762150	0.226995431716937
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2016	4	1714649	0.233283896587581
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2017	4	1677678	0.23842477519524
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2018	4	1643358	0.243404054381334
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2019	4	1615209	0.247645970273816
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2020	4	1610597	0.248355113041934
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2021	2	1607120	0.12444621434616
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2022	8	1686424	0.47437655061835
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2000	10	1288774	0.77593123387033
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2001	4	1354373	0.295339614714706
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2002	4	1397013	0.286325180939619
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2003	15	1426855	1.05126309260577
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2004	4	1455519	0.274816062174386
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2005	15	1467280	1.02229976555259
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2006	13	1480574	0.878037842080166
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2007	15	1486497	1.00908377211659
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2008	15	1497956	1.00136452606085
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2009	18	1522604	1.1821852563109
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2010	10	1550237	0.6450626581613
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2011	17	1654175	1.027702631221
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2012	12	1737366	0.690700750446365
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2013	11	1794159	0.61310062263155
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2014	16	1826372	0.876053728375161
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2015	11	1815640	0.60584697406975
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2016	17	1773358	0.958633282168632
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2017	20	1733291	1.1538743350078
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2018	17	1691428	1.00506790711754
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2019	12	1660340	0.722743534456798
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2020	4	1652385	0.242074334976413
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2021	16	1642560	0.974089226573154
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2022	13	1718441	0.756499641244593
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2000	4	1361689	0.293752831960896
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2002	4	1452733	0.275343094704946
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2003	4	1474407	0.271295510669713
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2004	4	1483898	0.269560306705717
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2005	4	1483098	0.269705710613864
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2006	4	1487479	0.268911359420872
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2007	4	1498025	0.267018240683567
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2008	4	1519892	0.263176594126425
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2009	4	1554094	0.257384688442269
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2010	4	1587829	0.251916295772404
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2011	4	1671217	0.239346536087175
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2012	4	1731526	0.231010103226865
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2013	4	1770138	0.225971082480575
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2014	4	1785941	0.223971564570162
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2015	4	1762150	0.226995431716937
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2016	4	1714649	0.233283896587581
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2019	4	1615209	0.247645970273816
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2020	4	1610597	0.248355113041934
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2021	3	1607120	0.186669321519239
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2000	4	1288774	0.310372493548132
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2001	4	1354373	0.295339614714706
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2002	4	1397013	0.286325180939619
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2003	4	1426855	0.280336824694871
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2004	4	1455519	0.274816062174386
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2005	4	1467280	0.272613270814023
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2006	4	1480574	0.27016548987082
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2007	4	1486497	0.269089005897758
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2008	4	1497956	0.267030540282892
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2009	4	1522604	0.262707834735755
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2010	4	1550237	0.25802506326452
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2011	4	1654175	0.241812383816706
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2012	4	1737366	0.230233583482122
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2013	4	1794159	0.222945680956927
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2014	4	1826372	0.21901343209379
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2015	4	1815640	0.220307990570818
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2016	4	1773358	0.225560772274972
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2017	4	1733291	0.230774867001559
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2018	4	1691428	0.236486566380597
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2019	4	1660340	0.240914511485599
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2020	4	1652385	0.242074334976413
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2022	6	1718441	0.349153680574428
Black or African American	Not Hispanic or Latino	20-24 years	I12.9	Female	2010	4	1587829	0.251916295772404
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2000	4	1361689	0.293752831960896
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2001	4	1420272	0.281636193630516
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2002	4	1452733	0.275343094704946
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2004	4	1483898	0.269560306705717
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2005	4	1483098	0.269705710613864
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2006	4	1487479	0.268911359420872
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2007	4	1498025	0.267018240683567
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2012	4	1731526	0.231010103226865
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2014	4	1785941	0.223971564570162
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2000	4	1288774	0.310372493548132
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2002	4	1397013	0.286325180939619
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2003	4	1426855	0.280336824694871
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2004	4	1455519	0.274816062174386
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2005	4	1467280	0.272613270814023
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2006	4	1480574	0.27016548987082
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2007	4	1486497	0.269089005897758
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2008	4	1497956	0.267030540282892
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2009	4	1522604	0.262707834735755
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2012	4	1737366	0.230233583482122
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2013	4	1794159	0.222945680956927
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2017	4	1733291	0.230774867001559
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2019	4	1660340	0.240914511485599
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2020	4	1652385	0.242074334976413
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Female	2021	2	1607120	0.12444621434616
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2001	4	1354373	0.295339614714706
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2003	4	1426855	0.280336824694871
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2004	4	1455519	0.274816062174386
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2007	4	1486497	0.269089005897758
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2011	4	1654175	0.241812383816706
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2012	4	1737366	0.230233583482122
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2014	4	1826372	0.21901343209379
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Female	2012	4	1731526	0.231010103226865
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Male	2000	4	1288774	0.310372493548132
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Male	2019	4	1660340	0.240914511485599
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2002	4	1293736	0.309182089699908
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2003	4	1295263	0.308817591485281
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2004	4	1324683	0.301959034727554
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2006	4	1406128	0.284469123721311
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2007	4	1434645	0.278814619644581
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2008	4	1454865	0.274939599206799
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2009	4	1459525	0.274061766670663
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2010	4	1454543	0.275000464063283
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2011	4	1465672	0.272912356925697
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2012	4	1482708	0.269776651909884
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2013	4	1510526	0.264808417729983
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2014	4	1571068	0.254603874561763
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2015	4	1639497	0.243977268637881
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2016	4	1707945	0.234199579026257
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2017	4	1773228	0.22557730872736
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2018	4	1811064	0.22086464089618
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2020	4	1789798	0.223488907686789
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2021	2	1717789	0.116428734844617
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2022	6	1673395	0.358552523462781
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2000	4	1217250	0.328609570753748
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2001	4	1176367	0.340029939636185
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2002	4	1161423	0.344405096162208
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2003	4	1156545	0.345857705493517
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2004	4	1184157	0.337793046023458
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2005	4	1219297	0.32805788909511
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2006	4	1261035	0.317199760514181
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2007	4	1295064	0.308865044507453
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2008	4	1326472	0.301551785488122
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2009	4	1341280	0.298222593343672
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2010	4	1342341	0.297986875168083
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2011	4	1368360	0.292320734309685
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2012	4	1400570	0.285598006525914
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2013	4	1442576	0.277281751533368
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2014	4	1517010	0.263676574313947
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2015	4	1599040	0.250150090054032
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2016	4	1683093	0.237657693306312
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2017	4	1765639	0.226546876230079
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2018	4	1824430	0.219246559199312
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2019	4	1845874	0.216699514701437
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2020	4	1830579	0.218510099809951
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2021	2	1736416	0.115179772589057
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2022	6	1704656	0.351977173107067
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2001	4	1304639	0.306598223723191
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2002	4	1293736	0.309182089699908
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2003	4	1295263	0.308817591485281
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2004	4	1324683	0.301959034727554
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2005	4	1363164	0.293434979210132
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2006	4	1406128	0.284469123721311
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2008	4	1454865	0.274939599206799
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2009	4	1459525	0.274061766670663
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2010	4	1454543	0.275000464063283
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2011	4	1465672	0.272912356925697
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2012	4	1482708	0.269776651909884
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2013	4	1510526	0.264808417729983
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2014	4	1571068	0.254603874561763
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2015	4	1639497	0.243977268637881
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2017	4	1773228	0.22557730872736
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2018	4	1811064	0.22086464089618
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2019	4	1817908	0.220033136990431
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2020	4	1789798	0.223488907686789
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2021	2	1717789	0.116428734844617
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2022	6	1673395	0.358552523462781
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2000	4	1217250	0.328609570753748
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2004	4	1184157	0.337793046023458
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2005	4	1219297	0.32805788909511
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2006	4	1261035	0.317199760514181
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2007	4	1295064	0.308865044507453
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2008	4	1326472	0.301551785488122
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2009	4	1341280	0.298222593343672
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2010	4	1342341	0.297986875168083
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2011	4	1368360	0.292320734309685
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2012	4	1400570	0.285598006525914
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2013	4	1442576	0.277281751533368
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2014	4	1517010	0.263676574313947
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2015	4	1599040	0.250150090054032
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2016	4	1683093	0.237657693306312
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2017	4	1765639	0.226546876230079
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2018	4	1824430	0.219246559199312
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2019	4	1845874	0.216699514701437
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2020	4	1830579	0.218510099809951
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2021	2	1736416	0.115179772589057
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Male	2022	8	1704656	0.469302897476089
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2000	17	1345107	1.26383997704272
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2001	12	1304639	0.919794671169572
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2002	4	1293736	0.309182089699908
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2003	14	1295263	1.08086157019848
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2004	24	1324683	1.81175420836532
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2005	22	1363164	1.61389238565572
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2006	12	1406128	0.853407371163934
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2007	13	1434645	0.906147513844888
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2008	16	1454865	1.0997583968272
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2009	17	1459525	1.16476250835032
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2010	4	1454543	0.275000464063283
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2011	16	1465672	1.09164942770279
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2012	15	1482708	1.01166244466206
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2013	13	1510526	0.860627357622444
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2014	13	1571068	0.82746259232573
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2015	16	1639497	0.975909074551524
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2016	13	1707945	0.761148631835334
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2017	15	1773228	0.845914907727602
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2018	24	1811064	1.32518784537708
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2019	20	1817908	1.10016568495215
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2020	24	1789798	1.34093344612074
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2021	16	1717789	0.931429878756937
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Female	2022	15	1673395	0.896381308656952
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2000	19	1217250	1.5608954610803
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2001	15	1176367	1.27511227363569
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2002	30	1161423	2.58303822121656
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2003	22	1156545	1.90221738021435
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2004	25	1184157	2.11120653764661
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2005	21	1219297	1.72230391774933
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2006	33	1261035	2.61689802424199
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2007	29	1295064	2.23927157267903
Black or African American	Not Hispanic or Latino	25-29 years	I11.9	Male	2008	36	1326472	2.7139660693931
