Cause of death Code	Race	Gender	Gender Code	Five-Year Ages	Five-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
I132	Black or African American	Female	F	55-59 years	55-59	2011	2011	14	1242711	1.12656925061418
I500	Black or African American	Female	F	55-59 years	55-59	2011	2011	112	1242711	9.01255400491345
I509	Black or African American	Female	F	55-59 years	55-59	2011	2011	34	1242711	2.73595389434873
I110	Black or African American	Female	F	55-59 years	55-59	2012	2012	58	1292069	4.48892435311117
I500	Black or African American	Female	F	55-59 years	55-59	2012	2012	122	1292069	9.44222019102695
I130	Black or African American	Female	F	55-59 years	55-59	2012	2012	1	1292069	0.077395247467434
I132	Black or African American	Female	F	55-59 years	55-59	2012	2012	14	1292069	1.08353346454408
I509	Black or African American	Female	F	55-59 years	55-59	2012	2012	25	1292069	1.93488118668585
I110	Black or African American	Female	F	55-59 years	55-59	2013	2013	72	1330735	5.41054379722484
I130	Black or African American	Female	F	55-59 years	55-59	2013	2013	1	1330735	0.0751464416281228
I132	Black or African American	Female	F	55-59 years	55-59	2013	2013	13	1330735	0.976903741165596
I500	Black or African American	Female	F	55-59 years	55-59	2013	2013	137	1330735	10.2950625030528
I501	Black or African American	Female	F	55-59 years	55-59	2013	2013	2	1330735	0.150292883256246
I509	Black or African American	Female	F	55-59 years	55-59	2013	2013	27	1330735	2.02895392395932
I110	Black or African American	Female	F	55-59 years	55-59	2014	2014	67	1364351	4.91075976783101
I500	Black or African American	Female	F	55-59 years	55-59	2014	2014	145	1364351	10.6277636766492
I130	Black or African American	Female	F	55-59 years	55-59	2014	2014	1	1364351	0.0732949219079255
I132	Black or African American	Female	F	55-59 years	55-59	2014	2014	7	1364351	0.513064453355478
I509	Black or African American	Female	F	55-59 years	55-59	2014	2014	30	1364351	2.19884765723776
I501	Black or African American	Female	F	55-59 years	55-59	2014	2014	2	1364351	0.146589843815851
I110	Black or African American	Female	F	55-59 years	55-59	2015	2015	64	1395987	4.58456991361667
I500	Black or African American	Female	F	55-59 years	55-59	2015	2015	144	1395987	10.3152823056375
I132	Black or African American	Female	F	55-59 years	55-59	2015	2015	17	1395987	1.21777638330443
I509	Black or African American	Female	F	55-59 years	55-59	2015	2015	38	1395987	2.7220883862099
I501	Black or African American	Female	F	55-59 years	55-59	2015	2015	1	1395987	0.0716339049002605
I110	Black or African American	Female	F	55-59 years	55-59	2016	2016	69	1412482	4.88501800376925
I130	Black or African American	Female	F	55-59 years	55-59	2016	2016	1	1412482	0.0707973623734674
I132	Black or African American	Female	F	55-59 years	55-59	2016	2016	17	1412482	1.20355516034895
I500	Black or African American	Female	F	55-59 years	55-59	2016	2016	156	1412482	11.0443885302609
I501	Black or African American	Female	F	55-59 years	55-59	2016	2016	1	1412482	0.0707973623734674
I509	Black or African American	Female	F	55-59 years	55-59	2016	2016	53	1412482	3.75226020579377
I110	Black or African American	Female	F	55-59 years	55-59	2017	2017	67	1421202	4.71431928747638
I130	Black or African American	Female	F	55-59 years	55-59	2017	2017	1	1421202	0.0703629744399459
I132	Black or African American	Female	F	55-59 years	55-59	2017	2017	22	1421202	1.54798543767881
I500	Black or African American	Female	F	55-59 years	55-59	2017	2017	189	1421202	13.2986021691498
I501	Black or African American	Female	F	55-59 years	55-59	2017	2017	5	1421202	0.35181487219973
I509	Black or African American	Female	F	55-59 years	55-59	2017	2017	47	1421202	3.30705979867746
I110	Black or African American	Female	F	55-59 years	55-59	2018	2018	72	1426347	5.04786002284157
I130	Black or African American	Female	F	55-59 years	55-59	2018	2018	1	1426347	0.0701091669839106
I132	Black or African American	Female	F	55-59 years	55-59	2018	2018	16	1426347	1.12174667174257
I500	Black or African American	Female	F	55-59 years	55-59	2018	2018	177	1426347	12.4093225561522
I501	Black or African American	Female	F	55-59 years	55-59	2018	2018	3	1426347	0.210327500951732
I509	Black or African American	Female	F	55-59 years	55-59	2018	2018	73	1426347	5.11796918982548
I110	Black or African American	Female	F	55-59 years	55-59	2019	2019	84	1428980	5.87831880082296
I500	Black or African American	Female	F	55-59 years	55-59	2019	2019	190	1428980	13.2961972875758
I132	Black or African American	Female	F	55-59 years	55-59	2019	2019	25	1428980	1.74949964310207
I509	Black or African American	Female	F	55-59 years	55-59	2019	2019	80	1428980	5.59839885792663
I501	Black or African American	Female	F	55-59 years	55-59	2019	2019	2	1428980	0.139959971448166
I110	Black or African American	Female	F	55-59 years	55-59	2020	2020	92	1421662	6.47129908515526
I130	Black or African American	Female	F	55-59 years	55-59	2020	2020	1	1421662	0.0703402074473398
I132	Black or African American	Female	F	55-59 years	55-59	2020	2020	21	1421662	1.47714435639414
I500	Black or African American	Female	F	55-59 years	55-59	2020	2020	166	1421662	11.6764744362584
I501	Black or African American	Female	F	55-59 years	55-59	2020	2020	4	1421662	0.281360829789359
I509	Black or African American	Female	F	55-59 years	55-59	2020	2020	78	1421662	5.4865361808925
I110	Black or African American	Female	F	55-59 years	55-59	2021	2021	78	1392255	5.60242197011323
I130	Black or African American	Female	F	55-59 years	55-59	2021	2021	2	1392255	0.143651845387519
I132	Black or African American	Female	F	55-59 years	55-59	2021	2021	19	1392255	1.36469253118143
I500	Black or African American	Female	F	55-59 years	55-59	2021	2021	152	1392255	10.9175402494514
I501	Black or African American	Female	F	55-59 years	55-59	2021	2021	5	1392255	0.359129613468797
I509	Black or African American	Female	F	55-59 years	55-59	2021	2021	76	1392255	5.45877012472571
	Black or African American	Female	F	55-59 years	55-59	2022	2022	363	1417444	25.6094773409038
I110	Black or African American	Female	F	60-64 years	60-64	1999	1999	52	585855	8.87591639569518
I500	Black or African American	Female	F	60-64 years	60-64	1999	1999	92	585855	15.7035443923838
I132	Black or African American	Female	F	60-64 years	60-64	1999	1999	11	585855	1.87759769908937
I509	Black or African American	Female	F	60-64 years	60-64	1999	1999	15	585855	2.56036049875823
I110	Black or African American	Female	F	60-64 years	60-64	2000	2000	38	596149	6.37424536483329
I509	Black or African American	Female	F	60-64 years	60-64	2000	2000	16	596149	2.68389278519296
I130	Black or African American	Female	F	60-64 years	60-64	2000	2000	1	596149	0.16774329907456
I132	Black or African American	Female	F	60-64 years	60-64	2000	2000	7	596149	1.17420309352192
I500	Black or African American	Female	F	60-64 years	60-64	2000	2000	107	596149	17.9485330009779
I110	Black or African American	Female	F	60-64 years	60-64	2001	2001	56	610941	9.16618789703097
I132	Black or African American	Female	F	60-64 years	60-64	2001	2001	15	610941	2.45522890099044
I500	Black or African American	Female	F	60-64 years	60-64	2001	2001	123	610941	20.1328769881216
I501	Black or African American	Female	F	60-64 years	60-64	2001	2001	2	610941	0.327363853465392
I509	Black or African American	Female	F	60-64 years	60-64	2001	2001	20	610941	3.27363853465392
I110	Black or African American	Female	F	60-64 years	60-64	2002	2002	39	629297	6.1973916926348
I500	Black or African American	Female	F	60-64 years	60-64	2002	2002	114	629297	18.1154526400094
I132	Black or African American	Female	F	60-64 years	60-64	2002	2002	10	629297	1.58907479298328
I509	Black or African American	Female	F	60-64 years	60-64	2002	2002	10	629297	1.58907479298328
I501	Black or African American	Female	F	60-64 years	60-64	2002	2002	1	629297	0.158907479298328
I110	Black or African American	Female	F	60-64 years	60-64	2003	2003	42	653908	6.42292187891875
I132	Black or African American	Female	F	60-64 years	60-64	2003	2003	16	653908	2.44682738244524
I500	Black or African American	Female	F	60-64 years	60-64	2003	2003	130	653908	19.8804724823675
I509	Black or African American	Female	F	60-64 years	60-64	2003	2003	13	653908	1.98804724823676
I110	Black or African American	Female	F	60-64 years	60-64	2004	2004	51	678186	7.52006086825738
I132	Black or African American	Female	F	60-64 years	60-64	2004	2004	10	678186	1.474521738874
I500	Black or African American	Female	F	60-64 years	60-64	2004	2004	102	678186	15.0401217365148
I501	Black or African American	Female	F	60-64 years	60-64	2004	2004	1	678186	0.1474521738874
I509	Black or African American	Female	F	60-64 years	60-64	2004	2004	23	678186	3.39139999941019
I110	Black or African American	Female	F	60-64 years	60-64	2005	2005	56	698748	8.01433420918557
I500	Black or African American	Female	F	60-64 years	60-64	2005	2005	133	698748	19.0340437468157
I132	Black or African American	Female	F	60-64 years	60-64	2005	2005	7	698748	1.0017917761482
I509	Black or African American	Female	F	60-64 years	60-64	2005	2005	21	698748	3.00537532844459
I501	Black or African American	Female	F	60-64 years	60-64	2005	2005	1	698748	0.143113110878314
I110	Black or African American	Female	F	60-64 years	60-64	2006	2006	50	720394	6.94064636851501
I500	Black or African American	Female	F	60-64 years	60-64	2006	2006	123	720394	17.0739900665469
I132	Black or African American	Female	F	60-64 years	60-64	2006	2006	10	720394	1.388129273703
I509	Black or African American	Female	F	60-64 years	60-64	2006	2006	14	720394	1.9433809831842
I501	Black or African American	Female	F	60-64 years	60-64	2006	2006	1	720394	0.1388129273703
I110	Black or African American	Female	F	60-64 years	60-64	2007	2007	47	768767	6.11368594125398
I132	Black or African American	Female	F	60-64 years	60-64	2007	2007	11	768767	1.430862667102
I509	Black or African American	Female	F	60-64 years	60-64	2007	2007	27	768767	3.51211745561399
I500	Black or African American	Female	F	60-64 years	60-64	2007	2007	123	768767	15.999646186686
I110	Black or African American	Female	F	60-64 years	60-64	2008	2008	59	815179	7.23767417953603
I500	Black or African American	Female	F	60-64 years	60-64	2008	2008	123	815179	15.0887105776768
I132	Black or African American	Female	F	60-64 years	60-64	2008	2008	11	815179	1.34939688093045
I509	Black or African American	Female	F	60-64 years	60-64	2008	2008	23	815179	2.82146620558184
I110	Black or African American	Female	F	60-64 years	60-64	2009	2009	54	873483	6.18214664738753
I132	Black or African American	Female	F	60-64 years	60-64	2009	2009	12	873483	1.37381036608612
I509	Black or African American	Female	F	60-64 years	60-64	2009	2009	21	873483	2.40416814065071
I500	Black or African American	Female	F	60-64 years	60-64	2009	2009	141	873483	16.1422718015119
I110	Black or African American	Female	F	60-64 years	60-64	2010	2010	43	927423	4.63650351565575
I500	Black or African American	Female	F	60-64 years	60-64	2010	2010	132	927423	14.2329875364316
I132	Black or African American	Female	F	60-64 years	60-64	2010	2010	10	927423	1.07825663154785
I509	Black or African American	Female	F	60-64 years	60-64	2010	2010	27	927423	2.91129290517919
I110	Black or African American	Female	F	60-64 years	60-64	2011	2011	45	1006503	4.47092557101171
I500	Black or African American	Female	F	60-64 years	60-64	2011	2011	137	1006503	13.6114845161912
I132	Black or African American	Female	F	60-64 years	60-64	2011	2011	10	1006503	0.99353901578038
I509	Black or African American	Female	F	60-64 years	60-64	2011	2011	31	1006503	3.07997094891918
I501	Black or African American	Female	F	60-64 years	60-64	2011	2011	3	1006503	0.298061704734114
I110	Black or African American	Female	F	60-64 years	60-64	2012	2012	62	1040236	5.96018595780188
I500	Black or African American	Female	F	60-64 years	60-64	2012	2012	162	1040236	15.5733891155469
I132	Black or African American	Female	F	60-64 years	60-64	2012	2012	15	1040236	1.44198047366175
I509	Black or African American	Female	F	60-64 years	60-64	2012	2012	31	1040236	2.98009297890094
I501	Black or African American	Female	F	60-64 years	60-64	2012	2012	4	1040236	0.384528126309799
I110	Black or African American	Female	F	60-64 years	60-64	2013	2013	74	1075039	6.88347120430049
I500	Black or African American	Female	F	60-64 years	60-64	2013	2013	189	1075039	17.580757535308
I132	Black or African American	Female	F	60-64 years	60-64	2013	2013	23	1075039	2.13945726620151
I509	Black or African American	Female	F	60-64 years	60-64	2013	2013	40	1075039	3.72079524556784
I501	Black or African American	Female	F	60-64 years	60-64	2013	2013	4	1075039	0.372079524556784
I110	Black or African American	Female	F	60-64 years	60-64	2014	2014	78	1114807	6.99672678768612
I500	Black or African American	Female	F	60-64 years	60-64	2014	2014	207	1114807	18.5682364750132
I130	Black or African American	Female	F	60-64 years	60-64	2014	2014	1	1114807	0.0897016254831554
I132	Black or African American	Female	F	60-64 years	60-64	2014	2014	16	1114807	1.43522600773049
I509	Black or African American	Female	F	60-64 years	60-64	2014	2014	38	1114807	3.4086617683599
I501	Black or African American	Female	F	60-64 years	60-64	2014	2014	2	1114807	0.179403250966311
I110	Black or African American	Female	F	60-64 years	60-64	2015	2015	78	1153658	6.76110251044937
I132	Black or African American	Female	F	60-64 years	60-64	2015	2015	20	1153658	1.73361602832035
I500	Black or African American	Female	F	60-64 years	60-64	2015	2015	205	1153658	17.7695642902836
I501	Black or African American	Female	F	60-64 years	60-64	2015	2015	3	1153658	0.260042404248053
I509	Black or African American	Female	F	60-64 years	60-64	2015	2015	54	1153658	4.68076327646495
I110	Black or African American	Female	F	60-64 years	60-64	2016	2016	72	1190046	6.05018629531968
I130	Black or African American	Female	F	60-64 years	60-64	2016	2016	2	1190046	0.168060730425547
I132	Black or African American	Female	F	60-64 years	60-64	2016	2016	17	1190046	1.42851620861715
I500	Black or African American	Female	F	60-64 years	60-64	2016	2016	252	1190046	21.1756520336189
I501	Black or African American	Female	F	60-64 years	60-64	2016	2016	4	1190046	0.336121460851093
I509	Black or African American	Female	F	60-64 years	60-64	2016	2016	67	1190046	5.63003446925581
I110	Black or African American	Female	F	60-64 years	60-64	2017	2017	109	1239642	8.79286116475563
I130	Black or African American	Female	F	60-64 years	60-64	2017	2017	2	1239642	0.161336902105608
I132	Black or African American	Female	F	60-64 years	60-64	2017	2017	22	1239642	1.77470592316169
I500	Black or African American	Female	F	60-64 years	60-64	2017	2017	240	1239642	19.3604282526729
I501	Black or African American	Female	F	60-64 years	60-64	2017	2017	2	1239642	0.161336902105608
I509	Black or African American	Female	F	60-64 years	60-64	2017	2017	85	1239642	6.85681833948834
I110	Black or African American	Female	F	60-64 years	60-64	2018	2018	123	1272746	9.66414351331687
I130	Black or African American	Female	F	60-64 years	60-64	2018	2018	3	1272746	0.235710817397973
I132	Black or African American	Female	F	60-64 years	60-64	2018	2018	27	1272746	2.12139735658175
I500	Black or African American	Female	F	60-64 years	60-64	2018	2018	230	1272746	18.0711626671779
I501	Black or African American	Female	F	60-64 years	60-64	2018	2018	4	1272746	0.314281089863963
I509	Black or African American	Female	F	60-64 years	60-64	2018	2018	83	1272746	6.52133261467724
I110	Black or African American	Female	F	60-64 years	60-64	2019	2019	101	1301964	7.7575109603645
I130	Black or African American	Female	F	60-64 years	60-64	2019	2019	1	1301964	0.0768070392115297
I132	Black or African American	Female	F	60-64 years	60-64	2019	2019	30	1301964	2.30421117634589
I500	Black or African American	Female	F	60-64 years	60-64	2019	2019	257	1301964	19.7394090773631
I501	Black or African American	Female	F	60-64 years	60-64	2019	2019	5	1301964	0.384035196057648
I509	Black or African American	Female	F	60-64 years	60-64	2019	2019	86	1301964	6.60540537219155
I110	Black or African American	Female	F	60-64 years	60-64	2020	2020	130	1329313	9.77948759998586
I130	Black or African American	Female	F	60-64 years	60-64	2020	2020	6	1329313	0.451360966153193
I132	Black or African American	Female	F	60-64 years	60-64	2020	2020	32	1329313	2.40725848615036
I500	Black or African American	Female	F	60-64 years	60-64	2020	2020	261	1329313	19.6342020276639
I501	Black or African American	Female	F	60-64 years	60-64	2020	2020	5	1329313	0.376134138460995
I509	Black or African American	Female	F	60-64 years	60-64	2020	2020	109	1329313	8.19972421844968
I110	Black or African American	Female	F	60-64 years	60-64	2021	2021	142	1321124	10.7484233122705
I130	Black or African American	Female	F	60-64 years	60-64	2021	2021	4	1321124	0.30277248766959
I132	Black or African American	Female	F	60-64 years	60-64	2021	2021	30	1321124	2.27079365752193
I500	Black or African American	Female	F	60-64 years	60-64	2021	2021	290	1321124	21.9510053560453
I501	Black or African American	Female	F	60-64 years	60-64	2021	2021	2	1321124	0.151386243834795
I509	Black or African American	Female	F	60-64 years	60-64	2021	2021	112	1321124	8.47762965474853
	Black or African American	Female	F	60-64 years	60-64	2022	2022	565	1343676	42.0488272470447
I110	Black or African American	Female	F	65-69 years	65-69	1999	1999	47	507961	9.25267884739183
I500	Black or African American	Female	F	65-69 years	65-69	1999	1999	164	507961	32.2859432121757
I130	Black or African American	Female	F	65-69 years	65-69	1999	1999	2	507961	0.393731014782631
I132	Black or African American	Female	F	65-69 years	65-69	1999	1999	19	507961	3.74044464043499
I509	Black or African American	Female	F	65-69 years	65-69	1999	1999	18	507961	3.54357913304368
I110	Black or African American	Female	F	65-69 years	65-69	2000	2000	49	508629	9.63374089955547
I132	Black or African American	Female	F	65-69 years	65-69	2000	2000	14	508629	2.75249739987299
I509	Black or African American	Female	F	65-69 years	65-69	2000	2000	14	508629	2.75249739987299
I500	Black or African American	Female	F	65-69 years	65-69	2000	2000	184	508629	36.1756801126165
I110	Black or African American	Female	F	65-69 years	65-69	2001	2001	57	522334	10.9125578652739
I132	Black or African American	Female	F	65-69 years	65-69	2001	2001	17	522334	3.25462252122205
I509	Black or African American	Female	F	65-69 years	65-69	2001	2001	13	522334	2.48882898681686
I500	Black or African American	Female	F	65-69 years	65-69	2001	2001	173	522334	33.1205703630244
I110	Black or African American	Female	F	65-69 years	65-69	2002	2002	56	530031	10.565419758467
I500	Black or African American	Female	F	65-69 years	65-69	2002	2002	151	530031	28.4888997058663
I130	Black or African American	Female	F	65-69 years	65-69	2002	2002	1	530031	0.188668209972624
I132	Black or African American	Female	F	65-69 years	65-69	2002	2002	22	530031	4.15070061939773
I509	Black or African American	Female	F	65-69 years	65-69	2002	2002	20	530031	3.77336419945248
I110	Black or African American	Female	F	65-69 years	65-69	2003	2003	68	539527	12.6036324410085
I500	Black or African American	Female	F	65-69 years	65-69	2003	2003	160	539527	29.6556057435494
I130	Black or African American	Female	F	65-69 years	65-69	2003	2003	1	539527	0.185347535897184
I132	Black or African American	Female	F	65-69 years	65-69	2003	2003	16	539527	2.96556057435494
I509	Black or African American	Female	F	65-69 years	65-69	2003	2003	25	539527	4.6336883974296
I110	Black or African American	Female	F	65-69 years	65-69	2004	2004	47	548655	8.56640329533131
I500	Black or African American	Female	F	65-69 years	65-69	2004	2004	139	548655	25.3346820861926
I132	Black or African American	Female	F	65-69 years	65-69	2004	2004	17	548655	3.09848629831132
I509	Black or African American	Female	F	65-69 years	65-69	2004	2004	20	548655	3.64527799801332
I110	Black or African American	Female	F	65-69 years	65-69	2005	2005	64	561769	11.3925830724016
I500	Black or African American	Female	F	65-69 years	65-69	2005	2005	180	561769	32.0416398911296
I132	Black or African American	Female	F	65-69 years	65-69	2005	2005	15	561769	2.67013665759414
I509	Black or African American	Female	F	65-69 years	65-69	2005	2005	22	561769	3.91620043113807
I501	Black or African American	Female	F	65-69 years	65-69	2005	2005	1	561769	0.178009110506276
I110	Black or African American	Female	F	65-69 years	65-69	2006	2006	39	574475	6.78880717176552
I509	Black or African American	Female	F	65-69 years	65-69	2006	2006	25	574475	4.35179946908046
I130	Black or African American	Female	F	65-69 years	65-69	2006	2006	1	574475	0.174071978763219
I132	Black or African American	Female	F	65-69 years	65-69	2006	2006	11	574475	1.9147917663954
I500	Black or African American	Female	F	65-69 years	65-69	2006	2006	176	574475	30.6366682623265
I110	Black or African American	Female	F	65-69 years	65-69	2007	2007	48	592733	8.09808126087125
I500	Black or African American	Female	F	65-69 years	65-69	2007	2007	169	592733	28.5119944393175
I132	Black or African American	Female	F	65-69 years	65-69	2007	2007	22	592733	3.71162057789932
I509	Black or African American	Female	F	65-69 years	65-69	2007	2007	35	592733	5.90485091938529
I110	Black or African American	Female	F	65-69 years	65-69	2008	2008	59	617326	9.5573489533893
I500	Black or African American	Female	F	65-69 years	65-69	2008	2008	152	617326	24.6223227273758
I132	Black or African American	Female	F	65-69 years	65-69	2008	2008	17	617326	2.75381241029861
I509	Black or African American	Female	F	65-69 years	65-69	2008	2008	21	617326	3.40176827154534
I501	Black or African American	Female	F	65-69 years	65-69	2008	2008	1	617326	0.161988965311683
I110	Black or African American	Female	F	65-69 years	65-69	2009	2009	66	641482	10.2886752862902
I500	Black or African American	Female	F	65-69 years	65-69	2009	2009	152	641482	23.6951309623653
I132	Black or African American	Female	F	65-69 years	65-69	2009	2009	14	641482	2.18244627284943
I509	Black or African American	Female	F	65-69 years	65-69	2009	2009	27	641482	4.20900352620962
I501	Black or African American	Female	F	65-69 years	65-69	2009	2009	2	641482	0.31177803897849
I110	Black or African American	Female	F	65-69 years	65-69	2010	2010	46	657563	6.99552742474865
I500	Black or African American	Female	F	65-69 years	65-69	2010	2010	153	657563	23.2677325214466
I132	Black or African American	Female	F	65-69 years	65-69	2010	2010	14	657563	2.12907356405394
I509	Black or African American	Female	F	65-69 years	65-69	2010	2010	28	657563	4.25814712810788
I501	Black or African American	Female	F	65-69 years	65-69	2010	2010	1	657563	0.15207668314671
I110	Black or African American	Female	F	65-69 years	65-69	2011	2011	78	680703	11.4587419182815
I130	Black or African American	Female	F	65-69 years	65-69	2011	2011	1	680703	0.146906947670276
I132	Black or African American	Female	F	65-69 years	65-69	2011	2011	16	680703	2.35051116272442
I500	Black or African American	Female	F	65-69 years	65-69	2011	2011	150	680703	22.0360421505414
I501	Black or African American	Female	F	65-69 years	65-69	2011	2011	1	680703	0.146906947670276
I509	Black or African American	Female	F	65-69 years	65-69	2011	2011	25	680703	3.6726736917569
I110	Black or African American	Female	F	65-69 years	65-69	2012	2012	73	729212	10.0108061853069
I500	Black or African American	Female	F	65-69 years	65-69	2012	2012	183	729212	25.09558262892
I132	Black or African American	Female	F	65-69 years	65-69	2012	2012	25	729212	3.42835828263934
I509	Black or African American	Female	F	65-69 years	65-69	2012	2012	33	729212	4.52543293308393
I110	Black or African American	Female	F	65-69 years	65-69	2013	2013	79	774692	10.1976011111513
I500	Black or African American	Female	F	65-69 years	65-69	2013	2013	202	774692	26.0748787905387
I132	Black or African American	Female	F	65-69 years	65-69	2013	2013	16	774692	2.06533693390405
I509	Black or African American	Female	F	65-69 years	65-69	2013	2013	30	774692	3.8725067510701
I110	Black or African American	Female	F	65-69 years	65-69	2014	2014	70	828528	8.44871869146245
I130	Black or African American	Female	F	65-69 years	65-69	2014	2014	2	828528	0.241391962613213
I132	Black or African American	Female	F	65-69 years	65-69	2014	2014	18	828528	2.17252766351892
I500	Black or African American	Female	F	65-69 years	65-69	2014	2014	221	828528	26.67381186876
I501	Black or African American	Female	F	65-69 years	65-69	2014	2014	2	828528	0.241391962613213
I509	Black or African American	Female	F	65-69 years	65-69	2014	2014	34	828528	4.10366336442462
I110	Black or African American	Female	F	65-69 years	65-69	2015	2015	66	885437	7.45394646937049
I500	Black or African American	Female	F	65-69 years	65-69	2015	2015	237	885437	26.7664441400122
I132	Black or African American	Female	F	65-69 years	65-69	2015	2015	21	885437	2.37171024025425
I509	Black or African American	Female	F	65-69 years	65-69	2015	2015	44	885437	4.96929764624699
I501	Black or African American	Female	F	65-69 years	65-69	2015	2015	5	885437	0.564692914346249
I110	Black or African American	Female	F	65-69 years	65-69	2016	2016	83	946010	8.77369161002526
I500	Black or African American	Female	F	65-69 years	65-69	2016	2016	275	946010	29.0694601536982
I132	Black or African American	Female	F	65-69 years	65-69	2016	2016	19	946010	2.00843542880096
I509	Black or African American	Female	F	65-69 years	65-69	2016	2016	81	946010	8.562277354362
I501	Black or African American	Female	F	65-69 years	65-69	2016	2016	1	946010	0.10570712783163
I110	Black or African American	Female	F	65-69 years	65-69	2017	2017	105	978448	10.7312805585989
I130	Black or African American	Female	F	65-69 years	65-69	2017	2017	1	978448	0.102202671986656
I132	Black or African American	Female	F	65-69 years	65-69	2017	2017	27	978448	2.75947214363972
I500	Black or African American	Female	F	65-69 years	65-69	2017	2017	290	978448	29.6387748761304
