Race	Hispanic Origin	Five-Year Age Groups	Cause of death Code	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2009	44	1403007	3.13612120253142
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2010	38	1384151	2.74536520943163
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2011	53	1344610	3.94166338194718
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2012	35	1338520	2.61482831784359
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2013	29	1344139	2.15751495939036
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2014	52	1374316	3.78370040078119
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2015	43	1413525	3.04204028934755
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2016	36	1445255	2.49090990863204
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2017	35	1475146	2.37264650414264
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2018	37	1494278	2.47611220937469
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2019	44	1501244	2.93090263807882
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2020	52	1502992	3.45976558757465
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2021	57	1528319	3.72958786745437
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Female	2022	48	1533513	3.13006802029067
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	1999	104	1334212	7.79486318516098
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2000	89	1333184	6.67574768374058
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2001	110	1322748	8.31602088984448
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2002	102	1298817	7.85330034947186
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2003	101	1273108	7.93334108339591
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2004	100	1248378	8.01039428762763
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2005	97	1238840	7.82990539536986
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2006	88	1244414	7.07160157310991
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2007	78	1253650	6.2218322498305
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2008	91	1253548	7.25939493342098
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2009	87	1244299	6.9918886055522
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2010	89	1226242	7.25794745246044
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2011	72	1193704	6.03164603620328
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2012	80	1189759	6.72405083718635
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2013	77	1199943	6.41697147281163
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2014	63	1231071	5.11749525413238
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2015	93	1271310	7.31528895391368
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2016	87	1303281	6.67545985861836
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2017	78	1336143	5.83769850981519
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2018	103	1361639	7.56441318146733
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2019	102	1374076	7.42317018854852
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2020	86	1383849	6.2145508650149
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2021	118	1434313	8.22693512503896
Black or African American	Not Hispanic or Latino	35-39 years	I21.9	Male	2022	109	1453787	7.49765956085726
Black or African American	Not Hispanic or Latino	35-39 years	I22.9	Male	2012	5	1189759	0.420253177324147
Black or African American	Not Hispanic or Latino	35-39 years	I22.9	Male	2016	5	1303281	0.3836471183114
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	1999	5	1507328	0.331712805706522
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2000	5	1505402	0.332137196576064
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2001	5	1491812	0.3351628757511
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2002	5	1467701	0.340668841950779
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2003	5	1440844	0.347018830629825
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2005	5	1396992	0.357911856331318
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2006	5	1405559	0.355730353546169
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2007	5	1413720	0.35367682426506
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2009	5	1403007	0.35637740937857
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2011	5	1344610	0.371855036032753
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2012	5	1338520	0.373546902549084
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2014	5	1374316	0.36381734622896
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2015	5	1413525	0.353725615040413
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2016	5	1445255	0.345959709532228
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2017	5	1475146	0.338949500591806
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2018	5	1494278	0.334609758023607
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2019	5	1501244	0.333057117963502
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2020	5	1502992	0.332669768036024
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2021	2	1528319	0.130862732191382
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Female	2022	6	1533513	0.391258502536333
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	1999	5	1334212	0.374753037748124
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2000	5	1333184	0.375042004704527
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2001	5	1322748	0.378000949538385
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2002	5	1298817	0.384965703405484
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2003	5	1273108	0.392739657593857
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2004	5	1248378	0.400519714381381
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2005	5	1238840	0.403603370895354
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2006	5	1244414	0.4017955439267
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2007	5	1253650	0.39883540063016
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2008	5	1253548	0.398867853484669
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2009	5	1244299	0.401832678480012
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2010	5	1226242	0.4077498568798
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2011	5	1193704	0.418864308069672
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2012	5	1189759	0.420253177324147
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2013	5	1199943	0.416686459273482
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2014	5	1231071	0.406150416994633
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2015	5	1271310	0.393295105049123
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2017	5	1336143	0.374211442936871
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2019	5	1374076	0.363880891595516
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2020	5	1383849	0.361311096803192
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2021	2	1434313	0.139439578390491
Black or African American	Not Hispanic or Latino	35-39 years	I24.8	Male	2022	6	1453787	0.412715205184804
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2001	5	1491812	0.3351628757511
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2003	5	1440844	0.347018830629825
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2005	5	1396992	0.357911856331318
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2006	5	1405559	0.355730353546169
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2007	5	1413720	0.35367682426506
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2008	5	1412276	0.3540384457429
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2009	5	1403007	0.35637740937857
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2010	5	1384151	0.361232264398899
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2012	5	1338520	0.373546902549084
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2014	5	1374316	0.36381734622896
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2016	5	1445255	0.345959709532228
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2017	5	1475146	0.338949500591806
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2019	5	1501244	0.333057117963502
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2020	5	1502992	0.332669768036024
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Female	2021	2	1528319	0.130862732191382
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2000	5	1333184	0.375042004704527
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2001	5	1322748	0.378000949538385
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2004	5	1248378	0.400519714381381
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2006	5	1244414	0.4017955439267
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2007	5	1253650	0.39883540063016
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2008	5	1253548	0.398867853484669
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2009	5	1244299	0.401832678480012
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2010	5	1226242	0.4077498568798
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2012	5	1189759	0.420253177324147
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2013	5	1199943	0.416686459273482
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2015	5	1271310	0.393295105049123
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2016	5	1303281	0.3836471183114
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2017	5	1336143	0.374211442936871
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2018	5	1361639	0.367204523372201
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2019	5	1374076	0.363880891595516
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2020	5	1383849	0.361311096803192
Black or African American	Not Hispanic or Latino	35-39 years	I24.9	Male	2021	2	1434313	0.139439578390491
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	1999	30	1507328	1.99027683423913
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2000	22	1505402	1.46140366493468
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2001	25	1491812	1.6758143787555
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2002	26	1467701	1.77147797814405
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2003	21	1440844	1.45747908864527
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2004	15	1408319	1.06509959746336
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2005	27	1396992	1.93272402418911
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2006	21	1405559	1.49406748489391
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2007	25	1413720	1.7683841213253
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2008	27	1412276	1.91180760701166
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2009	27	1403007	1.92443801064428
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2010	23	1384151	1.66166841623493
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2011	21	1344610	1.56179115133756
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2012	24	1338520	1.7930251322356
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2013	13	1344139	0.967161878347403
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2014	26	1374316	1.89185020039059
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2015	29	1413525	2.0516085672344
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2016	34	1445255	2.35252602481915
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2017	38	1475146	2.57601620449772
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2018	38	1494278	2.54303416097942
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2019	32	1501244	2.13156555496641
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2020	39	1502992	2.59482419068099
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2021	41	1528319	2.68268600992332
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Female	2022	42	1533513	2.73880951775433
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	1999	80	1334212	5.99604860396998
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2000	64	1333184	4.80053766021794
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2001	64	1322748	4.83841215409133
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2002	73	1298817	5.62049926972006
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2003	51	1273108	4.00594450745734
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2004	38	1248378	3.0439498292985
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2005	79	1238840	6.37693326014659
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2006	72	1244414	5.78585583254447
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2007	66	1253650	5.26462728831811
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2008	46	1253548	3.66958425205896
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2009	64	1244299	5.14345828454415
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2010	62	1226242	5.05609822530952
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2011	67	1193704	5.61278172813361
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2012	74	1189759	6.21974702439738
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2013	68	1199943	5.66693584611936
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2014	85	1231071	6.90455708890876
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2015	83	1271310	6.52869874381543
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2016	78	1303281	5.98489504565784
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2017	77	1336143	5.76285622122782
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2018	93	1361639	6.83000413472293
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2019	76	1374076	5.53098955225184
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2020	102	1383849	7.37074637478511
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2021	117	1434313	8.15721533584371
Black or African American	Not Hispanic or Latino	35-39 years	I25.0	Male	2022	120	1453787	8.25430410369607
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	1999	50	1507328	3.31712805706522
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2000	58	1505402	3.85279148028234
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2001	45	1491812	3.0164658817599
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2002	50	1467701	3.40668841950779
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2003	43	1440844	2.9843619434165
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2004	54	1408319	3.83435855086809
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2005	39	1396992	2.79171247938428
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2006	49	1405559	3.48615746475246
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2007	33	1413720	2.33426704014939
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2008	33	1412276	2.33665374190314
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2009	23	1403007	1.63933608314142
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2010	32	1384151	2.31188649215295
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2011	32	1344610	2.37987223060962
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2012	38	1338520	2.83895645937304
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2013	32	1344139	2.38070616208592
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2014	46	1374316	3.34711958530644
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2015	29	1413525	2.0516085672344
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2016	26	1445255	1.79899048956759
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2017	33	1475146	2.23706670390592
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2018	33	1494278	2.20842440295581
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2019	26	1501244	1.73189701341021
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2020	30	1502992	1.99601860821614
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2021	28	1528319	1.83207825067934
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Female	2022	36	1533513	2.347551015218
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	1999	105	1334212	7.8698137927106
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2000	107	1333184	8.02589890067688
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2001	103	1322748	7.78681956049074
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2002	98	1298817	7.54532778674748
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2003	91	1273108	7.1478617682082
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2004	85	1248378	6.80883514448348
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2005	99	1238840	7.991346743728
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2006	85	1244414	6.83052424675389
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2007	86	1253650	6.85996889083875
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2008	73	1253548	5.82347066087617
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2009	84	1244299	6.7507889984642
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2010	64	1226242	5.21919816806144
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2011	62	1193704	5.19391742006394
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2012	73	1189759	6.13569638893255
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2013	68	1199943	5.66693584611936
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2014	58	1231071	4.71134483713774
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2015	54	1271310	4.24758713453052
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2016	64	1303281	4.91068311438592
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2017	55	1336143	4.11632587230558
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2018	64	1361639	4.70021789916417
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2019	58	1374076	4.22101834250798
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2020	71	1383849	5.13061757460532
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2021	51	1434313	3.55570924895751
Black or African American	Not Hispanic or Latino	35-39 years	I25.1	Male	2022	59	1453787	4.05836618431723
Black or African American	Not Hispanic or Latino	35-39 years	I25.2	Female	2001	5	1491812	0.3351628757511
Black or African American	Not Hispanic or Latino	35-39 years	I25.2	Male	1999	5	1334212	0.374753037748124
Black or African American	Not Hispanic or Latino	35-39 years	I25.2	Male	2000	5	1333184	0.375042004704527
Black or African American	Not Hispanic or Latino	35-39 years	I25.2	Male	2005	5	1238840	0.403603370895354
Black or African American	Not Hispanic or Latino	35-39 years	I25.3	Male	2001	5	1322748	0.378000949538385
Black or African American	Not Hispanic or Latino	35-39 years	I25.3	Male	2010	5	1226242	0.4077498568798
Black or African American	Not Hispanic or Latino	35-39 years	I25.3	Male	2013	5	1199943	0.416686459273482
Black or African American	Not Hispanic or Latino	35-39 years	I25.4	Female	1999	5	1507328	0.331712805706522
Black or African American	Not Hispanic or Latino	35-39 years	I25.4	Male	2019	5	1374076	0.363880891595516
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	1999	5	1507328	0.331712805706522
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2000	5	1505402	0.332137196576064
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2001	5	1491812	0.3351628757511
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2002	5	1467701	0.340668841950779
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2004	5	1408319	0.355033199154453
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2005	5	1396992	0.357911856331318
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2006	5	1405559	0.355730353546169
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2008	5	1412276	0.3540384457429
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2009	5	1403007	0.35637740937857
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2010	5	1384151	0.361232264398899
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2011	5	1344610	0.371855036032753
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2012	5	1338520	0.373546902549084
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2013	5	1344139	0.371985337825924
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2015	5	1413525	0.353725615040413
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2016	5	1445255	0.345959709532228
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2018	5	1494278	0.334609758023607
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2019	5	1501244	0.333057117963502
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2020	5	1502992	0.332669768036024
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2021	2	1528319	0.130862732191382
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Female	2022	6	1533513	0.391258502536333
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	1999	5	1334212	0.374753037748124
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2000	5	1333184	0.375042004704527
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2001	5	1322748	0.378000949538385
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2002	5	1298817	0.384965703405484
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2003	5	1273108	0.392739657593857
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2004	5	1248378	0.400519714381381
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2005	5	1238840	0.403603370895354
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2006	5	1244414	0.4017955439267
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2007	5	1253650	0.39883540063016
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2008	5	1253548	0.398867853484669
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2009	5	1244299	0.401832678480012
Black or African American	Not Hispanic or Latino	35-39 years	I25.5	Male	2010	5	1226242	0.4077498568798
