"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"1999"	"1999"	12	296727	Unreliable	2.1	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2000"	"2000"	20	289071	6.9	4.2	10.7	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2001"	"2001"	13	271445	Unreliable	2.6	8.2	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2002"	"2002"	14	271183	Unreliable	2.8	8.7	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2003"	"2003"	13	268738	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2004"	"2004"	16	291291	Unreliable	3.1	8.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2005"	"2005"	13	291186	Unreliable	2.4	7.6	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2006"	"2006"	12	277780	Unreliable	2.2	7.5	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2007"	"2007"	26	268078	9.7	6.3	14.2	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2008"	"2008"	19	258143	Unreliable	4.4	11.5	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2009"	"2009"	19	266637	Unreliable	4.3	11.1	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2010"	"2010"	17	263044	Unreliable	3.8	10.3	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2011"	"2011"	15	272158	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2012"	"2012"	12	275188	Unreliable	2.3	7.6	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2013"	"2013"	19	285576	Unreliable	4.0	10.4	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2014"	"2014"	14	306420	Unreliable	2.5	7.7	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2015"	"2015"	16	296096	Unreliable	3.1	8.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2016"	"2016"	15	298153	Unreliable	2.8	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2017"	"2017"	16	298583	Unreliable	3.1	8.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2018"	"2018"	17	295448	Unreliable	3.4	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2019"	"2019"	20	307480	6.5	4.0	10.0	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2020 "	"2020"	21	309726	6.8	4.2	10.4	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"1999"	"1999"	19	309142	Unreliable	3.7	9.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2000"	"2000"	11	308201	Unreliable	1.8	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2001"	"2001"	13	285590	Unreliable	2.4	7.8	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2002"	"2002"	12	272422	Unreliable	2.3	7.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2003"	"2003"	12	272295	Unreliable	2.3	7.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2004"	"2004"	14	270441	Unreliable	2.8	8.7	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2005"	"2005"	16	293433	Unreliable	3.1	8.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2007"	"2007"	17	280631	Unreliable	3.5	9.7	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2008"	"2008"	15	271104	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2009"	"2009"	14	261354	Unreliable	2.9	9.0	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2010"	"2010"	13	268610	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2011"	"2011"	18	261199	Unreliable	4.1	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2012"	"2012"	14	272932	Unreliable	2.8	8.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2013"	"2013"	15	275610	Unreliable	3.0	9.0	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2014"	"2014"	23	287255	8.0	5.1	12.0	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2015"	"2015"	18	307267	Unreliable	3.5	9.3	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2016"	"2016"	26	296340	8.8	5.7	12.9	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2017"	"2017"	18	299601	Unreliable	3.6	9.5	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2018"	"2018"	21	298858	7.0	4.3	10.7	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2019"	"2019"	17	295680	Unreliable	3.3	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2020 "	"2020"	24	308355	7.8	5.0	11.6	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"1999"	"1999"	17	300226	Unreliable	3.3	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2000"	"2000"	16	300699	Unreliable	3.0	8.6	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2001"	"2001"	16	305261	Unreliable	3.0	8.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2002"	"2002"	20	286015	7.0	4.3	10.8	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2003"	"2003"	19	272635	Unreliable	4.2	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2005"	"2005"	11	270863	Unreliable	2.0	7.3	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2006"	"2006"	13	293899	Unreliable	2.4	7.6	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2007"	"2007"	13	294129	Unreliable	2.4	7.6	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2008"	"2008"	17	280978	Unreliable	3.5	9.7	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2009"	"2009"	12	271393	Unreliable	2.3	7.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2010"	"2010"	14	261414	Unreliable	2.9	9.0	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2011"	"2011"	19	269433	Unreliable	4.2	11.0	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2012"	"2012"	17	261958	Unreliable	3.8	10.4	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2013"	"2013"	21	273443	7.7	4.8	11.7	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2014"	"2014"	20	277202	7.2	4.4	11.1	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2015"	"2015"	24	288058	8.3	5.3	12.4	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2016"	"2016"	19	307407	Unreliable	3.7	9.7	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2017"	"2017"	25	297834	8.4	5.4	12.4	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2018"	"2018"	16	299784	Unreliable	3.1	8.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2019"	"2019"	20	299248	6.7	4.1	10.3	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2020 "	"2020"	27	296468	9.1	6.0	13.3	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"1999"	"1999"	20	301874	6.6	4.0	10.2	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2000"	"2000"	33	298213	11.1	7.6	15.5	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2001"	"2001"	24	304020	7.9	5.1	11.7	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2002"	"2002"	14	305602	Unreliable	2.5	7.7	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2003"	"2003"	21	286190	7.3	4.5	11.2	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2004"	"2004"	15	272949	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2005"	"2005"	20	273047	7.3	4.5	11.3	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2006"	"2006"	19	271217	Unreliable	4.2	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2007"	"2007"	21	294165	7.1	4.4	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2008"	"2008"	19	294402	Unreliable	3.9	10.1	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2009"	"2009"	18	281235	Unreliable	3.8	10.1	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2010"	"2010"	20	274485	7.3	4.5	11.3	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2011"	"2011"	26	261918	9.9	6.5	14.5	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2012"	"2012"	18	269990	Unreliable	4.0	10.5	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2013"	"2013"	22	262373	8.4	5.3	12.7	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2014"	"2014"	18	274812	Unreliable	3.9	10.4	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2015"	"2015"	14	278050	Unreliable	2.8	8.4	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2016"	"2016"	26	288157	9.0	5.9	13.2	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2017"	"2017"	29	308794	9.4	6.3	13.5	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2018"	"2018"	30	297841	10.1	6.8	14.4	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2019"	"2019"	26	300060	8.7	5.7	12.7	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	"2020 "	"2020"	26	299803	8.7	5.7	12.7	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"1999"	"1999"	23	292211	7.9	5.0	11.8	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2000"	"2000"	17	297201	Unreliable	3.3	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2001"	"2001"	24	299425	8.0	5.1	11.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2002"	"2002"	22	304067	7.2	4.5	11.0	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2003"	"2003"	35	305524	11.5	8.0	15.9	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2004"	"2004"	23	286283	8.0	5.1	12.1	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2005"	"2005"	15	272995	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2006"	"2006"	27	273135	9.9	6.5	14.4	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2007"	"2007"	25	271228	9.2	6.0	13.6	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2008"	"2008"	17	294112	Unreliable	3.4	9.3	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2009"	"2009"	24	294370	8.2	5.2	12.1	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2010"	"2010"	26	281951	9.2	6.0	13.5	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2011"	"2011"	26	271095	9.6	6.3	14.1	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2012"	"2012"	29	262257	11.1	7.4	15.9	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2013"	"2013"	19	270238	Unreliable	4.2	11.0	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2014"	"2014"	30	263668	11.4	7.7	16.2	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2015"	"2015"	21	275633	7.6	4.7	11.6	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2016"	"2016"	25	277990	9.0	5.8	13.3	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2017"	"2017"	22	289452	7.6	4.8	11.5	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2018"	"2018"	28	308652	9.1	6.0	13.1	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2019"	"2019"	40	297826	13.4	9.6	18.3	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	"2020 "	"2020"	30	300422	10.0	6.7	14.3	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"1999"	"1999"	29	303875	9.5	6.4	13.7	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2000"	"2000"	25	301088	8.3	5.4	12.3	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2001"	"2001"	28	297516	9.4	6.3	13.6	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2002"	"2002"	24	299595	8.0	5.1	11.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2003"	"2003"	25	304200	8.2	5.3	12.1	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2004"	"2004"	25	305935	8.2	5.3	12.1	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2005"	"2005"	38	286654	13.3	9.4	18.2	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2006"	"2006"	22	273461	8.0	5.0	12.2	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2007"	"2007"	30	273567	11.0	7.4	15.7	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2008"	"2008"	26	271680	9.6	6.3	14.0	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2009"	"2009"	36	294655	12.2	8.6	16.9	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2010"	"2010"	27	297691	9.1	6.0	13.2	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2011"	"2011"	25	280965	8.9	5.8	13.1	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2012"	"2012"	33	271383	12.2	8.4	17.1	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2013"	"2013"	17	262475	Unreliable	3.8	10.4	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2014"	"2014"	21	271379	7.7	4.8	11.8	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2015"	"2015"	20	264517	7.6	4.6	11.7	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2016"	"2016"	24	275361	8.7	5.6	13.0	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2017"	"2017"	35	279465	12.5	8.7	17.4	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2018"	"2018"	32	289143	11.1	7.6	15.6	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2019"	"2019"	30	308430	9.7	6.6	13.9	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	"2020 "	"2020"	31	297944	10.4	7.1	14.8	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"1999"	"1999"	30	308263	9.7	6.6	13.9	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2000"	"2000"	20	310517	6.4	3.9	9.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2001"	"2001"	23	299265	7.7	4.9	11.5	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2002"	"2002"	26	297329	8.7	5.7	12.8	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2003"	"2003"	38	299272	12.7	9.0	17.4	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2004"	"2004"	34	303968	11.2	7.7	15.6	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2005"	"2005"	37	305675	12.1	8.5	16.7	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	"2006"	"2006"	30	286481	10.5	7.1	14.9	1.9
