"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	0	1153549	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	0	1178457	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	0	1203124	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	1216870	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2011"	"2011"	0	1218225	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2012"	"2012"	0	1211117	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2013"	"2013"	0	1198946	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	1198329	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	1199926	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2016"	"2016"	0	1203390	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2017"	"2017"	0	1207089	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2018"	"2018"	0	1203778	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2019"	"2019"	0	1188868	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2020 "	"2020"	0	1194292	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"1999"	"1999"	Suppressed	3167434	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2000"	"2000"	Suppressed	3189724	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2001"	"2001"	Suppressed	3202946	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2002"	"2002"	Suppressed	3202661	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2003"	"2003"	0	3192811	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2004"	"2004"	Suppressed	3167811	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2005"	"2005"	Suppressed	3127151	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2006"	"2006"	0	3103199	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2007"	"2007"	0	3076310	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	3049126	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2009"	"2009"	0	3034550	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	3030706	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2011"	"2011"	0	3025569	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2012"	"2012"	0	3034888	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	3043933	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2014"	"2014"	0	3050968	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2015"	"2015"	0	3043790	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	3039914	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2017"	"2017"	0	3049074	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2018"	"2018"	0	3060164	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2019"	"2019"	0	3067557	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2020 "	"2020"	Suppressed	3083950	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	Suppressed	2799428	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	16	2831875	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	Suppressed	2905778	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	Suppressed	2957737	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	11	3011007	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2004"	"2004"	14	3065345	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	15	3120765	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	Suppressed	3171817	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2007"	"2007"	14	3220985	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2008"	"2008"	17	3267835	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	14	3304624	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2010"	"2010"	Suppressed	3319205	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2011"	"2011"	10	3345742	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	14	3366865	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	Suppressed	3372635	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	12	3367586	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	Suppressed	3342283	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	Suppressed	3294240	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	Suppressed	3251690	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2018"	"2018"	10	3201996	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2019"	"2019"	Suppressed	3163467	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2020 "	"2020"	Suppressed	3143038	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	67	2752016	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	74	2729999	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	80	2693115	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	72	2687193	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	84	2683307	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	89	2701278	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	94	2714103	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	76	2726529	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	87	2748019	3.2
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	87	2775106	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	103	2812534	3.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	88	2839351	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	102	2890354	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	72	2932865	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	89	2981135	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	82	3055628	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	85	3127225	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	87	3206458	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	96	3293098	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2018"	"2018"	114	3360161	3.4
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2019"	"2019"	104	3420785	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2020 "	"2020"	131	3459490	3.8
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	293	2928024	10.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	270	2947420	9.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	298	2967308	10.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	288	2954869	9.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	346	2939713	11.8
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	302	2918480	10.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	311	2903121	10.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	311	2900185	10.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	288	2885371	10.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	311	2858721	10.9
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	321	2817340	11.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	284	2788664	10.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	303	2754761	11.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	304	2754386	11.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	285	2756591	10.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	297	2780848	10.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	305	2800164	10.9
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	314	2797793	11.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	322	2826613	11.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2018"	"2018"	332	2849171	11.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2019"	"2019"	332	2879353	11.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2020 "	"2020"	389	2917360	13.3
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	535	2123125	25.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	560	2206359	25.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	601	2338690	25.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	676	2427025	27.9
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	776	2508152	30.9
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	789	2583955	30.5
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	735	2659853	27.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	788	2725618	28.9
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	746	2788991	26.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	895	2847158	31.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	816	2896554	28.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	836	2925567	28.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	774	2929318	26.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	821	2913712	28.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	832	2896386	28.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	764	2875907	26.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	793	2863655	27.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	837	2854999	29.3
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	754	2845566	26.5
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2018"	"2018"	770	2811658	27.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2019"	"2019"	754	2774547	27.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2020 "	"2020"	927	2745822	33.8
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	716	1289429	55.5
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	740	1317856	56.2
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	749	1360000	55.1
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	798	1428522	55.9
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	890	1500641	59.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	857	1584608	54.1
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	809	1674866	48.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	887	1766706	50.2
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	934	1854228	50.4
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	996	1938978	51.4
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	1069	2037954	52.5
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	1068	2121490	50.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	1081	2249214	48.1
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	1119	2332305	48.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	1219	2405774	50.7
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	1335	2479158	53.8
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	1375	2549645	53.9
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	1328	2602528	51.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	1473	2660844	55.4
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2018"	"2018"	1515	2699093	56.1
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2019"	"2019"	1455	2730944	53.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2020 "	"2020"	1849	2750975	67.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"1999"	"1999"	1077	943216	114.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2000"	"2000"	1090	949415	114.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2001"	"2001"	1038	963086	107.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2002"	"2002"	1081	972387	111.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2003"	"2003"	1109	986404	112.4
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2004"	"2004"	1058	999456	105.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2005"	"2005"	1078	1018383	105.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2006"	"2006"	1011	1041139	97.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2007"	"2007"	997	1065530	93.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2008"	"2008"	1086	1097809	98.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2009"	"2009"	1099	1129394	97.3
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2010"	"2010"	1049	1154227	90.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2011"	"2011"	1066	1196557	89.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2012"	"2012"	1068	1260777	84.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2013"	"2013"	1193	1331246	89.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2014"	"2014"	1192	1409606	84.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2015"	"2015"	1331	1488908	89.4
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2016"	"2016"	1430	1567841	91.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2017"	"2017"	1503	1646695	91.3
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2018"	"2018"	1586	1715869	92.4
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2019"	"2019"	1724	1798969	95.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2020 "	"2020"	2319	1884319	123.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"1999"	"1999"	1509	571170	264.2
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2000"	"2000"	1502	575818	260.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2001"	"2001"	1488	592581	251.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2002"	"2002"	1595	603490	264.3
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2003"	"2003"	1619	613061	264.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2004"	"2004"	1622	619972	261.6
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2005"	"2005"	1638	627513	261.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2006"	"2006"	1473	632037	233.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2007"	"2007"	1457	637143	228.7
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2008"	"2008"	1526	643996	237.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2009"	"2009"	1450	649006	223.4
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2010"	"2010"	1467	655779	223.7
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2011"	"2011"	1344	675058	199.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2012"	"2012"	1462	684084	213.7
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2013"	"2013"	1474	699348	210.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2014"	"2014"	1511	716232	211.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2015"	"2015"	1586	736690	215.3
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2016"	"2016"	1602	758737	211.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2017"	"2017"	1724	785781	219.4
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2018"	"2018"	1725	816332	211.3
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2019"	"2019"	1931	850084	227.2
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2020 "	"2020"	2326	878380	264.8
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"1999"	"1999"	1499	225142	665.8
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2000"	"2000"	1622	229308	707.3
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2001"	"2001"	1620	226836	714.2
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2002"	"2002"	1735	225501	769.4
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2003"	"2003"	1745	225873	772.6
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2004"	"2004"	1885	228060	826.5
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2005"	"2005"	1991	235430	845.7
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2006"	"2006"	1874	241177	777.0
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2007"	"2007"	1926	249077	773.3
