Race,Hispanic Origin,Five-Year Age Groups,Gender,Deaths,Year
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2001
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2002
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2003
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2004
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2005
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2006
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2007
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2008
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2010
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2011
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2012
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2013
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2014
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2015
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2016
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2017
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2018
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2019
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,2020
Black or African American,Not Hispanic or Latino,< 1 year,Female,10,1999
Black or African American,Not Hispanic or Latino,< 1 year,Female,19,2000
Black or African American,Not Hispanic or Latino,< 1 year,Female,16,2001
Black or African American,Not Hispanic or Latino,< 1 year,Female,17,2002
Black or African American,Not Hispanic or Latino,< 1 year,Female,12,2003
Black or African American,Not Hispanic or Latino,< 1 year,Female,16,2004
Black or African American,Not Hispanic or Latino,< 1 year,Female,17,2005
Black or African American,Not Hispanic or Latino,< 1 year,Female,16,2006
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2007
Black or African American,Not Hispanic or Latino,< 1 year,Female,18,2008
Black or African American,Not Hispanic or Latino,< 1 year,Female,16,2009
Black or African American,Not Hispanic or Latino,< 1 year,Female,27,2010
Black or African American,Not Hispanic or Latino,< 1 year,Female,20,2011
Black or African American,Not Hispanic or Latino,< 1 year,Female,17,2012
Black or African American,Not Hispanic or Latino,< 1 year,Female,15,2013
Black or African American,Not Hispanic or Latino,< 1 year,Female,10,2014
Black or African American,Not Hispanic or Latino,< 1 year,Female,13,2015
Black or African American,Not Hispanic or Latino,< 1 year,Female,16,2016
Black or African American,Not Hispanic or Latino,< 1 year,Female,12,2017
Black or African American,Not Hispanic or Latino,< 1 year,Female,15,2018
Black or African American,Not Hispanic or Latino,< 1 year,Female,5,2019
Black or African American,Not Hispanic or Latino,< 1 year,Female,16,2020
White,Not Hispanic or Latino,< 1 year,Female,19,1999
White,Not Hispanic or Latino,< 1 year,Female,21,2000
White,Not Hispanic or Latino,< 1 year,Female,19,2001
White,Not Hispanic or Latino,< 1 year,Female,19,2002
White,Not Hispanic or Latino,< 1 year,Female,24,2003
White,Not Hispanic or Latino,< 1 year,Female,25,2004
White,Not Hispanic or Latino,< 1 year,Female,23,2005
White,Not Hispanic or Latino,< 1 year,Female,25,2006
White,Not Hispanic or Latino,< 1 year,Female,27,2007
White,Not Hispanic or Latino,< 1 year,Female,39,2008
White,Not Hispanic or Latino,< 1 year,Female,27,2009
White,Not Hispanic or Latino,< 1 year,Female,26,2010
White,Not Hispanic or Latino,< 1 year,Female,25,2011
White,Not Hispanic or Latino,< 1 year,Female,18,2012
White,Not Hispanic or Latino,< 1 year,Female,21,2013
White,Not Hispanic or Latino,< 1 year,Female,20,2014
White,Not Hispanic or Latino,< 1 year,Female,14,2015
White,Not Hispanic or Latino,< 1 year,Female,20,2016
White,Not Hispanic or Latino,< 1 year,Female,20,2017
White,Not Hispanic or Latino,< 1 year,Female,18,2018
White,Not Hispanic or Latino,< 1 year,Female,22,2019
White,Not Hispanic or Latino,< 1 year,Female,22,2020
Black or African American,Not Stated,< 1 year,Female,5,2004
Black or African American,Not Stated,< 1 year,Female,5,2010
White,Not Stated,< 1 year,Female,5,2003
White,Not Stated,< 1 year,Female,5,2015
American Indian or Alaska Native,Hispanic or Latino,< 1 year,Male,5,2010
American Indian or Alaska Native,Hispanic or Latino,< 1 year,Male,5,2012
Asian or Pacific Islander,Hispanic or Latino,< 1 year,Male,5,2003
Asian or Pacific Islander,Hispanic or Latino,< 1 year,Male,5,2010
Black or African American,Hispanic or Latino,< 1 year,Male,5,1999
Black or African American,Hispanic or Latino,< 1 year,Male,5,2001
Black or African American,Hispanic or Latino,< 1 year,Male,5,2003
Black or African American,Hispanic or Latino,< 1 year,Male,5,2005
Black or African American,Hispanic or Latino,< 1 year,Male,5,2009
Black or African American,Hispanic or Latino,< 1 year,Male,5,2010
Black or African American,Hispanic or Latino,< 1 year,Male,5,2011
Black or African American,Hispanic or Latino,< 1 year,Male,5,2012
Black or African American,Hispanic or Latino,< 1 year,Male,5,2015
Black or African American,Hispanic or Latino,< 1 year,Male,5,2016
Black or African American,Hispanic or Latino,< 1 year,Male,5,2018
Black or African American,Hispanic or Latino,< 1 year,Male,5,2019
Black or African American,Hispanic or Latino,< 1 year,Male,5,2020
White,Hispanic or Latino,< 1 year,Male,5,1999
White,Hispanic or Latino,< 1 year,Male,5,2000
White,Hispanic or Latino,< 1 year,Male,5,2001
White,Hispanic or Latino,< 1 year,Male,5,2002
White,Hispanic or Latino,< 1 year,Male,5,2003
White,Hispanic or Latino,< 1 year,Male,11,2004
White,Hispanic or Latino,< 1 year,Male,13,2005
White,Hispanic or Latino,< 1 year,Male,17,2006
White,Hispanic or Latino,< 1 year,Male,13,2007
White,Hispanic or Latino,< 1 year,Male,17,2008
White,Hispanic or Latino,< 1 year,Male,17,2009
White,Hispanic or Latino,< 1 year,Male,12,2010
White,Hispanic or Latino,< 1 year,Male,5,2011
White,Hispanic or Latino,< 1 year,Male,5,2012
White,Hispanic or Latino,< 1 year,Male,5,2013
White,Hispanic or Latino,< 1 year,Male,5,2014
White,Hispanic or Latino,< 1 year,Male,11,2015
White,Hispanic or Latino,< 1 year,Male,13,2016
White,Hispanic or Latino,< 1 year,Male,5,2017
White,Hispanic or Latino,< 1 year,Male,5,2018
White,Hispanic or Latino,< 1 year,Male,5,2019
White,Hispanic or Latino,< 1 year,Male,13,2020
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,1999
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2002
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2005
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2006
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2010
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2013
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2014
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2015
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2018
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2019
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Male,5,2020
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2001
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2002
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2003
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2004
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2005
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2006
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2007
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2008
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2009
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2010
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2011
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2012
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2013
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2014
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2015
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2016
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2017
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2018
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2019
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Male,5,2020
Black or African American,Not Hispanic or Latino,< 1 year,Male,17,1999
Black or African American,Not Hispanic or Latino,< 1 year,Male,27,2000
Black or African American,Not Hispanic or Latino,< 1 year,Male,26,2001
Black or African American,Not Hispanic or Latino,< 1 year,Male,19,2002
Black or African American,Not Hispanic or Latino,< 1 year,Male,19,2003
Black or African American,Not Hispanic or Latino,< 1 year,Male,23,2004
Black or African American,Not Hispanic or Latino,< 1 year,Male,22,2005
Black or African American,Not Hispanic or Latino,< 1 year,Male,33,2006
Black or African American,Not Hispanic or Latino,< 1 year,Male,25,2007
Black or African American,Not Hispanic or Latino,< 1 year,Male,20,2008
Black or African American,Not Hispanic or Latino,< 1 year,Male,28,2009
Black or African American,Not Hispanic or Latino,< 1 year,Male,18,2010
Black or African American,Not Hispanic or Latino,< 1 year,Male,25,2011
Black or African American,Not Hispanic or Latino,< 1 year,Male,17,2012
Black or African American,Not Hispanic or Latino,< 1 year,Male,23,2013
Black or African American,Not Hispanic or Latino,< 1 year,Male,13,2014
Black or African American,Not Hispanic or Latino,< 1 year,Male,14,2015
Black or African American,Not Hispanic or Latino,< 1 year,Male,21,2016
Black or African American,Not Hispanic or Latino,< 1 year,Male,23,2017
Black or African American,Not Hispanic or Latino,< 1 year,Male,18,2018
Black or African American,Not Hispanic or Latino,< 1 year,Male,17,2019
Black or African American,Not Hispanic or Latino,< 1 year,Male,13,2020
White,Not Hispanic or Latino,< 1 year,Male,36,1999
White,Not Hispanic or Latino,< 1 year,Male,38,2000
White,Not Hispanic or Latino,< 1 year,Male,27,2001
White,Not Hispanic or Latino,< 1 year,Male,32,2002
White,Not Hispanic or Latino,< 1 year,Male,22,2003
White,Not Hispanic or Latino,< 1 year,Male,34,2004
White,Not Hispanic or Latino,< 1 year,Male,33,2005
White,Not Hispanic or Latino,< 1 year,Male,31,2006
White,Not Hispanic or Latino,< 1 year,Male,37,2007
White,Not Hispanic or Latino,< 1 year,Male,29,2008
White,Not Hispanic or Latino,< 1 year,Male,38,2009
White,Not Hispanic or Latino,< 1 year,Male,27,2010
White,Not Hispanic or Latino,< 1 year,Male,40,2011
White,Not Hispanic or Latino,< 1 year,Male,23,2012
White,Not Hispanic or Latino,< 1 year,Male,27,2013
White,Not Hispanic or Latino,< 1 year,Male,29,2014
White,Not Hispanic or Latino,< 1 year,Male,22,2015
White,Not Hispanic or Latino,< 1 year,Male,36,2016
White,Not Hispanic or Latino,< 1 year,Male,29,2017
White,Not Hispanic or Latino,< 1 year,Male,23,2018
White,Not Hispanic or Latino,< 1 year,Male,25,2019
White,Not Hispanic or Latino,< 1 year,Male,25,2020
Black or African American,Not Stated,< 1 year,Male,5,2002
White,Not Stated,< 1 year,Male,5,2003
White,Not Stated,< 1 year,Male,5,2007
White,Not Stated,< 1 year,Male,5,2009
Asian or Pacific Islander,Hispanic or Latino,1-4 years,Female,5,2015
Black or African American,Hispanic or Latino,1-4 years,Female,5,2000
Black or African American,Hispanic or Latino,1-4 years,Female,5,2010
White,Hispanic or Latino,1-4 years,Female,5,1999
White,Hispanic or Latino,1-4 years,Female,5,2000
White,Hispanic or Latino,1-4 years,Female,5,2001
White,Hispanic or Latino,1-4 years,Female,5,2002
White,Hispanic or Latino,1-4 years,Female,5,2003
White,Hispanic or Latino,1-4 years,Female,5,2005
White,Hispanic or Latino,1-4 years,Female,5,2006
White,Hispanic or Latino,1-4 years,Female,5,2007
White,Hispanic or Latino,1-4 years,Female,5,2008
White,Hispanic or Latino,1-4 years,Female,5,2009
White,Hispanic or Latino,1-4 years,Female,5,2010
White,Hispanic or Latino,1-4 years,Female,5,2011
White,Hispanic or Latino,1-4 years,Female,5,2012
White,Hispanic or Latino,1-4 years,Female,5,2013
White,Hispanic or Latino,1-4 years,Female,5,2014
White,Hispanic or Latino,1-4 years,Female,5,2015
White,Hispanic or Latino,1-4 years,Female,5,2016
White,Hispanic or Latino,1-4 years,Female,5,2017
White,Hispanic or Latino,1-4 years,Female,5,2018
White,Hispanic or Latino,1-4 years,Female,5,2019
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2007
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2008
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2010
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2011
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2018
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2019
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Female,5,2020
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2001
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2002
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2004
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2006
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2007
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2008
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2010
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2012
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2013
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2014
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2016
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2018
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Female,5,2020
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,1999
Black or African American,Not Hispanic or Latino,1-4 years,Female,10,2000
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2001
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2002
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2003
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2004
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2005
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2006
Black or African American,Not Hispanic or Latino,1-4 years,Female,12,2007
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2008
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2009
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2010
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2011
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2012
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2013
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2014
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2015
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2016
Black or African American,Not Hispanic or Latino,1-4 years,Female,10,2017
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2018
Black or African American,Not Hispanic or Latino,1-4 years,Female,11,2019
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,2020
White,Not Hispanic or Latino,1-4 years,Female,12,1999
White,Not Hispanic or Latino,1-4 years,Female,11,2000
White,Not Hispanic or Latino,1-4 years,Female,14,2001
White,Not Hispanic or Latino,1-4 years,Female,11,2002
White,Not Hispanic or Latino,1-4 years,Female,15,2003
White,Not Hispanic or Latino,1-4 years,Female,10,2004
White,Not Hispanic or Latino,1-4 years,Female,10,2005
White,Not Hispanic or Latino,1-4 years,Female,20,2006
White,Not Hispanic or Latino,1-4 years,Female,14,2007
White,Not Hispanic or Latino,1-4 years,Female,17,2008
White,Not Hispanic or Latino,1-4 years,Female,12,2009
White,Not Hispanic or Latino,1-4 years,Female,5,2010
White,Not Hispanic or Latino,1-4 years,Female,5,2011
White,Not Hispanic or Latino,1-4 years,Female,5,2012
White,Not Hispanic or Latino,1-4 years,Female,5,2013
White,Not Hispanic or Latino,1-4 years,Female,5,2014
White,Not Hispanic or Latino,1-4 years,Female,5,2015
White,Not Hispanic or Latino,1-4 years,Female,15,2016
White,Not Hispanic or Latino,1-4 years,Female,11,2017
White,Not Hispanic or Latino,1-4 years,Female,5,2018
White,Not Hispanic or Latino,1-4 years,Female,5,2019
White,Not Hispanic or Latino,1-4 years,Female,13,2020
Black or African American,Not Stated,1-4 years,Female,5,2010
Black or African American,Not Stated,1-4 years,Female,5,2018
White,Not Stated,1-4 years,Female,5,2001
White,Not Stated,1-4 years,Female,5,2013
American Indian or Alaska Native,Hispanic or Latino,1-4 years,Male,5,2006
American Indian or Alaska Native,Hispanic or Latino,1-4 years,Male,5,2011
Black or African American,Hispanic or Latino,1-4 years,Male,5,2002
Black or African American,Hispanic or Latino,1-4 years,Male,5,2003
Black or African American,Hispanic or Latino,1-4 years,Male,5,2006
Black or African American,Hispanic or Latino,1-4 years,Male,5,2012
Black or African American,Hispanic or Latino,1-4 years,Male,5,2017
White,Hispanic or Latino,1-4 years,Male,5,1999
White,Hispanic or Latino,1-4 years,Male,5,2001
White,Hispanic or Latino,1-4 years,Male,5,2002
White,Hispanic or Latino,1-4 years,Male,5,2003
White,Hispanic or Latino,1-4 years,Male,5,2004
White,Hispanic or Latino,1-4 years,Male,5,2005
White,Hispanic or Latino,1-4 years,Male,5,2006
White,Hispanic or Latino,1-4 years,Male,5,2007
White,Hispanic or Latino,1-4 years,Male,5,2008
White,Hispanic or Latino,1-4 years,Male,5,2009
White,Hispanic or Latino,1-4 years,Male,5,2010
White,Hispanic or Latino,1-4 years,Male,5,2011
White,Hispanic or Latino,1-4 years,Male,5,2012
White,Hispanic or Latino,1-4 years,Male,5,2013
White,Hispanic or Latino,1-4 years,Male,5,2014
White,Hispanic or Latino,1-4 years,Male,5,2015
White,Hispanic or Latino,1-4 years,Male,5,2016
White,Hispanic or Latino,1-4 years,Male,5,2017
White,Hispanic or Latino,1-4 years,Male,5,2018
White,Hispanic or Latino,1-4 years,Male,5,2019
White,Hispanic or Latino,1-4 years,Male,5,2020
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2003
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2006
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2012
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2013
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2014
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2015
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2016
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2017
American Indian or Alaska Native,Not Hispanic or Latino,1-4 years,Male,5,2018
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2001
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2002
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2005
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2008
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2010
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2012
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2014
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2016
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2017
Asian or Pacific Islander,Not Hispanic or Latino,1-4 years,Male,5,2019
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,1999
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2000
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2001
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2002
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2003
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2004
Black or African American,Not Hispanic or Latino,1-4 years,Male,10,2005
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2006
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2007
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2008
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2009
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2010
Black or African American,Not Hispanic or Latino,1-4 years,Male,14,2011
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2012
Black or African American,Not Hispanic or Latino,1-4 years,Male,12,2013
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2014
Black or African American,Not Hispanic or Latino,1-4 years,Male,12,2015
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2016
Black or African American,Not Hispanic or Latino,1-4 years,Male,11,2017
Black or African American,Not Hispanic or Latino,1-4 years,Male,5,2018
Black or African American,Not Hispanic or Latino,1-4 years,Male,11,2019
Black or African American,Not Hispanic or Latino,1-4 years,Male,10,2020
White,Not Hispanic or Latino,1-4 years,Male,15,1999
White,Not Hispanic or Latino,1-4 years,Male,14,2000
White,Not Hispanic or Latino,1-4 years,Male,14,2001
White,Not Hispanic or Latino,1-4 years,Male,18,2002
White,Not Hispanic or Latino,1-4 years,Male,5,2003
White,Not Hispanic or Latino,1-4 years,Male,15,2004
White,Not Hispanic or Latino,1-4 years,Male,20,2005
White,Not Hispanic or Latino,1-4 years,Male,12,2006
White,Not Hispanic or Latino,1-4 years,Male,12,2007
White,Not Hispanic or Latino,1-4 years,Male,13,2008
White,Not Hispanic or Latino,1-4 years,Male,15,2009
White,Not Hispanic or Latino,1-4 years,Male,17,2010
White,Not Hispanic or Latino,1-4 years,Male,5,2011
White,Not Hispanic or Latino,1-4 years,Male,17,2012
White,Not Hispanic or Latino,1-4 years,Male,5,2013
White,Not Hispanic or Latino,1-4 years,Male,5,2014
White,Not Hispanic or Latino,1-4 years,Male,10,2015
White,Not Hispanic or Latino,1-4 years,Male,12,2016
White,Not Hispanic or Latino,1-4 years,Male,18,2017
White,Not Hispanic or Latino,1-4 years,Male,5,2018
White,Not Hispanic or Latino,1-4 years,Male,10,2019
White,Not Hispanic or Latino,1-4 years,Male,14,2020
White,Not Stated,1-4 years,Male,5,2012
Asian or Pacific Islander,Hispanic or Latino,5-9 years,Female,5,2011
Black or African American,Hispanic or Latino,5-9 years,Female,5,2006
Black or African American,Hispanic or Latino,5-9 years,Female,5,2010
White,Hispanic or Latino,5-9 years,Female,5,1999
White,Hispanic or Latino,5-9 years,Female,5,2000
White,Hispanic or Latino,5-9 years,Female,5,2001
White,Hispanic or Latino,5-9 years,Female,5,2002
White,Hispanic or Latino,5-9 years,Female,5,2003
White,Hispanic or Latino,5-9 years,Female,5,2004
White,Hispanic or Latino,5-9 years,Female,5,2005
White,Hispanic or Latino,5-9 years,Female,5,2006
White,Hispanic or Latino,5-9 years,Female,5,2007
White,Hispanic or Latino,5-9 years,Female,5,2008
White,Hispanic or Latino,5-9 years,Female,5,2009
White,Hispanic or Latino,5-9 years,Female,5,2010
White,Hispanic or Latino,5-9 years,Female,5,2011
White,Hispanic or Latino,5-9 years,Female,5,2012
White,Hispanic or Latino,5-9 years,Female,5,2013
White,Hispanic or Latino,5-9 years,Female,10,2014
White,Hispanic or Latino,5-9 years,Female,5,2015
White,Hispanic or Latino,5-9 years,Female,5,2016
White,Hispanic or Latino,5-9 years,Female,5,2017
White,Hispanic or Latino,5-9 years,Female,5,2018
White,Hispanic or Latino,5-9 years,Female,5,2020
American Indian or Alaska Native,Not Hispanic or Latino,5-9 years,Female,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,5-9 years,Female,5,2003
American Indian or Alaska Native,Not Hispanic or Latino,5-9 years,Female,5,2006
American Indian or Alaska Native,Not Hispanic or Latino,5-9 years,Female,5,2011
American Indian or Alaska Native,Not Hispanic or Latino,5-9 years,Female,5,2020
Asian or Pacific Islander,Not Hispanic or Latino,5-9 years,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,5-9 years,Female,5,2001
Asian or Pacific Islander,Not Hispanic or Latino,5-9 years,Female,5,2005
