Race,Hispanic Origin,Five-Year Age Groups,Cause of death Code,Gender,Deaths,Year
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,I13.1,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,I11.9,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I11.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I11.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,I13.2,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I11.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I11.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I11.9,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,I13.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I11.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I11.9,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I12.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I12.0,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I13.2,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,I13.2,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,I11.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,I10,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,I11.0,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,I11.9,Male,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,100+ years,I10,Female,4,2000
American Indian or Alaska Native,Not Hispanic or Latino,100+ years,I10,Male,4,2000
American Indian or Alaska Native,Not Stated,55-59 years,I11.9,Female,4,2000
Asian or Pacific Islander,Hispanic or Latino,40-44 years,I12.0,Female,4,2000
Asian or Pacific Islander,Hispanic or Latino,50-54 years,I11.9,Male,4,2000
Asian or Pacific Islander,Hispanic or Latino,65-69 years,I10,Male,4,2000
Asian or Pacific Islander,Hispanic or Latino,75-79 years,I10,Male,4,2000
Asian or Pacific Islander,Hispanic or Latino,80-84 years,I10,Male,4,2000
Asian or Pacific Islander,Hispanic or Latino,95-99 years,I12.0,Female,4,2000
Asian or Pacific Islander,Hispanic or Latino,100+ years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I13.1,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,30-34 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,30-34 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,35-39 years,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,35-39 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,35-39 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,I13.1,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I11.9,Male,13,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,I13.1,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I11.9,Male,18,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,I13.1,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I11.9,Female,14,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I11.9,Male,17,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I10,Male,10,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I11.9,Female,11,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I11.9,Male,18,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I12.0,Male,14,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I12.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I13.1,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,I13.2,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I10,Female,14,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I10,Male,14,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I11.9,Female,19,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I11.9,Male,23,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I12.0,Female,13,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I12.0,Male,11,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I13.1,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I13.1,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,I13.2,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I10,Female,19,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I10,Male,15,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I11.0,Female,10,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I11.9,Female,25,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I11.9,Male,18,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I12.0,Female,25,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I12.0,Male,14,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I13.1,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,I13.2,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I10,Female,17,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I11.0,Female,17,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I11.9,Female,18,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I12.0,Male,14,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I13.1,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,I13.2,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I10,Female,13,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I11.0,Female,15,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I11.9,Female,11,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I12.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I13.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I13.1,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,I13.2,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I11.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I11.9,Female,10,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I11.9,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I12.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I13.1,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I13.2,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,I13.2,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,I10,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,I10,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,I11.0,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,I11.9,Female,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,I13.0,Female,4,2000
Asian or Pacific Islander,Not Stated,45-49 years,I12.0,Male,4,2000
Asian or Pacific Islander,Not Stated,100+ years,I13.1,Male,4,2000
Black or African American,Hispanic or Latino,40-44 years,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,40-44 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,40-44 years,I13.2,Female,4,2000
Black or African American,Hispanic or Latino,45-49 years,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,45-49 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,50-54 years,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,50-54 years,I12.0,Male,4,2000
Black or African American,Hispanic or Latino,55-59 years,I10,Male,4,2000
Black or African American,Hispanic or Latino,55-59 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,60-64 years ,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,65-69 years,I11.0,Female,4,2000
Black or African American,Hispanic or Latino,65-69 years,I12.0,Female,4,2000
Black or African American,Hispanic or Latino,65-69 years,I12.9,Male,4,2000
Black or African American,Hispanic or Latino,70-74 years,I10,Female,4,2000
Black or African American,Hispanic or Latino,70-74 years,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,70-74 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,70-74 years,I12.0,Female,4,2000
Black or African American,Hispanic or Latino,70-74 years,I13.1,Male,4,2000
Black or African American,Hispanic or Latino,70-74 years,I13.2,Male,4,2000
Black or African American,Hispanic or Latino,75-79 years,I11.0,Female,4,2000
Black or African American,Hispanic or Latino,75-79 years,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,75-79 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,75-79 years,I12.0,Male,4,2000
Black or African American,Hispanic or Latino,75-79 years,I13.2,Male,4,2000
Black or African American,Hispanic or Latino,80-84 years,I11.9,Female,4,2000
Black or African American,Hispanic or Latino,80-84 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,80-84 years,I13.1,Male,4,2000
Black or African American,Hispanic or Latino,85-89 years,I11.9,Male,4,2000
Black or African American,Hispanic or Latino,85-89 years,I12.0,Male,4,2000
Black or African American,Hispanic or Latino,90-94 years,I12.0,Male,4,2000
Black or African American,Hispanic or Latino,90-94 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,1-4 years,I11.9,Female,4,2000
Black or African American,Not Hispanic or Latino,5-9 years,I12.0,Female,4,2000
Black or African American,Not Hispanic or Latino,10-14 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,15-19 years,I10,Female,4,2000
Black or African American,Not Hispanic or Latino,15-19 years,I11.9,Female,4,2000
Black or African American,Not Hispanic or Latino,15-19 years,I11.9,Male,4,2000
Black or African American,Not Hispanic or Latino,15-19 years,I12.0,Female,4,2000
Black or African American,Not Hispanic or Latino,15-19 years,I13.1,Male,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I10,Female,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I11.9,Female,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I11.9,Male,10,2000
Black or African American,Not Hispanic or Latino,20-24 years,I12.0,Female,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I12.0,Male,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I13.1,Male,4,2000
Black or African American,Not Hispanic or Latino,20-24 years,I13.9,Male,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I10,Male,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.0,Male,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.9,Female,17,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.9,Male,19,2000
Black or African American,Not Hispanic or Latino,25-29 years,I12.0,Female,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I12.0,Male,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I13.1,Male,4,2000
Black or African American,Not Hispanic or Latino,25-29 years,I13.2,Male,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I10,Female,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I10,Male,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I11.0,Female,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I11.0,Male,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I11.9,Female,28,2000
Black or African American,Not Hispanic or Latino,30-34 years,I11.9,Male,44,2000
Black or African American,Not Hispanic or Latino,30-34 years,I12.0,Female,13,2000
Black or African American,Not Hispanic or Latino,30-34 years,I12.0,Male,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I13.1,Male,4,2000
Black or African American,Not Hispanic or Latino,30-34 years,I13.2,Male,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I10,Female,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I10,Male,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I11.0,Female,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I11.0,Male,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I11.9,Female,57,2000
Black or African American,Not Hispanic or Latino,35-39 years,I11.9,Male,76,2000
Black or African American,Not Hispanic or Latino,35-39 years,I12.0,Female,23,2000
Black or African American,Not Hispanic or Latino,35-39 years,I12.0,Male,21,2000
Black or African American,Not Hispanic or Latino,35-39 years,I12.9,Male,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I13.1,Male,4,2000
Black or African American,Not Hispanic or Latino,35-39 years,I13.9,Female,4,2000
Black or African American,Not Hispanic or Latino,40-44 years,I10,Female,20,2000
Black or African American,Not Hispanic or Latino,40-44 years,I10,Male,18,2000
Black or African American,Not Hispanic or Latino,40-44 years,I11.0,Female,10,2000
Black or African American,Not Hispanic or Latino,40-44 years,I11.0,Male,11,2000
Black or African American,Not Hispanic or Latino,40-44 years,I11.9,Female,100,2000
Black or African American,Not Hispanic or Latino,40-44 years,I11.9,Male,149,2000
Black or African American,Not Hispanic or Latino,40-44 years,I12.0,Female,25,2000
Black or African American,Not Hispanic or Latino,40-44 years,I12.0,Male,51,2000
Black or African American,Not Hispanic or Latino,40-44 years,I12.9,Female,4,2000
Black or African American,Not Hispanic or Latino,40-44 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,40-44 years,I13.1,Male,15,2000
Black or African American,Not Hispanic or Latino,40-44 years,I13.2,Female,4,2000
Black or African American,Not Hispanic or Latino,40-44 years,I13.2,Male,4,2000
Black or African American,Not Hispanic or Latino,40-44 years,I13.9,Male,4,2000
Black or African American,Not Hispanic or Latino,45-49 years,I10,Female,27,2000
Black or African American,Not Hispanic or Latino,45-49 years,I10,Male,46,2000
Black or African American,Not Hispanic or Latino,45-49 years,I11.0,Female,34,2000
Black or African American,Not Hispanic or Latino,45-49 years,I11.0,Male,24,2000
Black or African American,Not Hispanic or Latino,45-49 years,I11.9,Female,148,2000
Black or African American,Not Hispanic or Latino,45-49 years,I11.9,Male,209,2000
Black or African American,Not Hispanic or Latino,45-49 years,I12.0,Female,45,2000
Black or African American,Not Hispanic or Latino,45-49 years,I12.0,Male,48,2000
Black or African American,Not Hispanic or Latino,45-49 years,I12.9,Male,4,2000
Black or African American,Not Hispanic or Latino,45-49 years,I13.1,Female,4,2000
Black or African American,Not Hispanic or Latino,45-49 years,I13.1,Male,23,2000
Black or African American,Not Hispanic or Latino,45-49 years,I13.2,Female,4,2000
Black or African American,Not Hispanic or Latino,45-49 years,I13.2,Male,4,2000
Black or African American,Not Hispanic or Latino,45-49 years,I13.9,Female,4,2000
Black or African American,Not Hispanic or Latino,50-54 years,I10,Female,45,2000
Black or African American,Not Hispanic or Latino,50-54 years,I10,Male,66,2000
Black or African American,Not Hispanic or Latino,50-54 years,I11.0,Female,20,2000
Black or African American,Not Hispanic or Latino,50-54 years,I11.0,Male,41,2000
Black or African American,Not Hispanic or Latino,50-54 years,I11.9,Female,146,2000
Black or African American,Not Hispanic or Latino,50-54 years,I11.9,Male,264,2000
Black or African American,Not Hispanic or Latino,50-54 years,I12.0,Female,57,2000
Black or African American,Not Hispanic or Latino,50-54 years,I12.0,Male,62,2000
Black or African American,Not Hispanic or Latino,50-54 years,I12.9,Female,4,2000
Black or African American,Not Hispanic or Latino,50-54 years,I12.9,Male,4,2000
Black or African American,Not Hispanic or Latino,50-54 years,I13.1,Female,17,2000
Black or African American,Not Hispanic or Latino,50-54 years,I13.1,Male,20,2000
Black or African American,Not Hispanic or Latino,50-54 years,I13.2,Female,4,2000
Black or African American,Not Hispanic or Latino,50-54 years,I13.2,Male,4,2000
Black or African American,Not Hispanic or Latino,50-54 years,I13.9,Female,4,2000
Black or African American,Not Hispanic or Latino,55-59 years,I10,Female,41,2000
Black or African American,Not Hispanic or Latino,55-59 years,I10,Male,64,2000
Black or African American,Not Hispanic or Latino,55-59 years,I11.0,Female,38,2000
Black or African American,Not Hispanic or Latino,55-59 years,I11.0,Male,35,2000
Black or African American,Not Hispanic or Latino,55-59 years,I11.9,Female,178,2000
Black or African American,Not Hispanic or Latino,55-59 years,I11.9,Male,253,2000
Black or African American,Not Hispanic or Latino,55-59 years,I12.0,Female,64,2000
