"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"60-64 years "	"60-64"	0	11494	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"65-69 years"	"65-69"	0	8636	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"70-74 years"	"70-74"	0	6227	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"75-79 years"	"75-79"	0	3865	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"80-84 years"	"80-84"	0	2485	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"< 1 year"	"1"	0	92817	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"1-4 years"	"1-4"	0	418831	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"5-9 years"	"5-9"	0	560301	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"10-14 years"	"10-14"	0	540701	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"15-19 years"	"15-19"	0	563597	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"20-24 years"	"20-24"	0	605414	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"25-29 years"	"25-29"	0	732977	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"30-34 years"	"30-34"	0	868859	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"35-39 years"	"35-39"	0	873370	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"40-44 years"	"40-44"	0	804879	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"45-49 years"	"45-49"	0	767651	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"50-54 years"	"50-54"	0	692163	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"55-59 years"	"55-59"	0	620845	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"60-64 years "	"60-64"	0	565800	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"65-69 years"	"65-69"	0	502521	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"70-74 years"	"70-74"	0	408280	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"75-79 years"	"75-79"	0	256569	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"80-84 years"	"80-84"	Suppressed	170496	Suppressed
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-2"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"< 1 year"	"1"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"5-9 years"	"5-9"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"10-14 years"	"10-14"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"15-19 years"	"15-19"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"20-24 years"	"20-24"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"25-29 years"	"25-29"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"30-34 years"	"30-34"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"35-39 years"	"35-39"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"40-44 years"	"40-44"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"45-49 years"	"45-49"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"50-54 years"	"50-54"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"55-59 years"	"55-59"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"60-64 years "	"60-64"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"65-69 years"	"65-69"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"70-74 years"	"70-74"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"75-79 years"	"75-79"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"80-84 years"	"80-84"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Asian"	"A"	"Not Stated"	"NS"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"< 1 year"	"1"	0	34547	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"1-4 years"	"1-4"	0	134412	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"5-9 years"	"5-9"	0	161963	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"10-14 years"	"10-14"	0	151079	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	0	133418	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	0	120452	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	0	118057	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	0	124489	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	0	116843	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	0	110129	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	0	92522	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50-54 years"	"50-54"	0	80083	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"55-59 years"	"55-59"	0	69842	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"60-64 years "	"60-64"	0	56512	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"65-69 years"	"65-69"	0	42057	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"70-74 years"	"70-74"	0	30340	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"75-79 years"	"75-79"	0	19456	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"80-84 years"	"80-84"	0	12760	Unreliable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Unstable angina"	"I20.0"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
