Race	Hispanic Origin	Five-Year Age Groups	Cause of death Code	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2013	15	1794159	0.836046303588478
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2014	15	1826372	0.821300370351714
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2015	12	1815640	0.660923971712454
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2016	16	1773358	0.902243089099888
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2017	5	1733291	0.288468583751949
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2018	5	1691428	0.295608207975746
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2019	20	1660340	1.204572557428
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2020	23	1652385	1.39192742611437
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2021	25	1642560	1.52201441652055
Black or African American	Not Hispanic or Latino	20-24 years	I10	Male	2022	19	1718441	1.10565332181902
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	1999	5	1331673	0.375467550967843
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2008	5	1519892	0.328970742658031
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2009	5	1554094	0.321730860552837
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2014	5	1785941	0.279964455712703
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2016	5	1714649	0.291604870734477
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2017	5	1677678	0.29803096899405
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2018	5	1643358	0.304255067976667
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2019	5	1615209	0.30955746284227
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Female	2020	5	1610597	0.310443891302418
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	1999	5	1262470	0.3960490150261
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2007	5	1486497	0.336361257372198
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2009	5	1522604	0.328384793419694
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2010	5	1550237	0.32253132908065
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2011	5	1654175	0.302265479770883
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2016	5	1773358	0.281950965343715
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2017	5	1733291	0.288468583751949
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2018	5	1691428	0.295608207975746
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2019	5	1660340	0.301143139356999
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2020	5	1652385	0.302592918720516
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I11.0	Male	2022	6	1718441	0.349153680574428
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	1999	5	1331673	0.375467550967843
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2000	5	1361689	0.36719103995112
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2001	5	1420272	0.352045242038145
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2002	5	1452733	0.344178868381182
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2003	5	1474407	0.339119388337142
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2004	5	1483898	0.336950383382146
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2005	5	1483098	0.33713213826733
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2006	5	1487479	0.336139199276091
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2007	12	1498025	0.8010547220507
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2008	10	1519892	0.657941485316062
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2009	5	1554094	0.321730860552837
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2010	5	1587829	0.314895369715505
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2011	12	1671217	0.718039608261524
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2013	5	1770138	0.282463853100719
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2014	5	1785941	0.279964455712703
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2015	5	1762150	0.283744289646171
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2016	5	1714649	0.291604870734477
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2017	13	1677678	0.77488051938453
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2018	12	1643358	0.730212163144002
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2019	14	1615209	0.866760895958356
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2020	14	1610597	0.86924289564677
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2021	14	1607120	0.871123500423117
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Female	2022	12	1686424	0.711564825927525
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	1999	15	1262470	1.1881470450783
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2000	15	1288774	1.16389685080549
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2001	13	1354373	0.959853747822793
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2002	13	1397013	0.930556838053762
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2003	19	1426855	1.33159991730064
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2004	11	1455519	0.755744170979561
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2005	16	1467280	1.09045308325609
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2006	16	1480574	1.08066195948328
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2007	23	1486497	1.54726178391211
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2008	23	1497956	1.53542560662663
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2009	20	1522604	1.31353917367878
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2010	17	1550237	1.09660651887421
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2011	26	1654175	1.57178049480859
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2012	19	1737366	1.09360952154008
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2013	18	1794159	1.00325556430617
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2014	24	1826372	1.31408059256274
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2015	23	1815640	1.2667709457822
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2016	25	1773358	1.40975482671858
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2017	34	1733291	1.96158636951326
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2018	26	1691428	1.53716268147388
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2019	23	1660340	1.3852584410422
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2020	26	1652385	1.57348317734668
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2021	36	1642560	2.1917007597896
Black or African American	Not Hispanic or Latino	20-24 years	I11.9	Male	2022	34	1718441	1.97853752325509
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	1999	5	1331673	0.375467550967843
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2001	5	1420272	0.352045242038145
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2002	5	1452733	0.344178868381182
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2003	5	1474407	0.339119388337142
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2004	5	1483898	0.336950383382146
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2005	5	1483098	0.33713213826733
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2006	5	1487479	0.336139199276091
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2007	5	1498025	0.333772800854458
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2008	5	1519892	0.328970742658031
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2009	5	1554094	0.321730860552837
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2010	5	1587829	0.314895369715505
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2011	5	1671217	0.299183170108968
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2013	5	1770138	0.282463853100719
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2014	5	1785941	0.279964455712703
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2015	5	1762150	0.283744289646171
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2016	5	1714649	0.291604870734477
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2017	5	1677678	0.29803096899405
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2018	5	1643358	0.304255067976667
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2019	5	1615209	0.30955746284227
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2020	5	1610597	0.310443891302418
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2021	3	1607120	0.186669321519239
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Female	2022	6	1686424	0.355782412963762
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	1999	5	1262470	0.3960490150261
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2000	5	1288774	0.387965616935165
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2001	5	1354373	0.369174518393382
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2003	5	1426855	0.350421030868589
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2004	5	1455519	0.343520077717982
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2005	5	1467280	0.340766588517529
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2006	5	1480574	0.337706862338525
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2007	5	1486497	0.336361257372198
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2008	5	1497956	0.333788175353615
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2009	5	1522604	0.328384793419694
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2010	5	1550237	0.32253132908065
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2011	5	1654175	0.302265479770883
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2012	5	1737366	0.287791979352652
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2013	5	1794159	0.278682101196159
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2014	5	1826372	0.273766790117238
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2015	5	1815640	0.275384988213523
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2016	5	1773358	0.281950965343715
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2017	5	1733291	0.288468583751949
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2018	5	1691428	0.295608207975746
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2019	5	1660340	0.301143139356999
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2020	5	1652385	0.302592918720516
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I12.0	Male	2022	6	1718441	0.349153680574428
Black or African American	Not Hispanic or Latino	20-24 years	I12.9	Female	2000	5	1361689	0.36719103995112
Black or African American	Not Hispanic or Latino	20-24 years	I12.9	Female	2009	5	1554094	0.321730860552837
Black or African American	Not Hispanic or Latino	20-24 years	I12.9	Female	2010	5	1587829	0.314895369715505
Black or African American	Not Hispanic or Latino	20-24 years	I12.9	Female	2014	5	1785941	0.279964455712703
Black or African American	Not Hispanic or Latino	20-24 years	I12.9	Male	2011	5	1654175	0.302265479770883
Black or African American	Not Hispanic or Latino	20-24 years	I13.0	Female	2021	1	1607120	0.0622231071730798
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	1999	5	1331673	0.375467550967843
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2000	5	1361689	0.36719103995112
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2001	5	1420272	0.352045242038145
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2002	5	1452733	0.344178868381182
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2003	5	1474407	0.339119388337142
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2004	5	1483898	0.336950383382146
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2005	5	1483098	0.33713213826733
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2006	5	1487479	0.336139199276091
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2007	5	1498025	0.333772800854458
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2010	5	1587829	0.314895369715505
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2013	5	1770138	0.282463853100719
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2014	5	1785941	0.279964455712703
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Female	2015	5	1762150	0.283744289646171
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	1999	5	1262470	0.3960490150261
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2000	5	1288774	0.387965616935165
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2001	5	1354373	0.369174518393382
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2002	5	1397013	0.357906476174524
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2003	5	1426855	0.350421030868589
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2004	5	1455519	0.343520077717982
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2005	5	1467280	0.340766588517529
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2006	5	1480574	0.337706862338525
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2007	5	1486497	0.336361257372198
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2008	5	1497956	0.333788175353615
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2009	5	1522604	0.328384793419694
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2012	5	1737366	0.287791979352652
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2013	5	1794159	0.278682101196159
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2017	5	1733291	0.288468583751949
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2019	5	1660340	0.301143139356999
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2020	5	1652385	0.302592918720516
Black or African American	Not Hispanic or Latino	20-24 years	I13.1	Male	2021	2	1642560	0.121761153321644
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Female	1999	5	1331673	0.375467550967843
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Female	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Female	2021	2	1607120	0.12444621434616
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	1999	5	1262470	0.3960490150261
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2001	5	1354373	0.369174518393382
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2004	5	1455519	0.343520077717982
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2007	5	1486497	0.336361257372198
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2011	5	1654175	0.302265479770883
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2012	5	1737366	0.287791979352652
Black or African American	Not Hispanic or Latino	20-24 years	I13.2	Male	2014	5	1826372	0.273766790117238
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Female	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Female	2020	5	1610597	0.310443891302418
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Female	2021	2	1607120	0.12444621434616
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Male	2000	5	1288774	0.387965616935165
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Male	2012	5	1737366	0.287791979352652
Black or African American	Not Hispanic or Latino	20-24 years	I13.9	Male	2019	5	1660340	0.301143139356999
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	1999	14	1358176	1.03079424168885
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2000	16	1345107	1.18949644898138
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2001	31	1304639	2.37613623385473
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2002	35	1293736	2.70534328487419
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2003	28	1295263	2.16172314039697
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2004	40	1324683	3.01959034727554
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2005	24	1363164	1.76060987526079
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2006	33	1406128	2.34687027070082
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2007	26	1434645	1.81229502768978
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2008	34	1454865	2.33698659325779
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2009	39	1459525	2.67210222503897
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2010	34	1454543	2.33750394453791
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2011	53	1465672	3.61608872926548
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2012	31	1482708	2.0907690523016
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2013	31	1510526	2.05226523740737
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2014	31	1571068	1.97318002785366
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2015	33	1639497	2.01281246626252
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2016	39	1707945	2.283445895506
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2017	35	1773228	1.9738014513644
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2018	41	1811064	2.26386256918585
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2019	26	1817908	1.4302153904378
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2020	67	1789798	3.74343920375372
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2021	72	1717789	4.19143445440622
Black or African American	Not Hispanic or Latino	25-29 years	I10	Female	2022	48	1673395	2.86842018770225
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	1999	14	1227359	1.14066055652829
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2000	21	1217250	1.72520024645718
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2001	41	1176367	3.4853068812709
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2002	32	1161423	2.75524076929766
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2003	38	1156545	3.28564820218841
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2004	39	1184157	3.29348219872872
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2005	35	1219297	2.87050652958221
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2006	35	1261035	2.77549790449908
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2007	34	1295064	2.62535287831335
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2008	43	1326472	3.24168169399731
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2009	39	1341280	2.9076702851008
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2010	42	1342341	3.12886218926487
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2011	47	1368360	3.43476862813879
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2012	51	1400570	3.64137458320541
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2013	45	1442576	3.11941970475039
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2014	40	1517010	2.63676574313947
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2015	44	1599040	2.75165099059436
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2016	52	1683093	3.08955001298205
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2017	38	1765639	2.15219532418575
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2018	55	1824430	3.01464018899053
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2019	52	1845874	2.81709369111868
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2020	72	1830579	3.93318179657911
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2021	73	1736416	4.20406169950058
Black or African American	Not Hispanic or Latino	25-29 years	I10	Male	2022	53	1704656	3.10913169577909
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	1999	5	1358176	0.368140800603162
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2000	5	1345107	0.371717640306682
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2001	5	1304639	0.383247779653989
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2002	5	1293736	0.386477612124885
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2003	5	1295263	0.386021989356602
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2004	5	1324683	0.377448793409442
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2005	5	1363164	0.366793724012665
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2006	5	1406128	0.355586404651639
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2008	5	1454865	0.343674499008499
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2009	5	1459525	0.342577208338329
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2010	5	1454543	0.343750580079104
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2011	5	1465672	0.341140446157121
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2012	5	1482708	0.337220814887355
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2013	5	1510526	0.331010522162479
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2014	5	1571068	0.318254843202204
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2015	5	1639497	0.304971585797351
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2017	5	1773228	0.281971635909201
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2018	5	1811064	0.276080801120225
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2019	5	1817908	0.275041421238038
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2020	5	1789798	0.279361134608487
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2021	2	1717789	0.116428734844617
Black or African American	Not Hispanic or Latino	25-29 years	I11.0	Female	2022	6	1673395	0.358552523462781
