Cause of death Code	Race	Gender	Gender Code	Five-Year Ages	Five-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
I10	Black	Female	F	20-24 years	20-24	2008	2008	3	1519892	0.197382445594819
I12.0	Black	Female	F	20-24 years	20-24	2008	2008	4	1519892	0.263176594126425
I11.0	Black	Female	F	20-24 years	20-24	2008	2008	2	1519892	0.131588297063212
I11.9	Black	Female	F	20-24 years	20-24	2008	2008	7	1519892	0.460559039721243
I10	Black	Female	F	20-24 years	20-24	2009	2009	1	1554094	0.0643461721105673
I12.0	Black	Female	F	20-24 years	20-24	2009	2009	3	1554094	0.193038516331702
I11.0	Black	Female	F	20-24 years	20-24	2009	2009	1	1554094	0.0643461721105673
I11.9	Black	Female	F	20-24 years	20-24	2009	2009	5	1554094	0.321730860552837
I11.9	Black	Female	F	20-24 years	20-24	2010	2010	5	1587829	0.314895369715505
I12.0	Black	Female	F	20-24 years	20-24	2010	2010	1	1587829	0.0629790739431009
I12.9	Black	Female	F	20-24 years	20-24	2010	2010	1	1587829	0.0629790739431009
I11.9	Black	Female	F	20-24 years	20-24	2011	2011	7	1671217	0.418856438152556
I12.0	Black	Female	F	20-24 years	20-24	2011	2011	1	1671217	0.0598366340217937
I10	Black	Female	F	20-24 years	20-24	2012	2012	1	1731526	0.0577525258067162
I11.0	Black	Female	F	20-24 years	20-24	2012	2012	1	1731526	0.0577525258067162
I11.9	Black	Female	F	20-24 years	20-24	2012	2012	6	1731526	0.346515154840297
I12.0	Black	Female	F	20-24 years	20-24	2012	2012	1	1731526	0.0577525258067162
I13.1	Black	Female	F	20-24 years	20-24	2012	2012	1	1731526	0.0577525258067162
I13.9	Black	Female	F	20-24 years	20-24	2012	2012	1	1731526	0.0577525258067162
I10	Black	Female	F	20-24 years	20-24	2013	2013	1	1770138	0.0564927706201437
I11.9	Black	Female	F	20-24 years	20-24	2013	2013	4	1770138	0.225971082480575
I12.0	Black	Female	F	20-24 years	20-24	2013	2013	1	1770138	0.0564927706201437
I10	Black	Female	F	20-24 years	20-24	2014	2014	1	1785941	0.0559928911425405
I12.0	Black	Female	F	20-24 years	20-24	2014	2014	1	1785941	0.0559928911425405
I11.0	Black	Female	F	20-24 years	20-24	2014	2014	1	1785941	0.0559928911425405
I11.9	Black	Female	F	20-24 years	20-24	2014	2014	4	1785941	0.223971564570162
I13.1	Black	Female	F	20-24 years	20-24	2014	2014	4	1785941	0.223971564570162
I11.9	Black	Female	F	20-24 years	20-24	2015	2015	2	1762150	0.113497715858468
I12.0	Black	Female	F	20-24 years	20-24	2015	2015	1	1762150	0.0567488579292342
I11.0	Black	Female	F	20-24 years	20-24	2016	2016	2	1714649	0.116641948293791
I11.9	Black	Female	F	20-24 years	20-24	2016	2016	1	1714649	0.0583209741468954
I12.0	Black	Female	F	20-24 years	20-24	2016	2016	3	1714649	0.174962922440686
I11.9	Black	Female	F	20-24 years	20-24	2017	2017	7	1677678	0.41724335659167
I10	Black	Female	F	20-24 years	20-24	2018	2018	1	1643358	0.0608510135953335
I11.9	Black	Female	F	20-24 years	20-24	2018	2018	7	1643358	0.425957095167334
I10	Black	Female	F	20-24 years	20-24	2019	2019	1	1615209	0.061911492568454
I12.0	Black	Female	F	20-24 years	20-24	2019	2019	1	1615209	0.061911492568454
I11.9	Black	Female	F	20-24 years	20-24	2019	2019	3	1615209	0.185734477705362
I11.9	Black	Female	F	20-24 years	20-24	2020	2020	3	1610597	0.186266334781451
I12.0	Black	Female	F	20-24 years	20-24	2020	2020	2	1610597	0.124177556520967
I11.9	Black	Female	F	20-24 years	20-24	2021	2021	5	1496428	0.334129005872651
I12.0	Black	Female	F	20-24 years	20-24	2021	2021	2	1496428	0.133651602349061
I10	Black	Female	F	25-29 years	25-29	1999	1999	3	1358176	0.220884480361897
I11.0	Black	Female	F	25-29 years	25-29	1999	1999	1	1358176	0.0736281601206324
I11.9	Black	Female	F	25-29 years	25-29	1999	1999	6	1358176	0.441768960723794
I12.0	Black	Female	F	25-29 years	25-29	1999	1999	3	1358176	0.220884480361897
I13.1	Black	Female	F	25-29 years	25-29	1999	1999	2	1358176	0.147256320241265
I11.9	Black	Female	F	25-29 years	25-29	2000	2000	17	1345107	1.26383997704272
I12.0	Black	Female	F	25-29 years	25-29	2000	2000	4	1345107	0.297374112245346
I13.1	Black	Female	F	25-29 years	25-29	2000	2000	1	1345107	0.0743435280613364
I11.0	Black	Female	F	25-29 years	25-29	2001	2001	1	1304639	0.0766495559307977
I11.9	Black	Female	F	25-29 years	25-29	2001	2001	12	1304639	0.919794671169572
I12.0	Black	Female	F	25-29 years	25-29	2001	2001	6	1304639	0.459897335584786
I13.1	Black	Female	F	25-29 years	25-29	2001	2001	5	1304639	0.383247779653989
I10	Black	Female	F	25-29 years	25-29	2002	2002	2	1293736	0.154591044849954
I12.0	Black	Female	F	25-29 years	25-29	2002	2002	5	1293736	0.386477612124885
I11.0	Black	Female	F	25-29 years	25-29	2002	2002	1	1293736	0.077295522424977
I11.9	Black	Female	F	25-29 years	25-29	2002	2002	8	1293736	0.618364179399816
I10	Black	Female	F	25-29 years	25-29	2003	2003	2	1295263	0.154408795742641
I12.0	Black	Female	F	25-29 years	25-29	2003	2003	8	1295263	0.617635182970563
I11.0	Black	Female	F	25-29 years	25-29	2003	2003	3	1295263	0.231613193613961
I11.9	Black	Female	F	25-29 years	25-29	2003	2003	14	1295263	1.08086157019848
I13.2	Black	Female	F	25-29 years	25-29	2003	2003	1	1295263	0.0772043978713203
I13.1	Black	Female	F	25-29 years	25-29	2003	2003	1	1295263	0.0772043978713203
I10	Black	Female	F	25-29 years	25-29	2004	2004	1	1324683	0.0754897586818884
I12.0	Black	Female	F	25-29 years	25-29	2004	2004	7	1324683	0.528428310773219
I11.0	Black	Female	F	25-29 years	25-29	2004	2004	1	1324683	0.0754897586818884
I11.9	Black	Female	F	25-29 years	25-29	2004	2004	24	1324683	1.81175420836532
I13.2	Black	Female	F	25-29 years	25-29	2004	2004	1	1324683	0.0754897586818884
I11.0	Black	Female	F	25-29 years	25-29	2005	2005	1	1363164	0.0733587448025329
I11.9	Black	Female	F	25-29 years	25-29	2005	2005	22	1363164	1.61389238565572
I13.1	Black	Female	F	25-29 years	25-29	2005	2005	3	1363164	0.220076234407599
I12.0	Black	Female	F	25-29 years	25-29	2005	2005	7	1363164	0.513511213617731
I12.9	Black	Female	F	25-29 years	25-29	2005	2005	1	1363164	0.0733587448025329
I13.2	Black	Female	F	25-29 years	25-29	2005	2005	1	1363164	0.0733587448025329
I10	Black	Female	F	25-29 years	25-29	2006	2006	2	1406128	0.142234561860656
I11.0	Black	Female	F	25-29 years	25-29	2006	2006	1	1406128	0.0711172809303278
I11.9	Black	Female	F	25-29 years	25-29	2006	2006	12	1406128	0.853407371163934
I12.0	Black	Female	F	25-29 years	25-29	2006	2006	3	1406128	0.213351842790983
I13.1	Black	Female	F	25-29 years	25-29	2006	2006	2	1406128	0.142234561860656
I10	Black	Female	F	25-29 years	25-29	2007	2007	3	1434645	0.209110964733436
I11.9	Black	Female	F	25-29 years	25-29	2007	2007	13	1434645	0.906147513844888
I12.0	Black	Female	F	25-29 years	25-29	2007	2007	7	1434645	0.487925584378017
I10	Black	Female	F	25-29 years	25-29	2008	2008	3	1454865	0.206204699405099
I12.0	Black	Female	F	25-29 years	25-29	2008	2008	6	1454865	0.412409398810199
I11.0	Black	Female	F	25-29 years	25-29	2008	2008	1	1454865	0.0687348998016998
I11.9	Black	Female	F	25-29 years	25-29	2008	2008	16	1454865	1.0997583968272
I13.1	Black	Female	F	25-29 years	25-29	2008	2008	2	1454865	0.1374697996034
I10	Black	Female	F	25-29 years	25-29	2009	2009	6	1459525	0.411092650005995
I12.0	Black	Female	F	25-29 years	25-29	2009	2009	5	1459525	0.342577208338329
I11.0	Black	Female	F	25-29 years	25-29	2009	2009	2	1459525	0.137030883335332
I11.9	Black	Female	F	25-29 years	25-29	2009	2009	17	1459525	1.16476250835032
I13.1	Black	Female	F	25-29 years	25-29	2009	2009	4	1459525	0.274061766670663
I10	Black	Female	F	25-29 years	25-29	2010	2010	2	1454543	0.137500232031642
I12.0	Black	Female	F	25-29 years	25-29	2010	2010	4	1454543	0.275000464063283
I11.0	Black	Female	F	25-29 years	25-29	2010	2010	2	1454543	0.137500232031642
I11.9	Black	Female	F	25-29 years	25-29	2010	2010	8	1454543	0.550000928126566
I13.2	Black	Female	F	25-29 years	25-29	2010	2010	2	1454543	0.137500232031642
I13.1	Black	Female	F	25-29 years	25-29	2010	2010	1	1454543	0.0687501160158208
I10	Black	Female	F	25-29 years	25-29	2011	2011	4	1465672	0.272912356925697
I11.0	Black	Female	F	25-29 years	25-29	2011	2011	1	1465672	0.0682280892314242
I11.9	Black	Female	F	25-29 years	25-29	2011	2011	16	1465672	1.09164942770279
I12.0	Black	Female	F	25-29 years	25-29	2011	2011	9	1465672	0.614052803082818
I13.1	Black	Female	F	25-29 years	25-29	2011	2011	1	1465672	0.0682280892314242
I13.2	Black	Female	F	25-29 years	25-29	2011	2011	1	1465672	0.0682280892314242
I10	Black	Female	F	25-29 years	25-29	2012	2012	1	1482708	0.067444162977471
I11.0	Black	Female	F	25-29 years	25-29	2012	2012	1	1482708	0.067444162977471
I13.1	Black	Female	F	25-29 years	25-29	2012	2012	1	1482708	0.067444162977471
I11.9	Black	Female	F	25-29 years	25-29	2012	2012	15	1482708	1.01166244466206
I12.0	Black	Female	F	25-29 years	25-29	2012	2012	6	1482708	0.404664977864826
I10	Black	Female	F	25-29 years	25-29	2013	2013	3	1510526	0.198606313297487
I13.2	Black	Female	F	25-29 years	25-29	2013	2013	1	1510526	0.0662021044324957
I11.0	Black	Female	F	25-29 years	25-29	2013	2013	3	1510526	0.198606313297487
I11.9	Black	Female	F	25-29 years	25-29	2013	2013	13	1510526	0.860627357622444
I12.0	Black	Female	F	25-29 years	25-29	2013	2013	6	1510526	0.397212626594974
I13.1	Black	Female	F	25-29 years	25-29	2013	2013	2	1510526	0.132404208864991
I10	Black	Female	F	25-29 years	25-29	2014	2014	1	1571068	0.0636509686404408
I11.0	Black	Female	F	25-29 years	25-29	2014	2014	5	1571068	0.318254843202204
I11.9	Black	Female	F	25-29 years	25-29	2014	2014	13	1571068	0.82746259232573
I12.0	Black	Female	F	25-29 years	25-29	2014	2014	7	1571068	0.445556780483085
I13.1	Black	Female	F	25-29 years	25-29	2014	2014	2	1571068	0.127301937280882
I10	Black	Female	F	25-29 years	25-29	2015	2015	2	1639497	0.121988634318941
I12.0	Black	Female	F	25-29 years	25-29	2015	2015	7	1639497	0.426960220116292
I11.0	Black	Female	F	25-29 years	25-29	2015	2015	2	1639497	0.121988634318941
I11.9	Black	Female	F	25-29 years	25-29	2015	2015	16	1639497	0.975909074551524
I13.9	Black	Female	F	25-29 years	25-29	2015	2015	2	1639497	0.121988634318941
I13.1	Black	Female	F	25-29 years	25-29	2015	2015	1	1639497	0.0609943171594703
I10	Black	Female	F	25-29 years	25-29	2016	2016	3	1707945	0.175649684269693
I11.9	Black	Female	F	25-29 years	25-29	2016	2016	13	1707945	0.761148631835334
I13.1	Black	Female	F	25-29 years	25-29	2016	2016	1	1707945	0.0585498947565642
I12.0	Black	Female	F	25-29 years	25-29	2016	2016	5	1707945	0.292749473782821
I12.9	Black	Female	F	25-29 years	25-29	2016	2016	1	1707945	0.0585498947565642
I10	Black	Female	F	25-29 years	25-29	2017	2017	2	1773228	0.11278865436368
I11.0	Black	Female	F	25-29 years	25-29	2017	2017	2	1773228	0.11278865436368
I11.9	Black	Female	F	25-29 years	25-29	2017	2017	15	1773228	0.845914907727602
I12.0	Black	Female	F	25-29 years	25-29	2017	2017	3	1773228	0.16918298154552
I13.1	Black	Female	F	25-29 years	25-29	2017	2017	3	1773228	0.16918298154552
I13.2	Black	Female	F	25-29 years	25-29	2017	2017	1	1773228	0.0563943271818401
I10	Black	Female	F	25-29 years	25-29	2018	2018	1	1811064	0.0552161602240451
I12.0	Black	Female	F	25-29 years	25-29	2018	2018	6	1811064	0.331296961344271
I11.0	Black	Female	F	25-29 years	25-29	2018	2018	3	1811064	0.165648480672135
I11.9	Black	Female	F	25-29 years	25-29	2018	2018	24	1811064	1.32518784537708
I13.2	Black	Female	F	25-29 years	25-29	2018	2018	1	1811064	0.0552161602240451
I13.9	Black	Female	F	25-29 years	25-29	2018	2018	1	1811064	0.0552161602240451
I11.0	Black	Female	F	25-29 years	25-29	2019	2019	2	1817908	0.110016568495215
I11.9	Black	Female	F	25-29 years	25-29	2019	2019	20	1817908	1.10016568495215
I12.0	Black	Female	F	25-29 years	25-29	2019	2019	2	1817908	0.110016568495215
I13.1	Black	Female	F	25-29 years	25-29	2019	2019	1	1817908	0.0550082842476077
I13.2	Black	Female	F	25-29 years	25-29	2019	2019	4	1817908	0.220033136990431
I10	Black	Female	F	25-29 years	25-29	2020	2020	2	1789798	0.111744453843395
I12.0	Black	Female	F	25-29 years	25-29	2020	2020	5	1789798	0.279361134608487
I11.0	Black	Female	F	25-29 years	25-29	2020	2020	5	1789798	0.279361134608487
I11.9	Black	Female	F	25-29 years	25-29	2020	2020	24	1789798	1.34093344612074
I13.2	Black	Female	F	25-29 years	25-29	2020	2020	1	1789798	0.0558722269216973
I13.1	Black	Female	F	25-29 years	25-29	2020	2020	3	1789798	0.167616680765092
I10	Black	Female	F	25-29 years	25-29	2021	2021	3	1627392	0.184344030202926
I12.0	Black	Female	F	25-29 years	25-29	2021	2021	3	1627392	0.184344030202926
I11.0	Black	Female	F	25-29 years	25-29	2021	2021	4	1627392	0.245792040270568
I11.9	Black	Female	F	25-29 years	25-29	2021	2021	13	1627392	0.798824130879346
I13.1	Black	Female	F	25-29 years	25-29	2021	2021	1	1627392	0.061448010067642
I13.2	Black	Female	F	25-29 years	25-29	2021	2021	1	1627392	0.061448010067642
I10	Black	Female	F	30-34 years	30-34	1999	1999	7	1393840	0.502209722780233
I13.1	Black	Female	F	30-34 years	30-34	1999	1999	2	1393840	0.143488492222924
I11.0	Black	Female	F	30-34 years	30-34	1999	1999	6	1393840	0.430465476668771
I11.9	Black	Female	F	30-34 years	30-34	1999	1999	30	1393840	2.15232738334386
I12.0	Black	Female	F	30-34 years	30-34	1999	1999	6	1393840	0.430465476668771
I12.9	Black	Female	F	30-34 years	30-34	1999	1999	1	1393840	0.0717442461114619
I10	Black	Female	F	30-34 years	30-34	2000	2000	2	1384892	0.144415593418115
I11.0	Black	Female	F	30-34 years	30-34	2000	2000	3	1384892	0.216623390127172
I11.9	Black	Female	F	30-34 years	30-34	2000	2000	28	1384892	2.02181830785361
I12.0	Black	Female	F	30-34 years	30-34	2000	2000	13	1384892	0.938701357217747
I13.1	Black	Female	F	30-34 years	30-34	2000	2000	6	1384892	0.433246780254345
I10	Black	Female	F	30-34 years	30-34	2001	2001	6	1388476	0.432128463149525
I11.0	Black	Female	F	30-34 years	30-34	2001	2001	2	1388476	0.144042821049842
I11.9	Black	Female	F	30-34 years	30-34	2001	2001	33	1388476	2.37670654732239
I12.0	Black	Female	F	30-34 years	30-34	2001	2001	14	1388476	1.00829974734889
I13.1	Black	Female	F	30-34 years	30-34	2001	2001	1	1388476	0.0720214105249209
I13.2	Black	Female	F	30-34 years	30-34	2001	2001	1	1388476	0.0720214105249209
I10	Black	Female	F	30-34 years	30-34	2002	2002	4	1393457	0.287055861788344
I13.1	Black	Female	F	30-34 years	30-34	2002	2002	3	1393457	0.215291896341258
I11.0	Black	Female	F	30-34 years	30-34	2002	2002	3	1393457	0.215291896341258
I13.2	Black	Female	F	30-34 years	30-34	2002	2002	1	1393457	0.0717639654470859
I11.9	Black	Female	F	30-34 years	30-34	2002	2002	36	1393457	2.58350275609509
I12.0	Black	Female	F	30-34 years	30-34	2002	2002	8	1393457	0.574111723576687
I12.9	Black	Female	F	30-34 years	30-34	2002	2002	1	1393457	0.0717639654470859
I10	Black	Female	F	30-34 years	30-34	2003	2003	2	1388044	0.1440876514001
I12.0	Black	Female	F	30-34 years	30-34	2003	2003	5	1388044	0.360219128500249
I11.0	Black	Female	F	30-34 years	30-34	2003	2003	3	1388044	0.21613147710015
I11.9	Black	Female	F	30-34 years	30-34	2003	2003	36	1388044	2.59357772520179
I13.1	Black	Female	F	30-34 years	30-34	2003	2003	7	1388044	0.504306779900349
I13.2	Black	Female	F	30-34 years	30-34	2003	2003	1	1388044	0.0720438257000499
I12.9	Black	Female	F	30-34 years	30-34	2003	2003	1	1388044	0.0720438257000499
I10	Black	Female	F	30-34 years	30-34	2004	2004	6	1376595	0.435858041036035
I13.2	Black	Female	F	30-34 years	30-34	2004	2004	1	1376595	0.0726430068393391
I11.0	Black	Female	F	30-34 years	30-34	2004	2004	4	1376595	0.290572027357356
I11.9	Black	Female	F	30-34 years	30-34	2004	2004	26	1376595	1.88871817782282
I12.0	Black	Female	F	30-34 years	30-34	2004	2004	12	1376595	0.871716082072069
I13.1	Black	Female	F	30-34 years	30-34	2004	2004	6	1376595	0.435858041036035
I10	Black	Female	F	30-34 years	30-34	2005	2005	5	1350939	0.370112936261371
I13.2	Black	Female	F	30-34 years	30-34	2005	2005	1	1350939	0.0740225872522742
I11.0	Black	Female	F	30-34 years	30-34	2005	2005	2	1350939	0.148045174504548
I13.1	Black	Female	F	30-34 years	30-34	2005	2005	4	1350939	0.296090349009097
I11.9	Black	Female	F	30-34 years	30-34	2005	2005	37	1350939	2.73883572833414
I12.0	Black	Female	F	30-34 years	30-34	2005	2005	10	1350939	0.740225872522742
I10	Black	Female	F	30-34 years	30-34	2006	2006	6	1320401	0.454407411081936
I11.0	Black	Female	F	30-34 years	30-34	2006	2006	4	1320401	0.302938274054624
I11.9	Black	Female	F	30-34 years	30-34	2006	2006	26	1320401	1.96909878135506
I12.0	Black	Female	F	30-34 years	30-34	2006	2006	17	1320401	1.28748766473215
I13.1	Black	Female	F	30-34 years	30-34	2006	2006	3	1320401	0.227203705540968
I10	Black	Female	F	30-34 years	30-34	2007	2007	2	1313374	0.152279548704329
I11.0	Black	Female	F	30-34 years	30-34	2007	2007	4	1313374	0.304559097408659
I13.9	Black	Female	F	30-34 years	30-34	2007	2007	1	1313374	0.0761397743521647
I11.9	Black	Female	F	30-34 years	30-34	2007	2007	36	1313374	2.74103187667793
I12.0	Black	Female	F	30-34 years	30-34	2007	2007	14	1313374	1.06595684093031
I13.1	Black	Female	F	30-34 years	30-34	2007	2007	5	1313374	0.380698871760824
I13.2	Black	Female	F	30-34 years	30-34	2007	2007	2	1313374	0.152279548704329
I10	Black	Female	F	30-34 years	30-34	2008	2008	6	1320241	0.454462480713749
I13.1	Black	Female	F	30-34 years	30-34	2008	2008	5	1320241	0.378718733928124
I11.0	Black	Female	F	30-34 years	30-34	2008	2008	5	1320241	0.378718733928124
I13.2	Black	Female	F	30-34 years	30-34	2008	2008	2	1320241	0.151487493571249
I11.9	Black	Female	F	30-34 years	30-34	2008	2008	32	1320241	2.42379989713999
I12.0	Black	Female	F	30-34 years	30-34	2008	2008	8	1320241	0.605949974284998
I13.9	Black	Female	F	30-34 years	30-34	2008	2008	1	1320241	0.0757437467856247
I10	Black	Female	F	30-34 years	30-34	2009	2009	5	1353009	0.369546691854969
I12.0	Black	Female	F	30-34 years	30-34	2009	2009	17	1353009	1.2564587523069
I11.0	Black	Female	F	30-34 years	30-34	2009	2009	5	1353009	0.369546691854969
I11.9	Black	Female	F	30-34 years	30-34	2009	2009	40	1353009	2.95637353483975
I13.2	Black	Female	F	30-34 years	30-34	2009	2009	1	1353009	0.0739093383709938
I13.1	Black	Female	F	30-34 years	30-34	2009	2009	1	1353009	0.0739093383709938
I10	Black	Female	F	30-34 years	30-34	2010	2010	6	1384808	0.433273060236509
I11.0	Black	Female	F	30-34 years	30-34	2010	2010	2	1384808	0.14442435341217
I11.9	Black	Female	F	30-34 years	30-34	2010	2010	45	1384808	3.24954795177382
I12.0	Black	Female	F	30-34 years	30-34	2010	2010	14	1384808	1.01097047388519
I13.1	Black	Female	F	30-34 years	30-34	2010	2010	1	1384808	0.0722121767060849
I13.2	Black	Female	F	30-34 years	30-34	2010	2010	1	1384808	0.0722121767060849
I10	Black	Female	F	30-34 years	30-34	2011	2011	5	1424682	0.350955511475543
I11.0	Black	Female	F	30-34 years	30-34	2011	2011	9	1424682	0.631719920655978
I11.9	Black	Female	F	30-34 years	30-34	2011	2011	45	1424682	3.15859960327989
I12.0	Black	Female	F	30-34 years	30-34	2011	2011	7	1424682	0.491337716065761
I13.1	Black	Female	F	30-34 years	30-34	2011	2011	3	1424682	0.210573306885326
I13.2	Black	Female	F	30-34 years	30-34	2011	2011	1	1424682	0.0701911022951087
I10	Black	Female	F	30-34 years	30-34	2012	2012	8	1450157	0.551664405991903
I13.1	Black	Female	F	30-34 years	30-34	2012	2012	1	1450157	0.0689580507489879
I11.0	Black	Female	F	30-34 years	30-34	2012	2012	2	1450157	0.137916101497976
I13.2	Black	Female	F	30-34 years	30-34	2012	2012	2	1450157	0.137916101497976
I11.9	Black	Female	F	30-34 years	30-34	2012	2012	29	1450157	1.99978347172065
I12.0	Black	Female	F	30-34 years	30-34	2012	2012	5	1450157	0.344790253744939
I12.9	Black	Female	F	30-34 years	30-34	2012	2012	1	1450157	0.0689580507489879
I10	Black	Female	F	30-34 years	30-34	2013	2013	6	1470609	0.407994239121344
I12.0	Black	Female	F	30-34 years	30-34	2013	2013	10	1470609	0.679990398535573
I11.0	Black	Female	F	30-34 years	30-34	2013	2013	2	1470609	0.135998079707115
I11.9	Black	Female	F	30-34 years	30-34	2013	2013	36	1470609	2.44796543472806
I13.0	Black	Female	F	30-34 years	30-34	2013	2013	1	1470609	0.0679990398535573
I13.1	Black	Female	F	30-34 years	30-34	2013	2013	6	1470609	0.407994239121344
I10	Black	Female	F	30-34 years	30-34	2014	2014	6	1484560	0.4041601551975
I11.0	Black	Female	F	30-34 years	30-34	2014	2014	6	1484560	0.4041601551975
I11.9	Black	Female	F	30-34 years	30-34	2014	2014	38	1484560	2.5596809829175
I12.0	Black	Female	F	30-34 years	30-34	2014	2014	2	1484560	0.1347200517325
I13.1	Black	Female	F	30-34 years	30-34	2014	2014	2	1484560	0.1347200517325
I10	Black	Female	F	30-34 years	30-34	2015	2015	3	1487728	0.201649763935343
I13.2	Black	Female	F	30-34 years	30-34	2015	2015	2	1487728	0.134433175956895
I11.0	Black	Female	F	30-34 years	30-34	2015	2015	3	1487728	0.201649763935343
I11.9	Black	Female	F	30-34 years	30-34	2015	2015	38	1487728	2.55423034318101
I12.0	Black	Female	F	30-34 years	30-34	2015	2015	6	1487728	0.403299527870686
I13.1	Black	Female	F	30-34 years	30-34	2015	2015	3	1487728	0.201649763935343
I10	Black	Female	F	30-34 years	30-34	2016	2016	10	1498513	0.667328211366868
I13.1	Black	Female	F	30-34 years	30-34	2016	2016	1	1498513	0.0667328211366868
I11.0	Black	Female	F	30-34 years	30-34	2016	2016	7	1498513	0.467129747956808
I11.9	Black	Female	F	30-34 years	30-34	2016	2016	39	1498513	2.60258002433079
I12.0	Black	Female	F	30-34 years	30-34	2016	2016	7	1498513	0.467129747956808
I10	Black	Female	F	30-34 years	30-34	2017	2017	2	1519870	0.131590201793574
I11.0	Black	Female	F	30-34 years	30-34	2017	2017	9	1519870	0.592155908071085
I11.9	Black	Female	F	30-34 years	30-34	2017	2017	45	1519870	2.96077954035543
I12.0	Black	Female	F	30-34 years	30-34	2017	2017	7	1519870	0.460565706277511
I13.1	Black	Female	F	30-34 years	30-34	2017	2017	7	1519870	0.460565706277511
I10	Black	Female	F	30-34 years	30-34	2018	2018	12	1549097	0.774644841478616
I13.1	Black	Female	F	30-34 years	30-34	2018	2018	5	1549097	0.322768683949423
I11.0	Black	Female	F	30-34 years	30-34	2018	2018	3	1549097	0.193661210369654
I13.2	Black	Female	F	30-34 years	30-34	2018	2018	2	1549097	0.129107473579769
I11.9	Black	Female	F	30-34 years	30-34	2018	2018	47	1549097	3.03402562912458
I12.0	Black	Female	F	30-34 years	30-34	2018	2018	9	1549097	0.580983631108962
I10	Black	Female	F	30-34 years	30-34	2019	2019	11	1602877	0.686266007934483
I13.1	Black	Female	F	30-34 years	30-34	2019	2019	4	1602877	0.249551275612539
I11.0	Black	Female	F	30-34 years	30-34	2019	2019	2	1602877	0.12477563780627
I13.2	Black	Female	F	30-34 years	30-34	2019	2019	1	1602877	0.0623878189031348
I11.9	Black	Female	F	30-34 years	30-34	2019	2019	45	1602877	2.80745185064107
I12.0	Black	Female	F	30-34 years	30-34	2019	2019	11	1602877	0.686266007934483
I12.9	Black	Female	F	30-34 years	30-34	2019	2019	1	1602877	0.0623878189031348
I10	Black	Female	F	30-34 years	30-34	2020	2020	7	1669692	0.41923899737197
