Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
Black or African American	Male	M	2010	2010	5384	12327195	43.6757916135828	42.5091315517415	44.8424516754241	0.595234725429236	56.8179319220712	55.3002213203638	58.3356425237786	0.774342143728274
White	Male	M	2010	2010	13938	74568455	18.6915499322066	18.3812360843809	19.0018637800323	0.158323391747802	17.3159791472543	17.0285022853813	17.6034560091273	0.14667186830257
Black or African American	Female	F	2011	2011	5148	14651077	35.1373486058397	34.1774932563738	36.0972039553056	0.489722117074454	37.6677699922377	36.6387905170051	38.6967494674702	0.524989528179893
White	Female	F	2011	2011	17427	79554566	21.9057194027053	21.5804806580572	22.2309581473534	0.165938135024542	13.9444263450636	13.7373905643193	14.151462125808	0.105630500379786
Black or African American	Male	M	2011	2011	5368	12632667	42.4930064253257	41.356250368836	43.6297624818154	0.579977579841666	53.7117860546119	52.2749096544976	55.1486624547263	0.733100204139967
White	Male	M	2011	2011	14658	75109932	19.515395114457	19.1994613362105	19.8313288927036	0.161190703187021	17.7653332868646	17.4777311740603	18.0529353996689	0.146735771838928
Black or African American	Female	F	2012	2012	5315	14908752	35.650200633829	34.6917573570694	36.6086439105887	0.489001671816157	37.7968198276893	36.7806654385786	38.8129742168001	0.518446116893256
White	Female	F	2012	2012	17630	79872491	22.0726808182306	21.7468553722131	22.3985062642482	0.166237472457942	13.9372037236068	13.7314699635403	14.1429374836733	0.104966204115552
Black or African American	Male	M	2012	2012	5708	12905747	44.2283581105379	43.0809579495291	45.3757582715467	0.585408245412655	55.8462132556239	54.3974153165033	57.2950111947445	0.739182622000303
White	Male	M	2012	2012	15246	75547481	20.1806861038821	19.8603439871456	20.5010282206187	0.163439855477829	18.0518033464324	17.7652544716746	18.3383522211902	0.146198405488678
Black or African American	Female	F	2013	2013	5531	15149697	36.5089810047026	35.5468062590353	37.4711557503699	0.490905482483327	38.1849579741254	37.1786137482392	39.1913022000116	0.513440931574593
White	Female	F	2013	2013	18294	80120644	22.833066593923	22.5021900526762	23.1639431351698	0.168814561860615	14.4304755044991	14.2213618576819	14.6395891513163	0.106690636131229
Black or African American	Male	M	2013	2013	5936	13157981	45.1133042371774	43.9656428700681	46.2609656042867	0.585541513831285	57.1480699520901	55.6942497720372	58.601890132143	0.74174498982291
White	Male	M	2013	2013	16541	75923560	21.7863862021222	21.4543691505733	22.1184032536711	0.169396454871883	19.1781682127467	18.8858995085646	19.4704369169288	0.149116685807189
Black or African American	Female	F	2014	2014	5609	15421776	36.3706488798696	35.4188078957191	37.3224898640201	0.485633155178827	37.6528895375625	36.667491571419	38.638287503706	0.502754064358939
White	Female	F	2014	2014	18894	80325855	23.5216917392289	23.1862920391425	23.8570914393154	0.171122295962475	14.8478152685152	14.636097810298	15.0595327267325	0.108019111335328
Black or African American	Male	M	2014	2014	6092	13435122	45.3438383365629	44.2051774460959	46.4824992270299	0.580949433911738	55.984879077653	54.5790035584682	57.3907545968378	0.717283428155522
White	Male	M	2014	2014	17252	76232992	22.630621660501	22.2929202840824	22.9683230369196	0.17229662062173	19.7203980009229	19.4261239129928	20.0146720888529	0.150139840780641
Black or African American	Female	F	2015	2015	5818	15656767	37.1596511591442	36.2047886515006	38.1145136667878	0.487174748797753	38.0799158957744	37.1014060645768	39.058425726972	0.499239709794701
White	Female	F	2015	2015	20800	80525974	25.8301749942199	25.4791389173431	26.1812110710966	0.179100039222822	16.1716192889499	15.9518444793248	16.391394098575	0.112130004910753
Black or African American	Male	M	2015	2015	6375	13673310	46.6236778073488	45.4791601277073	47.7681954869902	0.583937591653788	57.6722908494383	56.2565519029024	59.0880297959742	0.722315789048922
White	Male	M	2015	2015	18499	76535549	24.1704675039308	23.822156659815	24.5187783480465	0.177709614344788	20.7900681345997	20.4904708603638	21.0896654088357	0.152855752161217
Black or African American	Female	F	2016	2016	6092	15838603	38.4629881814703	37.4971171396838	39.4288592232568	0.492791347850258	38.8911545957627	37.9145315671914	39.867777624334	0.498277055393517
White	Female	F	2016	2016	21399	80688077	26.5206469104475	26.1653074443565	26.8759863765385	0.181295645964785	16.553915352301	16.3321161080041	16.7757145965979	0.11316287974331
Black or African American	Male	M	2016	2016	6907	13861509	49.8286297689523	48.6534879321318	51.0037716057728	0.599562161643098	60.9671237077695	59.5292953333627	62.4049520821763	0.733585905309574
White	Male	M	2016	2016	19831	76749162	25.8387186038592	25.4790895782085	26.1983476295098	0.183484196760553	21.8969327089771	21.5921663350868	22.2016990828673	0.155493047903175
Black or African American	Female	F	2017	2017	6416	16081300	39.8972719867175	38.9210083907838	40.8735355826512	0.498093671394745	39.8816423953337	38.9057612466283	40.8575235440392	0.497898545257867
White	Female	F	2017	2017	23891	80774647	29.5773499325847	29.2022921628713	29.952407702298	0.191356004955807	18.2425476216167	18.0112216495317	18.4738735937017	0.118023455145414
Black or African American	Male	M	2017	2017	7103	14092289	50.403451135582	49.231268083914	51.57563418725	0.598052577381643	60.82046525571	59.4060240426364	62.2349064687835	0.721653680139575
White	Male	M	2017	2017	21911	76899424	28.4930612744252	28.1157810133289	28.8703415355214	0.192489929130761	23.934559008582	23.6176384578201	24.2514795593438	0.161694158551972
Black or African American	Female	F	2018	2018	6632	16249694	40.8130762339279	39.8308011161282	41.7953513517275	0.501160774387563	40.0743402014451	39.1098447290505	41.0388356738396	0.492089526731908
White	Female	F	2018	2018	26119	80852833	32.3043720681995	31.9125949184759	32.6961492179231	0.199886300879394	19.610390093746	19.3725615199642	19.8482186675277	0.121341109072338
Black or African American	Male	M	2018	2018	7509	14263321	52.6455234373538	51.4547573233879	53.8362895513196	0.607533731615237	62.4849907144282	61.0716699852165	63.8983114436399	0.72108200469985
White	Male	M	2018	2018	23892	76994695	31.030709323545	30.6372303575556	31.4241882895343	0.200754574484347	25.6341630779889	25.3091139830179	25.95921217296	0.165841374985241
Black or African American	Female	F	2019	2019	6955	16430710	42.3292724416656	41.3344437365652	43.3241011467661	0.507565665867594	41.2079643317855	40.2394887726434	42.1764398909275	0.494120183235725
White	Female	F	2019	2019	28333	80899970	35.0222626782185	34.6144563210284	35.4300690354087	0.208064467954165	21.1471796418803	20.9009375765449	21.3934217072156	0.125633706803743
Black or African American	Male	M	2019	2019	7846	14436962	54.3466139205741	53.1440604116006	55.5491674295477	0.613547708659995	63.6459291191825	62.2376052168688	65.0542530214962	0.718532603221259
White	Male	M	2019	2019	26361	77077606	34.2005951767625	33.7877294856766	34.6134608678483	0.210645760758083	27.7373756577389	27.4025332168208	28.072218098657	0.170837980060271
Black or African American	Female	F	2020	2020	8741	16616114	52.6055610836565	51.5027346470579	53.7083875202551	0.562666549284994	50.3391401249431	49.2838270861344	51.3944531637517	0.538425019800335
White	Female	F	2020	2020	32498	80989264	40.1263061237351	39.6900345301269	40.5625777173433	0.222587547759288	24.1616069627576	23.8989108964595	24.4243030290557	0.134028605254117
Black or African American	Male	M	2020	2020	9724	14616796	66.5262072481548	65.2039183224659	67.8484961738437	0.674637206984133	76.6831433221998	75.1589729929981	78.2073136514014	0.777637923062083
White	Male	M	2020	2020	30335	77174375	39.307088654751	38.8647499417815	39.7494273677205	0.225683016821171	31.5101803102996	31.1555833894663	31.8647772311329	0.1809167963435
Black or African American	Female	F	2021	2021	8453	16169854	52.2762914247711	51.1618547205698	53.3907281289723	0.56859015520471	50.6191120597485	49.5400034451935	51.6982206743035	0.550565619670927
White	Female	F	2021	2021	34743	79287038	43.8192684156016	43.3584948713387	44.2800419598644	0.235088542991255	27.6951212902027	27.4038982813052	27.9863442991001	0.148583167804821
Black or African American	Male	M	2021	2021	9748	14391430	67.7347560318884	66.3901040943113	69.0794079694655	0.686046906927108	77.4758056331346	75.9377770306414	79.0138342356279	0.7847084706598
White	Male	M	2021	2021	32287	76757935	42.0634036077182	41.6045790700079	42.5222281454285	0.234094151892994	34.8617277569581	34.4814585740113	35.2419969399049	0.19401488925856
Black or African American	Female	F	2022	2022	10681	16693337	63.9836121441746	62.7701705766318	65.1970537117175	0.619102840583103	63.014111346964	61.8190562463253	64.2091664476026	0.609721990121766
White	Female	F	2022	2022	49249	80327646	61.3101496837091	60.768660557967	61.8516388094513	0.276269962113342	39.0318304223525	38.687102643338	39.3765582013671	0.17588151990539
Black or African American	Male	M	2022	2022	11695	14867378	78.6621554923807	77.2364763333493	80.0878346514121	0.727387326036446	92.9190113283465	91.2349397808607	94.6030828758324	0.85922017728872
White	Male	M	2022	2022	44176	77728656	56.8336084442268	56.3036179166742	57.3635989717794	0.270403330383989	47.0995252871527	46.6603080187487	47.5387425555567	0.224090443063267
