Race	Hispanic Origin	Age_groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	Male	2004	158	1455519	10.8552344558882
Black or African American	Not Hispanic or Latino	20-24 years	Male	2005	174	1467280	11.85867728041
Black or African American	Not Hispanic or Latino	20-24 years	Male	2006	145	1480574	9.79349900781724
Black or African American	Not Hispanic or Latino	20-24 years	Male	2007	191	1486497	12.849000031618
Black or African American	Not Hispanic or Latino	20-24 years	Male	2008	202	1497956	13.4850422842861
Black or African American	Not Hispanic or Latino	20-24 years	Male	2009	179	1522604	11.756175604425
Black or African American	Not Hispanic or Latino	20-24 years	Male	2010	150	1550237	9.67593987241951
Black or African American	Not Hispanic or Latino	20-24 years	Male	2011	163	1654175	9.85385464053078
Black or African American	Not Hispanic or Latino	20-24 years	Male	2012	154	1737366	8.86399296406169
Black or African American	Not Hispanic or Latino	20-24 years	Male	2013	161	1794159	8.97356365851633
Black or African American	Not Hispanic or Latino	20-24 years	Male	2014	155	1826372	8.48677049363437
Black or African American	Not Hispanic or Latino	20-24 years	Male	2015	171	1815640	9.41816659690247
Black or African American	Not Hispanic or Latino	20-24 years	Male	2016	160	1773358	9.02243089099889
Black or African American	Not Hispanic or Latino	20-24 years	Male	2017	152	1733291	8.76944494605926
Black or African American	Not Hispanic or Latino	20-24 years	Male	2018	154	1691428	9.10473280565297
Black or African American	Not Hispanic or Latino	20-24 years	Male	2019	129	1660340	7.76949299541058
Black or African American	Not Hispanic or Latino	20-24 years	Male	2020	134	1652385	8.10949022170983
Black or African American	Not Hispanic or Latino	20-24 years	Male	2021	154	1642560	9.37560880576661
Black or African American	Not Hispanic or Latino	20-24 years	Male	2022	155	1718441	9.01980341483938
Black or African American	Not Hispanic or Latino	25-29 years	Female	2000	188	1345107	13.9765832755312
Black or African American	Not Hispanic or Latino	25-29 years	Female	2001	186	1304639	14.2568174031284
Black or African American	Not Hispanic or Latino	25-29 years	Female	2002	185	1293736	14.2996716486207
Black or African American	Not Hispanic or Latino	25-29 years	Female	2003	183	1295263	14.1284048104516
Black or African American	Not Hispanic or Latino	25-29 years	Female	2004	202	1324683	15.2489312537415
Black or African American	Not Hispanic or Latino	25-29 years	Female	2005	193	1363164	14.1582377468889
Black or African American	Not Hispanic or Latino	25-29 years	Female	2006	170	1406128	12.0899377581557
Black or African American	Not Hispanic or Latino	25-29 years	Female	2007	189	1434645	13.1739907782065
Black or African American	Not Hispanic or Latino	25-29 years	Female	2008	226	1454865	15.5340873551842
Black or African American	Not Hispanic or Latino	25-29 years	Female	2009	187	1459525	12.8123875918535
Black or African American	Not Hispanic or Latino	25-29 years	Female	2010	167	1454543	11.4812693746421
Black or African American	Not Hispanic or Latino	25-29 years	Female	2011	175	1465672	11.9399156154992
Black or African American	Not Hispanic or Latino	25-29 years	Female	2012	169	1482708	11.3980635431926
Black or African American	Not Hispanic or Latino	25-29 years	Female	2013	167	1510526	11.0557514402268
Black or African American	Not Hispanic or Latino	25-29 years	Female	2014	165	1571068	10.5024098256727
Black or African American	Not Hispanic or Latino	25-29 years	Female	2015	188	1639497	11.4669316259804
Black or African American	Not Hispanic or Latino	25-29 years	Female	2016	182	1707945	10.6560808456947
Black or African American	Not Hispanic or Latino	25-29 years	Female	2017	192	1773228	10.8277108189133
Black or African American	Not Hispanic or Latino	25-29 years	Female	2018	198	1811064	10.9327997243609
Black or African American	Not Hispanic or Latino	25-29 years	Female	2019	174	1817908	9.57144145908374
Black or African American	Not Hispanic or Latino	25-29 years	Female	2020	213	1789798	11.9007843343215
Black or African American	Not Hispanic or Latino	25-29 years	Female	2021	189	1717789	11.0025154428163
Black or African American	Not Hispanic or Latino	25-29 years	Female	2022	188	1673395	11.2346457351671
Black or African American	Not Hispanic or Latino	25-29 years	Male	2000	238	1217250	19.552269459848
Black or African American	Not Hispanic or Latino	25-29 years	Male	2001	258	1176367	21.9319311065339
Black or African American	Not Hispanic or Latino	25-29 years	Male	2002	264	1161423	22.7307363467057
Black or African American	Not Hispanic or Latino	25-29 years	Male	2003	262	1156545	22.6536797098254
Black or African American	Not Hispanic or Latino	25-29 years	Male	2004	278	1184157	23.4766166986303
Black or African American	Not Hispanic or Latino	25-29 years	Male	2005	293	1219297	24.0302403762168
Black or African American	Not Hispanic or Latino	25-29 years	Male	2006	302	1261035	23.9485819188207
Black or African American	Not Hispanic or Latino	25-29 years	Male	2007	287	1295064	22.1610669434097
Black or African American	Not Hispanic or Latino	25-29 years	Male	2008	293	1326472	22.0886682870049
Black or African American	Not Hispanic or Latino	25-29 years	Male	2009	249	1341280	18.5643564356436
Black or African American	Not Hispanic or Latino	25-29 years	Male	2010	272	1342341	20.2631075114297
Black or African American	Not Hispanic or Latino	25-29 years	Male	2011	250	1368360	18.2700458943553
Black or African American	Not Hispanic or Latino	25-29 years	Male	2012	245	1400570	17.4928778997123
Black or African American	Not Hispanic or Latino	25-29 years	Male	2013	273	1442576	18.9244795421524
Black or African American	Not Hispanic or Latino	25-29 years	Male	2014	278	1517010	18.3255219148193
Black or African American	Not Hispanic or Latino	25-29 years	Male	2015	288	1599040	18.0108064838903
Black or African American	Not Hispanic or Latino	25-29 years	Male	2016	277	1683093	16.4577952614621
Black or African American	Not Hispanic or Latino	25-29 years	Male	2017	286	1765639	16.1981016504506
Black or African American	Not Hispanic or Latino	25-29 years	Male	2018	310	1824430	16.9916083379466
Black or African American	Not Hispanic or Latino	25-29 years	Male	2019	331	1845874	17.9318848415439
Black or African American	Not Hispanic or Latino	25-29 years	Male	2020	341	1830579	18.6279860087983
Black or African American	Not Hispanic or Latino	25-29 years	Male	2021	354	1736416	20.3868197482631
Black or African American	Not Hispanic or Latino	25-29 years	Male	2022	332	1704656	19.4760702452577
Black or African American	Not Hispanic or Latino	30-34 years	Female	2000	346	1384892	24.9838976613339
Black or African American	Not Hispanic or Latino	30-34 years	Female	2001	342	1388476	24.6313223995229
Black or African American	Not Hispanic or Latino	30-34 years	Female	2002	355	1393457	25.4762077337155
Black or African American	Not Hispanic or Latino	30-34 years	Female	2003	353	1388044	25.4314704721176
Black or African American	Not Hispanic or Latino	30-34 years	Female	2004	341	1376595	24.7712653322146
Black or African American	Not Hispanic or Latino	30-34 years	Female	2005	330	1350939	24.4274537932505
Black or African American	Not Hispanic or Latino	30-34 years	Female	2006	330	1320401	24.9924076095065
Black or African American	Not Hispanic or Latino	30-34 years	Female	2007	304	1313374	23.1464914030581
Black or African American	Not Hispanic or Latino	30-34 years	Female	2008	315	1320241	23.8592802374718
Black or African American	Not Hispanic or Latino	30-34 years	Female	2009	317	1353009	23.429260263605
Black or African American	Not Hispanic or Latino	30-34 years	Female	2010	302	1384808	21.8080773652376
Black or African American	Not Hispanic or Latino	30-34 years	Female	2011	337	1424682	23.6544014734516
Black or African American	Not Hispanic or Latino	30-34 years	Female	2012	263	1450157	18.1359673469838
Black or African American	Not Hispanic or Latino	30-34 years	Female	2013	314	1470609	21.351698514017
Black or African American	Not Hispanic or Latino	30-34 years	Female	2014	319	1484560	21.4878482513337
Black or African American	Not Hispanic or Latino	30-34 years	Female	2015	322	1487728	21.6437413290602
Black or African American	Not Hispanic or Latino	30-34 years	Female	2016	325	1498513	21.6881668694232
Black or African American	Not Hispanic or Latino	30-34 years	Female	2017	333	1519870	21.9097685986301
Black or African American	Not Hispanic or Latino	30-34 years	Female	2018	352	1549097	22.7229153500394
Black or African American	Not Hispanic or Latino	30-34 years	Female	2019	372	1602877	23.2082686319661
Black or African American	Not Hispanic or Latino	30-34 years	Female	2020	417	1669692	24.9746659863017
Black or African American	Not Hispanic or Latino	30-34 years	Female	2021	433	1727635	25.0631643836806
Black or African American	Not Hispanic or Latino	30-34 years	Female	2022	432	1766776	24.4513169751004
Black or African American	Not Hispanic or Latino	30-34 years	Male	2000	436	1243849	35.0524862744594
Black or African American	Not Hispanic or Latino	30-34 years	Male	2001	466	1241242	37.543041566431
Black or African American	Not Hispanic or Latino	30-34 years	Male	2002	502	1243774	40.3610302193164
Black or African American	Not Hispanic or Latino	30-34 years	Male	2003	481	1233902	38.9820261252514
Black or African American	Not Hispanic or Latino	30-34 years	Male	2004	475	1222155	38.8657739812053
Black or African American	Not Hispanic or Latino	30-34 years	Male	2005	495	1196334	41.3764049170215
Black or African American	Not Hispanic or Latino	30-34 years	Male	2006	510	1171760	43.524271181812
Black or African American	Not Hispanic or Latino	30-34 years	Male	2007	467	1165879	40.0556146907183
Black or African American	Not Hispanic or Latino	30-34 years	Male	2008	507	1175694	43.1234657997744
Black or African American	Not Hispanic or Latino	30-34 years	Male	2009	478	1210245	39.4961350800871
Black or African American	Not Hispanic or Latino	30-34 years	Male	2010	450	1245147	36.1403111439854
Black or African American	Not Hispanic or Latino	30-34 years	Male	2011	454	1286022	35.3026620073374
Black or African American	Not Hispanic or Latino	30-34 years	Male	2012	462	1315999	35.1064096553265
Black or African American	Not Hispanic or Latino	30-34 years	Male	2013	516	1341923	38.4522807940545
Black or African American	Not Hispanic or Latino	30-34 years	Male	2014	529	1362152	38.8356071862758
Black or African American	Not Hispanic or Latino	30-34 years	Male	2015	476	1374657	34.6268196357346
Black or African American	Not Hispanic or Latino	30-34 years	Male	2016	524	1397545	37.4943203975543
Black or African American	Not Hispanic or Latino	30-34 years	Male	2017	552	1431359	38.564748606045
Black or African American	Not Hispanic or Latino	30-34 years	Male	2018	554	1473500	37.5975568374618
Black or African American	Not Hispanic or Latino	30-34 years	Male	2019	568	1538578	36.9172053675537
Black or African American	Not Hispanic or Latino	30-34 years	Male	2020	673	1617245	41.6139793290441
Black or African American	Not Hispanic or Latino	30-34 years	Male	2021	706	1678798	42.0538980866072
Black or African American	Not Hispanic or Latino	30-34 years	Male	2022	661	1739488	37.9996872642985
Black or African American	Not Hispanic or Latino	35-39 years	Female	2000	666	1505402	44.2406745839317
Black or African American	Not Hispanic or Latino	35-39 years	Female	2001	621	1491812	41.6272291682866
Black or African American	Not Hispanic or Latino	35-39 years	Female	2002	642	1467701	43.74187930648
Black or African American	Not Hispanic or Latino	35-39 years	Female	2003	645	1440844	44.7654291512475
Black or African American	Not Hispanic or Latino	35-39 years	Female	2004	539	1408319	38.27257886885
Black or African American	Not Hispanic or Latino	35-39 years	Female	2005	572	1396992	40.9451163643027
Black or African American	Not Hispanic or Latino	35-39 years	Female	2006	571	1405559	40.6244063749725
Black or African American	Not Hispanic or Latino	35-39 years	Female	2007	541	1413720	38.2678323854794
Black or African American	Not Hispanic or Latino	35-39 years	Female	2008	513	1412276	36.3243445332215
Black or African American	Not Hispanic or Latino	35-39 years	Female	2009	483	1403007	34.4260577459699
Black or African American	Not Hispanic or Latino	35-39 years	Female	2010	526	1384151	38.0016342147641
Black or African American	Not Hispanic or Latino	35-39 years	Female	2011	541	1344610	40.2347148987439
Black or African American	Not Hispanic or Latino	35-39 years	Female	2012	527	1338520	39.3718435286735
Black or African American	Not Hispanic or Latino	35-39 years	Female	2013	498	1344139	37.0497396474621
Black or African American	Not Hispanic or Latino	35-39 years	Female	2014	522	1374316	37.9825309463035
Black or African American	Not Hispanic or Latino	35-39 years	Female	2015	523	1413525	36.9996993332272
Black or African American	Not Hispanic or Latino	35-39 years	Female	2016	551	1445255	38.1247599904515
Black or African American	Not Hispanic or Latino	35-39 years	Female	2017	584	1475146	39.5893016691229
Black or African American	Not Hispanic or Latino	35-39 years	Female	2018	602	1494278	40.2870148660423
Black or African American	Not Hispanic or Latino	35-39 years	Female	2019	595	1501244	39.6337970376568
Black or African American	Not Hispanic or Latino	35-39 years	Female	2020	653	1502992	43.4466717055048
Black or African American	Not Hispanic or Latino	35-39 years	Female	2021	665	1528319	43.5118584536344
Black or African American	Not Hispanic or Latino	35-39 years	Female	2022	678	1533513	44.2122107866057
Black or African American	Not Hispanic or Latino	35-39 years	Male	2000	868	1333184	65.1072920167059
Black or African American	Not Hispanic or Latino	35-39 years	Male	2001	914	1322748	69.0985735756168
Black or African American	Not Hispanic or Latino	35-39 years	Male	2002	917	1298817	70.6027100045657
Black or African American	Not Hispanic or Latino	35-39 years	Male	2003	887	1273108	69.6720152571502
Black or African American	Not Hispanic or Latino	35-39 years	Male	2004	872	1248378	69.8506381881129
Black or African American	Not Hispanic or Latino	35-39 years	Male	2005	906	1238840	73.1329308062381
Black or African American	Not Hispanic or Latino	35-39 years	Male	2006	922	1244414	74.0910983000834
Black or African American	Not Hispanic or Latino	35-39 years	Male	2007	908	1253650	72.428508754437
Black or African American	Not Hispanic or Latino	35-39 years	Male	2008	847	1253548	67.568214380303
Black or African American	Not Hispanic or Latino	35-39 years	Male	2009	883	1244299	70.96365101957
Black or African American	Not Hispanic or Latino	35-39 years	Male	2010	827	1226242	67.441826327919
Black or African American	Not Hispanic or Latino	35-39 years	Male	2011	775	1193704	64.9239677507992
Black or African American	Not Hispanic or Latino	35-39 years	Male	2012	825	1189759	69.3417742584843
Black or African American	Not Hispanic or Latino	35-39 years	Male	2013	863	1199943	71.920082870603
Black or African American	Not Hispanic or Latino	35-39 years	Male	2014	839	1231071	68.1520399716994
Black or African American	Not Hispanic or Latino	35-39 years	Male	2015	887	1271310	69.7705516357143
Black or African American	Not Hispanic or Latino	35-39 years	Male	2016	916	1303281	70.2841520746485
Black or African American	Not Hispanic or Latino	35-39 years	Male	2017	878	1336143	65.7115293797146
Black or African American	Not Hispanic or Latino	35-39 years	Male	2018	971	1361639	71.3111184388814
Black or African American	Not Hispanic or Latino	35-39 years	Male	2019	956	1374076	69.5740264730626
Black or African American	Not Hispanic or Latino	35-39 years	Male	2020	1132	1383849	81.8008323162426
Black or African American	Not Hispanic or Latino	35-39 years	Male	2021	1176	1434313	81.9904720936086
Black or African American	Not Hispanic or Latino	35-39 years	Male	2022	1168	1453787	80.3418932759751
Black or African American	Not Hispanic or Latino	40-44 years	Female	2000	1224	1442018	84.8810486415565
Black or African American	Not Hispanic or Latino	40-44 years	Female	2001	1301	1475496	88.1737395424996
Black or African American	Not Hispanic or Latino	40-44 years	Female	2002	1216	1487168	81.7661488143908
Black or African American	Not Hispanic or Latino	40-44 years	Female	2003	1291	1498869	86.1316099005317
Black or African American	Not Hispanic or Latino	40-44 years	Female	2004	1266	1510161	83.8321212109173
Black or African American	Not Hispanic or Latino	40-44 years	Female	2005	1159	1506129	76.9522398147835
Black or African American	Not Hispanic or Latino	40-44 years	Female	2006	1124	1494626	75.2027597539451
Black or African American	Not Hispanic or Latino	40-44 years	Female	2007	975	1471651	66.2521209172555
Black or African American	Not Hispanic or Latino	40-44 years	Female	2008	1057	1446445	73.0757132141215
Black or African American	Not Hispanic or Latino	40-44 years	Female	2009	964	1414333	68.1593372989247
Black or African American	Not Hispanic or Latino	40-44 years	Female	2010	937	1404513	66.7135156456366
Black or African American	Not Hispanic or Latino	40-44 years	Female	2011	846	1410151	59.9935751561358
Black or African American	Not Hispanic or Latino	40-44 years	Female	2012	826	1415866	58.3388541005999
Black or African American	Not Hispanic or Latino	40-44 years	Female	2013	862	1412452	61.028622565581
Black or African American	Not Hispanic or Latino	40-44 years	Female	2014	890	1406532	63.276199901602
Black or African American	Not Hispanic or Latino	40-44 years	Female	2015	882	1386639	63.6070383135048
Black or African American	Not Hispanic or Latino	40-44 years	Female	2016	849	1352538	62.7708796351748
Black or African American	Not Hispanic or Latino	40-44 years	Female	2017	862	1351467	63.7825414900993
Black or African American	Not Hispanic or Latino	40-44 years	Female	2018	854	1354893	63.0308075988288
Black or African American	Not Hispanic or Latino	40-44 years	Female	2019	924	1378109	67.0483974779934
Black or African American	Not Hispanic or Latino	40-44 years	Female	2020	1154	1414368	81.5912124708704
Black or African American	Not Hispanic or Latino	40-44 years	Female	2021	1138	1459174	77.989328208973
Black or African American	Not Hispanic or Latino	40-44 years	Female	2022	1175	1472391	79.8021721132498
Black or African American	Not Hispanic or Latino	40-44 years	Male	2000	1724	1273647	135.359326406767
Black or African American	Not Hispanic or Latino	40-44 years	Male	2001	1757	1304062	134.732857793571
Black or African American	Not Hispanic or Latino	40-44 years	Male	2002	1682	1314793	127.928883101751
Black or African American	Not Hispanic or Latino	40-44 years	Male	2003	1777	1321512	134.467186071712
Black or African American	Not Hispanic or Latino	40-44 years	Male	2004	1647	1331998	123.648834307559
Black or African American	Not Hispanic or Latino	40-44 years	Male	2005	1638	1329094	123.24184745398
Black or African American	Not Hispanic or Latino	40-44 years	Male	2006	1534	1324308	115.834080893569
Black or African American	Not Hispanic or Latino	40-44 years	Male	2007	1605	1305269	122.963159318118
Black or African American	Not Hispanic or Latino	40-44 years	Male	2008	1486	1286275	115.527394997182
Black or African American	Not Hispanic or Latino	40-44 years	Male	2009	1490	1262389	118.03017928705
Black or African American	Not Hispanic or Latino	40-44 years	Male	2010	1357	1257524	107.910465327103
Black or African American	Not Hispanic or Latino	40-44 years	Male	2011	1461	1256689	116.257880828113
Black or African American	Not Hispanic or Latino	40-44 years	Male	2012	1421	1261822	112.614933009569
Black or African American	Not Hispanic or Latino	40-44 years	Male	2013	1461	1254873	116.426124396652
Black or African American	Not Hispanic or Latino	40-44 years	Male	2014	1431	1246955	114.759554274212
Black or African American	Not Hispanic or Latino	40-44 years	Male	2015	1486	1226949	121.113428512514
Black or African American	Not Hispanic or Latino	40-44 years	Male	2016	1471	1199479	122.636578047636
Black or African American	Not Hispanic or Latino	40-44 years	Male	2017	1455	1197949	121.457591266406
Black or African American	Not Hispanic or Latino	40-44 years	Male	2018	1557	1203743	129.346546563511
Black or African American	Not Hispanic or Latino	40-44 years	Male	2019	1580	1228028	128.661561462768
Black or African American	Not Hispanic or Latino	40-44 years	Male	2020	1793	1265505	141.68256940905
Black or African American	Not Hispanic or Latino	40-44 years	Male	2021	1909	1329536	143.583927024165
Black or African American	Not Hispanic or Latino	40-44 years	Male	2022	1834	1354606	135.389921497469
Black or African American	Not Hispanic or Latino	45-49 years	Female	2000	1830	1225916	149.276133111893
Black or African American	Not Hispanic or Latino	45-49 years	Female	2001	1781	1272430	139.96840690647
Black or African American	Not Hispanic or Latino	45-49 years	Female	2002	1896	1321076	143.519373601519
Black or African American	Not Hispanic or Latino	45-49 years	Female	2003	1917	1363748	140.568492126111
Black or African American	Not Hispanic or Latino	45-49 years	Female	2004	1916	1398644	136.989827289861
Black or African American	Not Hispanic or Latino	45-49 years	Female	2005	1878	1436071	130.773478470076
Black or African American	Not Hispanic or Latino	45-49 years	Female	2006	1861	1461455	127.338850665946
Black or African American	Not Hispanic or Latino	45-49 years	Female	2007	1797	1473530	121.952047124931
Black or African American	Not Hispanic or Latino	45-49 years	Female	2008	1835	1485776	123.504485198307
Black or African American	Not Hispanic or Latino	45-49 years	Female	2009	1748	1496992	116.767491075437
Black or African American	Not Hispanic or Latino	45-49 years	Female	2010	1639	1493767	109.722600646553
Black or African American	Not Hispanic or Latino	45-49 years	Female	2011	1524	1475059	103.317901182258
Black or African American	Not Hispanic or Latino	45-49 years	Female	2012	1543	1453232	106.177127946536
Black or African American	Not Hispanic or Latino	45-49 years	Female	2013	1436	1428396	100.532345372012
Black or African American	Not Hispanic or Latino	45-49 years	Female	2014	1415	1402364	100.901049941385
Black or African American	Not Hispanic or Latino	45-49 years	Female	2015	1442	1396052	103.291281413586
Black or African American	Not Hispanic or Latino	45-49 years	Female	2016	1445	1403832	102.932544634971
Black or African American	Not Hispanic or Latino	45-49 years	Female	2017	1438	1413393	101.740987821505
Black or African American	Not Hispanic or Latino	45-49 years	Female	2018	1447	1406949	102.846656133236
Black or African American	Not Hispanic or Latino	45-49 years	Female	2019	1430	1397316	102.339055732562
Black or African American	Not Hispanic or Latino	45-49 years	Female	2020	1676	1375619	121.836060711578
Black or African American	Not Hispanic or Latino	45-49 years	Female	2021	1643	1349300	121.766842066257
Black or African American	Not Hispanic or Latino	45-49 years	Female	2022	1581	1334539	118.467875423648
Black or African American	Not Hispanic or Latino	45-49 years	Male	2000	2709	1061019	255.320592750931
Black or African American	Not Hispanic or Latino	45-49 years	Male	2001	2703	1105384	244.530407532586
Black or African American	Not Hispanic or Latino	45-49 years	Male	2002	2814	1153639	243.923792451538
Black or African American	Not Hispanic or Latino	45-49 years	Male	2003	2948	1196401	246.405678363692
Black or African American	Not Hispanic or Latino	45-49 years	Male	2004	2943	1231607	238.956095572695
Black or African American	Not Hispanic or Latino	45-49 years	Male	2005	2903	1267913	228.958926992625
Black or African American	Not Hispanic or Latino	45-49 years	Male	2006	2840	1293433	219.570708339744
Black or African American	Not Hispanic or Latino	45-49 years	Male	2007	2695	1307530	206.113817656191
Black or African American	Not Hispanic or Latino	45-49 years	Male	2008	2540	1318543	192.636872669302
Black or African American	Not Hispanic or Latino	45-49 years	Male	2009	2587	1330207	194.481009346666
Black or African American	Not Hispanic or Latino	45-49 years	Male	2010	2567	1329666	193.056000529456
Black or African American	Not Hispanic or Latino	45-49 years	Male	2011	2455	1313392	186.920584258165
Black or African American	Not Hispanic or Latino	45-49 years	Male	2012	2423	1293068	187.383803481333
Black or African American	Not Hispanic or Latino	45-49 years	Male	2013	2387	1269490	188.02826331834
Black or African American	Not Hispanic or Latino	45-49 years	Male	2014	2312	1247238	185.369592651924
Black or African American	Not Hispanic or Latino	45-49 years	Male	2015	2238	1240517	180.408652199043
Black or African American	Not Hispanic or Latino	45-49 years	Male	2016	2447	1242735	196.904408421747
Black or African American	Not Hispanic or Latino	45-49 years	Male	2017	2384	1249902	190.734953620364
Black or African American	Not Hispanic or Latino	45-49 years	Male	2018	2419	1240961	194.929574740866
Black or African American	Not Hispanic or Latino	45-49 years	Male	2019	2468	1229131	200.79226705697
Black or African American	Not Hispanic or Latino	45-49 years	Male	2020	2778	1207681	230.027631468906
Black or African American	Not Hispanic or Latino	45-49 years	Male	2021	2842	1208836	235.102197485846
Black or African American	Not Hispanic or Latino	45-49 years	Male	2022	2606	1200224	217.126136454528
Black or African American	Not Hispanic or Latino	50-54 years	Female	2000	2186	980443	222.960437271723
Black or African American	Not Hispanic or Latino	50-54 years	Female	2001	2422	1066260	227.149100594602
Black or African American	Not Hispanic or Latino	50-54 years	Female	2002	2449	1105949	221.438782439335
Black or African American	Not Hispanic or Latino	50-54 years	Female	2003	2521	1144404	220.289338380502
Black or African American	Not Hispanic or Latino	50-54 years	Female	2004	2532	1185311	213.614823451398
Black or African American	Not Hispanic or Latino	50-54 years	Female	2005	2573	1223782	210.249864763495
Black or African American	Not Hispanic or Latino	50-54 years	Female	2006	2506	1264163	198.233930276396
Black or African American	Not Hispanic or Latino	50-54 years	Female	2007	2561	1315461	194.68460106381
Black or African American	Not Hispanic or Latino	50-54 years	Female	2008	2680	1361382	196.858780268874
Black or African American	Not Hispanic or Latino	50-54 years	Female	2009	2497	1399562	178.412960626253
Black or African American	Not Hispanic or Latino	50-54 years	Female	2010	2508	1431800	175.164129068306
Black or African American	Not Hispanic or Latino	50-54 years	Female	2011	2355	1454259	161.93814169278
Black or African American	Not Hispanic or Latino	50-54 years	Female	2012	2377	1460480	162.754710780018
Black or African American	Not Hispanic or Latino	50-54 years	Female	2013	2408	1467990	164.033814944243
Black or African American	Not Hispanic or Latino	50-54 years	Female	2014	2444	1473543	165.85874996522
Black or African American	Not Hispanic or Latino	50-54 years	Female	2015	2315	1467603	157.740206309199
Black or African American	Not Hispanic or Latino	50-54 years	Female	2016	2444	1451167	168.416178151791
Black or African American	Not Hispanic or Latino	50-54 years	Female	2017	2248	1432173	156.964277360347
Black or African American	Not Hispanic or Latino	50-54 years	Female	2018	2243	1404709	159.677200046415
Black or African American	Not Hispanic or Latino	50-54 years	Female	2019	2177	1377231	158.070795676252
Black or African American	Not Hispanic or Latino	50-54 years	Female	2020	2371	1370203	173.040053189199
Black or African American	Not Hispanic or Latino	50-54 years	Female	2021	2407	1385068	173.782081457372
Black or African American	Not Hispanic or Latino	50-54 years	Female	2022	2280	1380503	165.157192704398
Black or African American	Not Hispanic or Latino	50-54 years	Male	2000	3500	834987	419.168202618723
Black or African American	Not Hispanic or Latino	50-54 years	Male	2001	3731	912639	408.814438129425
Black or African American	Not Hispanic or Latino	50-54 years	Male	2002	3884	945720	410.692382523368
Black or African American	Not Hispanic or Latino	50-54 years	Male	2003	4087	979716	417.161708086833
Black or African American	Not Hispanic or Latino	50-54 years	Male	2004	4008	1017168	394.03520362418
Black or African American	Not Hispanic or Latino	50-54 years	Male	2005	4230	1054056	401.30695143332
Black or African American	Not Hispanic or Latino	50-54 years	Male	2006	4239	1093251	387.742613544374
Black or African American	Not Hispanic or Latino	50-54 years	Male	2007	4155	1144327	363.095513782337
Black or African American	Not Hispanic or Latino	50-54 years	Male	2008	4010	1191230	336.626847879922
Black or African American	Not Hispanic or Latino	50-54 years	Male	2009	4007	1229480	325.910140872564
Black or African American	Not Hispanic or Latino	50-54 years	Male	2010	3960	1260649	314.123915538742
Black or African American	Not Hispanic or Latino	50-54 years	Male	2011	3958	1280547	309.08666374604
Black or African American	Not Hispanic or Latino	50-54 years	Male	2012	3863	1286971	300.162163716199
Black or African American	Not Hispanic or Latino	50-54 years	Male	2013	3800	1291678	294.190967098611
Black or African American	Not Hispanic or Latino	50-54 years	Male	2014	3747	1296563	288.99482709286
Black or African American	Not Hispanic or Latino	50-54 years	Male	2015	3767	1291152	291.754959911769
Black or African American	Not Hispanic or Latino	50-54 years	Male	2016	3785	1277354	296.315665038822
